name,region,tel,keyword,photo
해동 용궁사(부산),부산 기장군,051-722-7744,"['경상권', '경치좋은곳', '관광지', '바다경치', '불교', '불교문화', '사찰', '사찰여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=af8e846b-d48e-45ef-8181-9453ba131074&thumb
범어사(부산),부산 금정구,051-508-3122,"['가족여행', '관광지', '범어사', '사찰&산사', '아이와함께', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e0efca66-4e8d-41fc-ac68-363d548a6974&thumb
금정산성,부산 금정구,051-519-4092,"['가족여행', '관광지', '교과서속여행', '금정산성', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=387a8c61-1f7f-4958-9f8e-452d6e3cba4a&thumb
부산 수정동 일본식 가옥,부산 동구,051-440-4064,"['경상권', '관광지', '부산수정동일본식가옥', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f45945df-7327-4603-b57f-481a822c3592&thumb
선암사(부산),부산 부산진구,051-803-7573,"['관광지', '나홀로여행', '불교', '불교문화', '사찰', '산사', '선암사(부산)', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8335c2c1-5aee-4543-84b3-351961f08475&thumb
관수옥과 초량왜관 터,부산 중구,051-600-4066,"['경상권', '관광지', '관수옥', '교과서속여행', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14a6b951-5591-44ec-b8da-5a2a3a9cae43&thumb
태종사,부산 영도구,051-405-2626,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=507e7de1-4e0c-4a86-bc08-a76c04a105de&thumb
부산 중앙공원,부산 서구,051-860-7800,"['걷기길', '경상권', '관광지', '기념관', '대청공원', '부산중앙공원', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1851d823-4893-4edc-892e-60c9992504a9&thumb
척판암(부산),부산 기장군,051-727-3547,"['가족여행', '경상권', '관광지', '불교문화', '사찰&산사', '사찰여행', '역사', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa192d7f-dde9-4073-81c2-ff4e70be2f56&thumb
영주암(부산),부산 수영구,051-754-2210,"['경상권', '관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '영주암', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e7b97bb6-e847-4647-a94b-967f27b07e3e&thumb
