name,region,tel,keyword,photo
운주산성,세종 한솔동,044-300-3423,"['관광지', '언택트관광지_100선', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dfc5eeb5-7a4d-4df6-8dbb-b045f28b43ea&thumb
비암사(세종),세종 한솔동,044-863-0230,"['관광지', '불교', '불교문화', '불교사찰', '사찰', '사찰여행', '역사', '역사이야기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bc78a17e-2370-4107-b03d-5c319fc955eb&thumb
영평사,세종 한솔동,044-857-1854,"['관광지', '불교', '불교문화', '사찰', '역사', '영평사', '자연좋은곳', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=645e4f9f-5eb9-413b-a3f3-723b374e77ab&thumb
뒤웅박고을,세종 한솔동,044-868-4892,"['관광지', '기념품판매', '뒤웅박고을', '미식여행', '박물관', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3f5e57ed-bbb4-424a-9327-3116922c6371&thumb
연기향토박물관,세종 한솔동,044-862-7449,"['문화', '문화시설', '세종특별자치시', '역사', '유물', '유적', '향토']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cf47cc92-2270-4140-936f-3fa5a9fd3c4e&thumb
금강대도,세종 한솔동,044-866-8787,"['관광지', '민족종교', '역사', '역사공부', '역사관광', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a092764d-da4e-49cd-b3ce-55c552682c5a&thumb
김종서장군묘,세종 한솔동,044-330-5832,"['관광지', '묘지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=66bf47e7-3de2-4979-aaa4-64fcbd259579&thumb
전의향교,세종 한솔동,044-211-4022,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0c1b7551-8bf9-4a4a-b94b-a133d01bf83e&thumb
합호서원,세종 한솔동,044-330-5832,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=90fac623-9eed-4bfe-a2ab-b4e06bea6e04&thumb
황룡사(세종),세종 한솔동,044-864-7000,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=null&thumb
금이성,세종 한솔동,044-300-3444,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4615e9e3-c244-416f-b845-cb3558edfac6&thumb
연기향교,세종 한솔동,044-330-5832,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=073a1fdc-e7e7-43e0-a875-3d93a5cb7e78&thumb
연화사(세종),세종 한솔동,044-862-8620,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연환경', '전통사찰']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
청안사(세종),세종 한솔동,044-867-3407,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
신광사(세종),세종 한솔동,044-865-5601,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
학림사(세종),세종 한솔동,044-867-2635,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=null&thumb
