name,region,tel,keyword,photo
보문사(강화),인천 강화군,032-933-8271,"['관광지', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e4bee13a-aef7-4596-8a4c-6691bef90f96&thumb
강화 덕진진,인천 강화군,032-930-7074,"['강화덕진진', '관광지', '덕진진', '바다풍경', '수도권', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=045dd90b-d8ae-4bdb-9c9a-c11cc5fbdbbe&thumb
강화도제적봉 평화전망대,인천 강화군,032-930-7062,"['강화도제적봉평화전망대', '관광지', '교육여행', '수도권', '아이와함께', '안보관광']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c7845e4-6fa2-4e8c-b6ea-9e4ab7a00b1a&thumb
갑곶돈대,인천 강화군,032-930-7077,"['가족여행', '갑곶돈대', '관광지', '나들이', '당일치기여행', '문화재', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9dda5aa9-5bc1-4c0e-9c03-f124150e0868&thumb
전등사(강화),인천 강화군,032-937-0125,"['가족여행', '관광지', '나들이', '당일치기여행', '드라이브여행', '사찰&산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b4f8fa10-f48c-4217-8f06-99a9fc1f7b38&thumb
강화 고인돌 유적 [유네스코 세계문화유산],인천 강화군,032-930-3625,"['가족여행', '강화고인돌유적', '관광지', '교과서속여행', '나들이', '당일치기여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d76a9195-ae55-42ab-ba55-8d83b08156fa&thumb
분오리돈대,인천 강화군,032-930-4571,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e0bb8798-829d-4827-8bb8-4ace3c5756b7&thumb
개항장 거리,인천 중구,032-773-7511,"['건축', '건축여행', '관광지', '근대건축', '근대건축물', '역사', '역사공부', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac1f2dc4-1f78-47e5-83cb-fde4b9826b27&thumb
[인천 개항 누리길] 1시간 코스,인천 중구,032-440-4055,"['누리길', '레포츠', '산책코스', '산책하기좋은곳', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fbb381f4-36ee-4d8e-9256-29bb89d556b8&thumb
강화 초지진,인천 강화군,032-930-7072,"['강화초지진', '관광지', '교과서속여행', '서울근교여행', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=26d3ed14-1c19-491b-abf2-b3a9ee095e4e&thumb
연미정,인천 강화군,032-930-3124,"['관광지', '교과서속여행', '문화재', '수도권', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e5e56af3-70bc-4f2d-92f7-5d4019e453b8&thumb
고려궁지,인천 강화군,032-930-7078,"['고려궁지', '관광지', '교과서속여행', '수도권', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9fa3f47c-3fcb-4818-be1a-b03c266d5d61&thumb
광성보,인천 강화군,032-930-7070,"['관광지', '광성보', '수도권', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0043136a-cc74-47ae-92cd-d2a2f3ea8eae&thumb
흥륜사(인천),인천 연수구,032-832-1133,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '수도권', '역사', '연중무휴', '인천흥륜사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6a345241-6f57-49e8-aaef-b1896f5289aa&thumb
대한민국 수준원점,인천 미추홀구,032-880-4667,"['관광지', '역사', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ab3f3261-7936-4764-8592-73e0c68bd0f8&thumb
용흥궁,인천 강화군,032-930-4571,"['강원권', '관광지', '교과서속여행', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2e10d027-4c8d-408a-a57b-1662f807d016&thumb
강화 서도 중앙교회,인천 강화군,032-760-6474,"['강화서도중앙교회', '관광지', '교과서속여행', '문화재', '수도권', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=de6efa6c-631f-4d4d-848f-d649ce968082&thumb
대한성공회 강화성당,인천 강화군,032-930-4571,"['관광지', '대한성공회강화성당', '사적', '성당', '수도권', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4c534b04-e323-4ef8-96b7-f3ac9cfaaa8c&thumb
(구)인천일본제58은행지점,인천 중구,032-760-6474,"['관광지', '교과서속여행', '구인천일본제58은행지점', '문화재', '수도권', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7e62f852-bb74-41d6-a527-df82341d62d6&thumb
강화산성,인천 강화군,032-932-5464,"['가족여행', '강화산성', '관광지', '나들이', '당일치기여행', '드라이브여행', '문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=948a2052-4443-45ad-a7f3-663725728849&thumb
능허대지,인천 연수구,032-749-7312,"['가족여행', '관광지', '능허대지', '도심여행', '사계절', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ea15425b-b7ce-4e37-99ab-afddb65cffd6&thumb
홍예문,인천 중구,032-760-6474,"['건축물', '건축사', '건축여행', '관광지', '근대건축', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4ca0adad-3be2-4d76-9c8e-ac8ea97c9d9d&thumb
교동향교,인천 강화군,032-932-6931,"['관광지', '교동향교', '수도권', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fda7df87-a17f-482b-aaf8-14690b30c82d&thumb
인천도호부청사,인천 미추홀구,032-422-3492,"['가족여행', '관광지', '드라이브여행', '서울근교여행', '수도권', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=51a326f7-3c47-4dc4-a5c2-b677069129be&thumb
약사사(인천),인천 남동구,032-429-4449,"['관광지', '불교', '불교문화', '불교사찰', '사찰', '사찰여행', '역사', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6319947d-6b4b-4bd3-9b56-01dca0bac931&thumb
제물포구락부,인천 중구,032-760-6474,"['건축사', '건축여행', '관광지', '교과서속여행', '근대건축', '근대건축물', '문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ba01aa2f-efca-4496-bbd8-45de8aef5677&thumb
인천 답동성당,인천 중구,032-762-7613,"['가족여행', '관광지', '나들이', '데이트코스', '사적지', '서울근교여행', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b51fa53b-872e-4bc9-8c5e-4c3d14b79847&thumb
[인천 개항 누리길] 3시간 코스,인천 중구,032-440-4055,"['걷기길', '레포츠', '산책코스', '산책하기좋은곳', '수도권', '아이와함께', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8d5de004-2e13-4ab1-bfdf-957c9ac66760&thumb
인천 경서동 녹청자 요지,인천 서구,032-440-4063,"['가족여행', '관광지', '서울근교여행', '역사', '역사공부', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c978e61a-7255-44bb-8a81-a4d84f483d9d&thumb
