name,region,tel,keyword,photo
향일암(여수),전남 여수시,061-644-4742,"['15_16한국관광100선', '관광지', '나홀로여행', '바다풍경', '불교', '불교문화']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b026cf18-7d53-47e9-af1a-327e03600cfb&thumb
순천 낙안읍성,전남 순천시,1577-2013,"['관광지', '낙안읍성', '드라마촬영지', '역사', '역사관광', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5e44ada1-0634-4b33-9479-8b0c49ff9d75&thumb
미황사,전남 해남군,061-533-3521,"['19_20한국관광100선', '관광지', '불교', '불교문화', '사찰', '사찰여행', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2db607cf-722f-4d7c-a441-a9fcd543a4c6&thumb
사성암(구례),전남 구례군,061-781-4544,"['경치좋은곳', '관광지', '불교', '불교문화', '사성암', '사찰', '사찰여행', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d9687a58-61c6-473c-934a-49796aab3e04&thumb
담양 소쇄원,전남 담양군,061-381-0115,"['가족여행', '관광지', '교과서속여행', '담양소쇄원', '아이와함께', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=49174b25-9395-49dc-a804-091eef23c205&thumb
선암사[유네스코 세계문화유산],전남 순천시,061-754-6250,"['가족여행', '관광지', '교과서속여행', '불교', '불교문화', '사찰', '사찰&산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a1fb264e-99e5-4b40-aa88-282fb99d1d18&thumb
백양사,전남 장성군,061-392-7502,"['가족여행', '관광지', '교과서속여행', '백양사', '불교', '불교문화', '사찰', '사찰&산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8be7fb83-a7eb-4f69-a2e8-d14a2ba65c29&thumb
여수 진남관,전남 여수시,061-659-4756,"['가족여행', '관광지', '교과서속여행', '아이와함께', '여수진남관', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b6b65ebb-5cd0-423e-aa3e-b73645724d7e&thumb
목포근대역사관 2관,전남 목포시,061-270-8728,"['목포근대역사관2관', '문화시설', '미세먼지_피하는_실내여행', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79fdc7d1-d20e-4ed1-95dd-876de7ad790e&thumb
천은사(구례),전남 구례군,061-781-4800,"['가족여행', '관광지', '구례천은사', '불교', '불교문화', '사찰', '산사', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3bccaac9-8f21-4581-8495-b9546ca6eb27&thumb
일제강점기 건축물들,전남 목포시,061-270-8598,"['관광지', '등록문화재', '사적', '역사', '역사유적지', '일제강점기건축물', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=af4c1ed9-e63f-4ddd-a28f-43123f4d7713&thumb
송광사(순천),전남 순천시,061-755-0107,"['가족여행', '관광지', '교과서속여행', '불교', '불교문화', '사찰', '사찰여행', '산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5d51ba27-c626-4bae-a6aa-98426738edb9&thumb
담양 명옥헌 원림,전남 담양군,061-380-3752,"['관광지', '명승', '명옥헌원림', '역사', '자연', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3ba30b09-d4e0-4c41-b11a-c421007973d2&thumb
대흥사[유네스코 세계문화유산],전남 해남군,061-534-5502,"['가족여행', '관광지', '교과서속여행', '사찰', '산사', '아이와함께', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0bbaeaad-2a16-4e82-a06a-7ce9992bfa15&thumb
다산초당(다산 정약용 유적지),전남 강진군,061-430-3363,"['가족여행', '관광지', '교과서속여행', '다산정약용유적지', '다산초당', '사적']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4f7a198d-6093-40df-9a9e-7aae59677b9b&thumb
여수 선소유적,전남 여수시,061-659-4756,"['가족여행', '관광지', '여수 선소유적', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=642c2139-f35d-456f-ab6a-d2adb44487fc&thumb
보성 벌교 홍교,전남 보성군,061-850-5242,"['관광지', '교과서속여행', '문화재', '보성벌교홍교', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c14bd05c-c45e-4fd3-a4dc-7ccdf83b5181&thumb
전남 담양 창평 [슬로시티],전남 담양군,061-383-3807,"['가족과함께', '관광지', '슬로시티', '아이와함께', '역사', '친구와함께', '휴식공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a6f84f2c-29a6-4cf8-b46c-eb448e6598a8&thumb
화엄사,전남 구례군,061-783-7600,"['관광지', '나홀로여행', '불교', '불교문화', '사찰', '산사', '역사', '연중무휴', '템플스테이']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=713261c3-9c5f-4866-ad93-ef6771c89569&thumb
나주 금성관,전남 나주시,061-339-8611,"['가족여행', '가족체험여행', '관광지', '나주금성관', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=18cadf8d-3995-4b1e-bcb1-bc745725e1df&thumb
진도 운림산방,전남 진도군,061-540-6286,"['가족여행', '관광지', '역사', '역사공부', '역사관광', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0c72d50b-1013-43f6-b1de-7711c73582d6&thumb
보성 강골마을,전남 보성군,061-853-2885,"['가족여행', '걷기길', '관광지', '농촌체험', '보성강골마을', '역사', '인증샷백만개_인스타_갬성여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=92590fc1-e9a2-44ec-94ba-853958cc2cfb&thumb
담양 창평 삼지내마을[슬로시티],전남 담양군,061-383-3807,"['가족과함께', '관광지', '슬로시티', '슬로시티', '역사', '자연마을', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79041237-b788-4dd5-afd3-b06b3ec025a7&thumb
성륜사(곡성),전남 곡성군,061-363-0081,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '성륜사', '역사', '자연환경', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f7d6095e-425c-4c99-b6d7-d230b3c14ae7&thumb
담양 금성산성,전남 담양군,061-380-2812,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=87021ca4-eb46-4b16-84ca-40a35d4e0508&thumb
백제불교최초도래지,전남 영광군,061-350-4674,"['가족여행', '관광지', '기차여행', '나들이', '백제불교최초도래지', '사찰&산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f005c5de-1d60-4fec-8ca9-21ff1769bdf2&thumb
고산 윤선도 유적지,전남 해남군,061-530-5548,"['가족여행', '고산윤선도유적지', '관광지', '교과서속여행', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ede6a910-d893-40b1-9610-fb8abd1b45fd&thumb
백련사(강진),전남 강진군,061-432-0837,"['강진백련사', '관광지', '불교', '불교문화', '사찰', '역사', '자연좋은곳', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f67a1568-0dd5-42c9-85ca-fb3501f53834&thumb
보길도 세연정,전남 완도군,061-550-5761,"['관광지', '보길도', '세연정', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5ef4eaf6-73f0-44da-bf84-0ec083d190d5&thumb
불갑사(영광),전남 영광군,061-352-8097,"['관광지', '불교', '불교사찰', '사찰', '사찰여행', '역사', '자연속으로', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1114c6f9-29da-44e4-be3c-2d051e32382c&thumb
나주 목사내아,전남 나주시,061-339-8611,"['고택', '관광지', '나주목사내아', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a4b420e0-f9a3-4733-8030-0f95f70b7f29&thumb
노적봉,전남 목포시,061-270-8598,"['가족여행', '관광지', '노적봉', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f0433f63-fb1b-482a-b499-8593ca62bc01&thumb
심청한옥마을,전남 곡성군,061-363-9910,"['가족과함께', '관광지', '산책길', '산책하기', '산책하기좋은곳', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=96b08bbc-7d5c-4235-92f6-9da414e719ef&thumb
필암서원 [유네스코 세계문화유산],전남 장성군,061-390-7226,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b058a1ba-4722-4430-a810-1e27c11132ba&thumb
구례 운조루 고택,전남 구례군,061-780-2431,"['가족여행', '관광지', '구례운조루고택', '국가민속문화재', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0c8d60bc-776b-4076-85a3-32f9184c80e1&thumb
무위사,전남 강진군,061-432-4974,"['관광지', '무위사', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연환경', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=079213a0-2378-46f5-948d-9f23405bdb64&thumb
여수 율촌역,전남 여수시,061-659-4756,"['관광지', '등록문화재', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5bebb783-0f08-4ebf-94ad-3be4de1a15c2&thumb
태안사,전남 곡성군,061-363-6669,"['가족여행', '관광지', '교과서속여행', '사찰&산사', '아이와함께', '역사', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dee59b95-3fcd-4b50-a4b2-aa792bbc0c3e&thumb
화순 고인돌군 유적 [유네스코 세계문화유산],전남 화순군,061-379-3178,"['고인돌군유적', '관광지', '교과서속여행', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7b9bd91d-5aab-42d2-98a7-2a107ac99dce&thumb
고하도이충무공유적,전남 목포시,061-270-8598,"['고하도이충무공유적', '관광지', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fd2463aa-f3aa-4777-ab47-2cd77b1edcc8&thumb
광양 옥룡사지,전남 광양시,061-762-3578,"['관광지', '역사', '역사관광지', '역사를품은곳', '역사문화재', '역사속', '역사속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e0b2b490-9a60-47a8-8c8f-2ddf39b4011e&thumb
구 보성여관,전남 보성군,061-858-7528,"['가족과함께', '관광지', '등록문화재', '보성여관', '역사', '역사공부', '역사관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6d783a41-bc68-44f0-b4e6-234c0d093c78&thumb
