name,region,tel,keyword,photo
보은 법주사[유네스코 세계문화유산],충북 보은군,043-543-3615,"['가족여행', '관광지', '교과서속여행', '보은법주사', '불교', '불교문화', '사찰&산사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d8e535aa-280c-4730-ab7f-6209cde95cb0&thumb
충주 탄금대와 탄금대공원,충북 충주시,043-848-2246,"['가족여행', '관광지', '산책하기좋은곳', '역사', '역사관광지', '역사문화재', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a15e88b5-3abe-44f0-81dc-73b055c3dd57&thumb
청풍문화재단지,충북 제천시,043-641-5532,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d057b109-1bf0-45b0-9bfa-01128f5bece5&thumb
청주 정북동 토성,충북 청주시,043-201-0916,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d6135039-e585-4bb0-9af1-f4925ab66ccd&thumb
도마령,충북 영동군,043-745-7741,"['가족과함께', '관광지', '구불길', '꼬부랑길', '도마령', '드라이브여행', '드라이브코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3634c4cd-3b66-4a88-9805-7de2f5ebd1c0&thumb
배론성지,충북 제천시,043-651-4527,"['가족여행', '관광지', '근대문화유산', '기념관', '배론성지', '성지순례', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc480806-2ba9-46eb-b9aa-4ab40cc84faa&thumb
진천 농다리,충북 진천군,043-539-3624,"['가족여행', '관광지', '교과서속여행', '아이와함께', '여름방학가볼만한곳', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=91fb86b1-ab0a-40d1-9377-256c0df4b480&thumb
구인사(단양),충북 단양군,043-423-7100,"['관광지', '구인사(단양)', '나홀로여행', '불교', '불교문화', '사찰', '산사', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ed445ac3-eac8-49d4-9f17-b7189fb3916a&thumb
충주 미륵대원지,충북 충주시,043-850-6724,"['가족여행', '가족체험여행', '관광지', '교과서속여행', '아이와함께', '역사', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d86dbe87-88f1-438e-a6f2-4caa73082f7f&thumb
청주 상당산성,충북 청주시,043-201-0202,"['가족여행', '관광지', '교과서속여행', '아이와함께', '역사', '역사유적지', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=11ae422a-5563-4fbf-b712-70827aece97b&thumb
문의문화재단지,충북 청주시,043-201-0915,"['가족여행', '관광지', '문의문화재단지', '박물관', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0689d604-9b09-4c43-b5bb-400ee3d5445f&thumb
단양 적성,충북 단양군,043-420-3114,"['가족여행', '관광지', '단양적성', '사적', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6966ddbf-7627-4b3c-af49-eebc4182916e&thumb
구절사,충북 옥천군,043-732-5888,"['관광지', '구절사', '불교', '불교문화', '사찰', '사찰여행', '역사', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=885d4609-15b3-4cda-a710-04d3b3063827&thumb
용암사(옥천),충북 옥천군,043-732-1400,"['가족여행', '관광지', '불교', '불교문화', '사찰', '사찰여행', '산사', '역사', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ced8a72b-ce2a-4be9-8570-9a231c067153&thumb
단양 금굴 구석기유적지,충북 단양군,043-420-2556,"['관광지', '교과서속여행', '단양금굴구석기유적지', '아이와함께', '역사', '역사공부']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9b3a0073-bda0-4493-8573-95e6679d48e6&thumb
영국사(영동),충북 영동군,043-743-8843,"['관광지', '불교', '불교문화', '사찰', '사찰여행', '산사', '역사', '연중무휴', '영국사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5851e7c8-c4f5-4543-ba4a-e0e5a35f7e97&thumb
보은 삼년산성,충북 보은군,043-540-3406,"['관광지', '역사', '역사공부', '역사관광지', '역사를품은곳', '역사문화재', '역사속']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c82689c-16b6-4016-a809-955e7b73cde1&thumb
청룡사(충주),충북 충주시,043-855-8856,"['가족여행', '관광지', '불교', '불교문화', '역사', '역사관광지', '역사문화재', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b5a520bf-6e92-41b9-985f-4f4c4e240f3f&thumb
단양 향산리 삼층석탑,충북 단양군,043-420-2556,"['가족여행', '관광지', '단양향산리삼층석탑', '보물', '역사', '역사공부', '역사관광']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5e39220-f2f9-4dc2-8ac1-699ae0565e2c&thumb
감곡매괴성모순례지성당,충북 음성군,043-881-2808,"['가족여행', '감곡매괴성모순례지성당', '관광지', '교과서속여행', '성지순례']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7835f3b9-b212-4272-b4c9-beb67f28b2c4&thumb
정지용 생가,충북 옥천군,043-730-3407,"['관광지', '교과서속여행', '아이와함께', '역사', '역사공부', '역사관광지', '역사를품은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a4d5f5eb-9321-4f68-ba5f-036df8ec2124&thumb
