name,region,tel,keyword,photo
강원도 탄광문화촌,강원 영월군,033-372-1520,"['가족체험여행', '강원권', '강원도탄광문화촌', '관광지', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1afcb975-dce1-4199-89c7-422ed13609d2&thumb
고성 DMZ박물관,강원 고성군,033-681-0625,"['DMZ여행', '강원권', '겨울방학가볼만한곳', '고성DMZ박물관', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14a8ba68-ec41-4605-ac23-9d8091b4e179&thumb
속초시립박물관·속초실향민문화촌,강원 속초시,033-639-2978,"['강원권', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3b81fba-c3bd-4d8c-8e28-30f04c1c44cc&thumb
강릉시 오죽헌/시립박물관,강원 강릉시,033-660-3301,"['강릉시시립박물관', '강릉시오죽헌', '강원권', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a259f950-c527-40f9-9932-050151f183cc&thumb
속초스파랜드,강원 속초시,033-638-9926,"['가족여행', '강원권', '관광지', '데이트코스', '목욕탕', '사계절', '속초스파랜드']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e6c9a58e-2150-4286-be87-29b69cc9d8e3&thumb
이효석 문학관,강원 평창군,033-330-2700,"['가족여행', '강원권', '기념관', '기차여행', '단체관람', '무장애', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=96306636-061e-460d-a8f8-edcc6c3190d2&thumb
다이나믹 메이즈 (속초점),강원 속초시,033-633-2004,"['가족체험여행', '관광지', '미술관', '실내놀이터', '실내레포츠', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c1f5785e-ed5b-4b97-b97b-9e526fb0b0af&thumb
"홍천테마파크(구, 예술촌)",강원 홍천군,033-436-1988,"['가족여행', '관광지', '남녀노소', '사계절', '산책하기', '산책하기좋은곳', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8364df58-ece3-4f70-a806-16e97f46e35a&thumb
태백 고생대자연사박물관,강원 태백시,033-581-3003,"['강원권', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9e9f97ec-19dd-4d72-9f36-5d2a2ffbc915&thumb
평창무이예술관,강원 평창군,033-335-4118,"['가족여행', '강원권', '기차여행', '데이트코스', '문화시설', '미술관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=30bf770c-3f8f-43e6-8edc-cbfb8411c24c&thumb
오산리선사유적박물관,강원 양양군,033-670-2442,"['강원권', '교과서속여행', '문화시설', '박물관', '실내여행지', '아이와함께', '오산리선사유적박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f4d562b2-aea9-4416-8863-108c462786f0&thumb
춘천막국수체험박물관,강원 춘천시,033-244-8869,"['강원권', '교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=aa7d31f5-80ca-44ca-bea1-dd068df0e391&thumb
강원도 산림박물관,강원 춘천시,033-248-6685,"['강원권', '강원도산림박물관', '교과서속여행', '문화시설', '박물관', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e0b62802-f54a-48ba-b035-235ed4934e17&thumb
에티오피아 한국전 참전기념관,강원 춘천시,033-240-7649,"['강원권', '교과서속여행', '기념관', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=865ba02a-3477-4044-ab8f-284b670d1807&thumb
