name,region,address,lat,lon
강원도 탄광문화촌,강원 영월군,강원도 영월군 북면 밤재로 351,37.2631059,128.4669049
고성 DMZ박물관,강원 고성군,강원도 고성군 현내면 통일전망대로 369,38.57624688,128.3825278
속초시립박물관·속초실향민문화촌,강원 속초시,강원도 속초시 신흥2길 16,38.20105323,128.5382041
강릉시 오죽헌/시립박물관,강원 강릉시,강원도 강릉시 율곡로3139번길 24,37.77830804,128.8767146
속초스파랜드,강원 속초시,강원도 속초시 미시령로3359번길 20,38.20711811,128.5746015
이효석 문학관,강원 평창군,강원도 평창군 봉평면 효석문학길 73-25,37.61317497,128.3701153
다이나믹 메이즈(속초점),강원 속초시,강원도 속초시 원암학사평길 88,38.20553481,128.5173869
"홍천테마파크(구, 예술촌)",강원 홍천군,강원도 홍천군 서석면 구룡령로 2800-22,37.70435935,128.214896
태백 고생대자연사박물관,강원 태백시,강원도 태백시 태백로 2249,37.0948994,129.0396319
평창무이예술관,강원 평창군,강원도 평창군 봉평면 사리평길 233,37.61527565,128.3487846
오산리선사유적박물관,강원 양양군,강원도 양양군 손양면 학포길 33,38.08589573,128.6604739
춘천막국수체험박물관,강원 춘천시,강원도 춘천시 신북읍 신북로 264,37.94879306,127.7497799
강원도 산림박물관,강원 춘천시,강원도 춘천시 화목원길 24,37.92264687,127.7251595
에티오피아 한국전 참전기념관,강원 춘천시,강원도 춘천시 이디오피아길 1,37.8737992,127.7117888
화진포생태박물관,강원 고성군,강원도 고성군 거진읍 화진포길 278,38.47218738,128.4436214
진부령미술관,강원 고성군,강원도 고성군 간성읍 흘리길 15-10,38.26547302,128.359622
태백시 문화예술회관,강원 태백시,강원도 태백시 고원로 203,37.17196057,128.9880394
강원 신재생에너지전시관,강원 평창군,강원도 평창군 대관령면 경강로 5754,37.68552302,128.7583027
국립춘천박물관,강원 춘천시,강원도 춘천시 우석로 70,37.86401877,127.7521907
숲사랑홍보관,강원 강릉시,강원도 강릉시 사천면 미노길 1,37.81715301,128.8513187
동강사진박물관,강원 영월군,강원도 영월군 영월읍 영월로 1909-10,37.18193994,128.4615511
커피커퍼 커피박물관,강원 강릉시,강원도 강릉시 왕산면 왕산로 2171-19,37.65223553,128.784661
양구통일관,강원 양구군,강원도 양구군 해안면 해안서화로 35,38.2900609,128.1455851
홍천교육도서관,강원 홍천군,강원도 홍천군 홍천읍 꽃뫼로 93,37.69179363,127.8838503
화천교육도서관,강원 화천군,강원도 화천군 화천읍 상승로3길 22,38.1067605,127.7044047
강원대학교중앙박물관,강원 춘천시,강원도 춘천시 강원대학길 1,37.86802431,127.7483874
한림대학교박물관,강원 춘천시,강원도 춘천시 한림대학길 1,37.88542866,127.7349573
내설악 백공미술관,강원 인제군,강원도 인제군 북면 황태길 245,38.2133718,128.3622348
