name,region,tel,keyword,photo
아쿠아플라넷 일산,경기 고양시,031-960-8500,"['당일치기여행', '데이트코스', '문화시설', '미세먼지_피하는_실내여행', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e2a8bda8-46b4-4b62-8146-86a9e184b88c&thumb
조명박물관,경기 양주시,070-7780-8911,"['교과서속여행', '문화시설', '박물관', '복합문화공간', '사계절', '상설공연', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=04084d57-5cbe-4850-a018-b0418f05d781&thumb
악티바,경기 광주시,031-763-4114,"['VR체험', '관광지', '남녀노소', '문화공간', '미세먼지_피하는_실내여행', '복합레저스포츠']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8cde03a3-d2b0-4562-9789-0077164b290f&thumb
화성식염온천,경기 화성시,031-351-9700,"['가족여행', '관광지', '발안식염온천', '수도권', '실내여행지', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=18293704-c2f3-4c2d-a099-471a2265f4e6&thumb
목아박물관,경기 여주시,031-885-9952,"['나들이', '목아박물관', '문화시설', '미세먼지_피하는_실내여행', '박물관', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=012813fe-1ca3-4065-ad10-f4f25d400b13&thumb
국립과천과학관,경기,02-3677-1500,"['가족과함께', '겨울방학가볼만한곳', '과천가볼만한곳', '국립과천과학관', '남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1fce5dd-69bd-4723-8cc3-330f0fe7a0ca&thumb
여주박물관,경기 여주시,031-887-3583,"['교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '박물관', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a71e90cb-fb0f-491e-8866-b2fe5bd866b8&thumb
백남준아트센터,경기 용인시,031-201-8500,"['문화시설', '문화예술', '미세먼지_피하는_실내여행', '미술관', '백남준아트센터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=58055fa4-ed5f-4245-a8e1-6193f3c028e2&thumb
모란미술관,경기 남양주시,031-594-8001,"['나들이', '데이트코스', '모란미술관', '문화시설', '미술관', '수도권', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3ca6ffc9-68e9-4ec8-a467-0a0aa1b20483&thumb
프라움악기박물관,경기 남양주시,031-521-6043,"['남양주가볼만한곳', '데이트코스', '문화공간', '문화시설', '복합문화공간', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9e5a026d-d0b3-4516-9e59-f228db38d1c7&thumb
주렁주렁 (롯데빅마켓 킨텍스점),경기 고양시,1644-2153,"['가족과함께', '고양가볼만한곳', '관광지', '남녀노소', '동물농장', '동물체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=47d4655f-af1f-4dec-b695-7615783e508b&thumb
여주세계생활도자관,경기 여주시,031-884-8644,"['가족여행', '도자기박물관', '문화시설', '미세먼지_피하는_실내여행', '반달미술관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fdeae97a-ed9e-4541-854e-9e006c170665&thumb
김포독립운동기념관,경기 김포시,031-996-6270,"['교과서속여행', '기념관', '김포독립기념관', '무장애', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e80dffb4-830d-4341-bba3-e64eee98a4cb&thumb
안산시세계문화체험관,경기 안산시,031-481-3732,"['가족과함께', '가족체험', '관광지', '미세먼지_피하는_실내여행', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c348d72a-bde8-4c95-9232-81b2a7088112&thumb
원마운트 워터파크,경기 고양시,1566-2232,"['가족여행', '관광지', '당일치기여행', '데이트코스', '도심여행', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c3e428b6-a86d-4112-bab7-d92cb514d3ac&thumb
이천시립월전미술관,경기 이천시,031-637-0033,"['나들이', '데이트코스', '문화시설', '미술관', '수도권', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=547ec234-c663-4bcc-93f0-d072d565b5dd&thumb
스토리 미니어처 뮤지엄,경기 파주시,031-947-0677,"['가족과함께', '관광지', '미세먼지_피하는_실내여행', '복합문화공간', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=94bb926f-c4d8-4bf0-8dcb-d59f6494d7f4&thumb
우석헌자연사박물관,경기 남양주시,031-572-9555,"['교과서속여행', '문화시설', '박물관', '사계절', '수도권', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8a6d6c1f-dd1c-4381-b545-d830c32e6a14&thumb
국립현대미술관(과천관),경기,02-2188-6000,"['과천관', '국립현대미술관', '나들이', '데이트코스', '문화시설', '미술관', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3714fee5-3884-4159-8ebf-b69d7e8d713e&thumb
광주문화원(경기),경기 광주시,031-764-0686,"['광주문화원', '문화시설', '문화원', '사계절', '서울근교여행', '수도권', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=18a265ed-906e-4089-ab69-d61d6a983685&thumb
중남미문화원,경기 고양시,031-962-9291,"['나들이', '데이트코스', '문화시설', '미술관', '박물관', '수도권', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cd0f4b56-1249-4971-94a6-2ceaac2b7ff9&thumb
지도박물관,경기 수원시,031-210-2667,"['교과서속여행', '문화시설', '박물관', '사계절', '수도권', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d825f882-afb9-4d2a-a497-dd414779be82&thumb
말박물관,경기,02-509-1287,"['나들이', '말박물관', '문화시설', '박물관', '수도권', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bcdb62df-0c6c-49db-8c8c-007c253c50fa&thumb
한국등잔박물관,경기 용인시,031-334-0797,"['당일치기여행', '문화시설', '박물관', '수도권', '실내여행지', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=219145af-7f2b-4e59-9df6-9d416a39b11f&thumb
하남역사박물관,경기 하남시,031-790-7990,"['교과서속여행', '문화시설', '박물관', '사계절', '수도권', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6987f3a8-6053-4fd9-9c39-739706cbc47f&thumb
가평현암농경유물박물관,경기 가평군,031-581-0612,"['가평현암농경유물박물관', '교과서속여행', '문화시설', '박물관', '수도권', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2d20226c-f459-49e1-bccc-aa2891a7a383&thumb
성남아트센터,경기 성남시,031-783-8000,"['가족여행', '문화시설', '문화행사', '사계절', '상설공연', '성남아트센터', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c083b65b-d404-404f-b98d-e0fe4cd22f80&thumb
창조자연사박물관,경기 시흥시,031-435-1009,"['교과서속여행', '문화시설', '박물관', '사계절', '수도권', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c27cd88-8f9d-4161-93f8-ce3951dc7046&thumb
