name,region,tel,keyword,photo
바람흔적미술관,경남 남해군,010-7542-3034,"['가족여행', '경상권', '기차여행', '문화시설', '미술관', '바람흔적미술관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5f55a807-bfc2-454e-b3fd-89f138e06803&thumb
해금강테마박물관,경남 거제시,055-632-0670,"['가족여행', '경상권', '교과서속여행', '문화시설', '박물관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=955de8f3-6c11-404e-8a6f-62d5febcb1fc&thumb
국립진주박물관,경남 진주시,055-740-0698,"['경상권', '국립진주박물관', '기차여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b71afa0d-f273-4432-b125-7569c9656d4d&thumb
통영시립박물관,경남 통영시,055-646-8371,"['경상권', '문화시설', '문화행사', '미세먼지_피하는_실내여행', '박물관', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2fb54ae9-495e-43f4-989b-2e8953caba54&thumb
합천박물관,경남 합천군,055-930-4882,"['경상권', '교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=93c26ac7-cc47-4c94-86ee-e96793c5bdef&thumb
표충사호국박물관,경남 밀양시,055-352-1150,"['문화시설', '미세먼지_피하는_실내여행', '박물관', '실내관광지', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ad1f0fd8-bba7-4ee3-b8b6-500f00056982&thumb
함양문화예술회관,경남 함양군,055-960-5544,"['경상권', '문화공간', '문화시설', '복합문화공간', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eefaf268-66fd-4722-8a5c-fba8500cd03e&thumb
김해문화의전당,경남 김해시,055-320-1234,"['경상권', '공연관람', '공연장', '김해문화의전당', '데이트코스', '문화시설', '문화예술']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d56724d3-8bf0-4beb-abf6-88ba2bf043ec&thumb
고성탈박물관,경남 고성군,055-672-8829,"['경상권', '고성탈박물관', '교과서속여행', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=22dcc428-98d0-4abd-9ba4-54ac5a984552&thumb
경남도립미술관,경남 창원시,055-254-4600,"['경남도립미술관', '경상권', '데이트코스', '문화시설', '사계절', '상설공연', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e47b732c-c26c-43c2-9d4a-c3ba90a6f7c5&thumb
남부산림자원연구소,경남 진주시,055-759-8231,"['경상권', '기차여행', '남부산림자원연구소', '문화시설', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c50ed778-8482-4328-8024-8d16d4756e04&thumb
대산미술관,경남 창원시,055-291-5237,"['기차여행', '대산미술관', '문화시설', '미술관', '실내여행지', '아이와함께', '예술']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cf871de8-b7fe-42fa-aae2-060add9ad149&thumb
통영시민문화회관,경남 통영시,055-650-4560,"['경북권', '공연장', '데이트코스', '문화시설', '복합문화공간', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=41ec3e07-503e-4fd5-88b2-66b402d7741e&thumb
함안도서관,경남 함안군,055-583-6920,"['경상권', '도서관', '문화시설', '사계절', '실내여행지', '아이와함께', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0d0e9dd5-c167-4042-8e8c-8359ec611bfc&thumb
KBS 창원홀,경남 창원시,055-280-7181,"['kbs창원홀', '가족여행', '경상권', '공연장', '나들이', '데이트코스', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=683f9a1f-c4e2-4fbb-9efc-2a818ecde619&thumb
경남대학교 박물관,경남 창원시,055-249-2922,"['경남대학교박물관', '경상권', '무료관람', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=undefined&thumb
