name,region,address,lat,lon
문경에코랄라,경북 문경시,경상북도 문경시 가은읍 왕능길 114,36.65526813,128.0591854
테디베어뮤지엄 경주,경북 경주시,경상북도 경주시 보문로 280-34,35.85189357,129.2734577
안동 온뜨레피움,경북 안동시,경상북도 안동시 관광단지로 346-95,36.5667892,128.7822558
유교랜드,경북 안동시,경상북도 안동시 관광단지로 346-30,36.5695097,128.7786154
민물고기생태체험관,경북 울진군,경상북도 울진군 근남면 불영계곡로 3532,36.96655572,129.3809874
김천부항댐 물 문화관,경북 김천시,경상북도 김천시 지례면 부항로 195,35.9787411,128.0174221
경상북도독립운동기념관,경북 안동시,경상북도 안동시 임하면 독립기념관길 2,36.53319519,128.8582222
사일온천,경북 영천시,경상북도 영천시 사일로 458-64,35.97342155,128.8705563
소수박물관,경북 영주시,경상북도 영주시 순흥면 소백로 2780,36.92592352,128.582312
안동민속박물관,경북 안동시,경상북도 안동시 민속촌길 13,36.5760673,128.7644396
군립 청송야송미술관,경북 청송군,경상북도 청송군 진보면 경동로 5162,36.50585697,129.1192011
청송민속박물관,경북 청송군,경상북도 청송군 청송읍 주왕산로 222,36.38966103,129.0838038
하회세계탈박물관,경북 안동시,경상북도 안동시 풍천면 전서로 206,36.54896283,128.5274904
구미시문화예술회관,경북 구미시,경상북도 구미시 송정대로 89,36.11837776,128.3489815
전통문화콘텐츠박물관,경북 안동시,경상북도 안동시 서동문로 203,36.56623528,128.7339866
경주예술의전당,경북 경주시,경상북도 경주시 알천북로 1,35.86235646,129.2059962
영남대학교박물관,경북 경산시,경상북도 경산시 대학로 280,35.83049163,128.7521801
대구대학교 중앙박물관,경북 경산시,경상북도 경산시 진량읍 대구대로 201,35.90453897,128.8428133
영덕어촌민속전시관,경북 영덕군,경상북도 영덕군 강구면 해상공원길 96-8,36.35030523,129.3866924
의성문화체육회관,경북 의성군,경상북도 의성군 의성읍 충효로 88,36.35527766,128.7024955
성주문화예술회관,경북 성주군,경상북도 성주군 성주읍 성산9길 45,35.91837543,128.3012964
국립안동대학교박물관,경북 안동시,경상북도 안동시 경동로 1375,36.5414385,128.797564
동국대학교 경주캠퍼스박물관,경북 경주시,경상북도 경주시 동대로 123,35.86479385,129.1910309
대구가톨릭대학교 역사박물관,경북 경산시,경상북도 경산시 하양읍 하양로 13-13,35.90896711,128.807422
상주시 문화회관,경북 상주시,경상북도 상주시 상산로 235,36.41190225,128.1591952
