name,region,tel,keyword,photo
이월드 83타워,대구 달서구,053-620-0001,"['가족여행', '경상권', '관광지', '데이트코스', '도심여행', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=415873ec-7fb7-495f-879f-cdb2dc3121b9&thumb
국립대구박물관,대구 수성구,053-768-6051,"['국립대구박물관', '데이트코스', '무료관람', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2a57aaa4-d3b8-4829-9ec9-2fb0353dc5b1&thumb
계명대학교 행소박물관,대구 달서구,053-580-6992,"['계명대학교행소박물관', '무료관람', '문화시설', '박물관', '수도권', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4abc27a3-441e-43f8-872b-218a2fc3c2c2&thumb
향촌문화관,대구 중구,053-661-2331,"['경상권', '문화시설', '미세먼지_피하는_실내여행', '설날연휴가볼만한곳', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2b34176f-174b-4955-8d40-96ff19e39413&thumb
향토역사관,대구 중구,053-606-6421,"['경상권', '교과서속여행', '기념관', '문화시설', '박물관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a8734580-3678-438a-8ad1-ebc529894827&thumb
대백프라자갤러리,대구 중구,053-420-8015,"['가족여행', '기차여행', '대백프라자갤러리', '문화시설', '미술관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2868aa31-8b4f-49da-846e-a575dc0d9222&thumb
대구오페라하우스,대구 북구,053-666-6000,"['대구오페라하우스', '도심여행', '문화시설', '실내여행지', '연인과함께', '음악회']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3989e948-b7b0-4d3d-a682-cd94db1df0a0&thumb
수성구립 고산도서관,대구 수성구,053-668-1900,"['경상권', '독서여행', '문화시설', '수성구립고산도서관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2c1aa1c2-4e8b-4327-a60f-999905677391&thumb
수성구립 용학도서관,대구 수성구,053-668-1700,"['독서여행', '문화공간', '문화시설', '복합문화공간', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=03fa11f7-a40a-44dd-a7b5-382ea7470f9c&thumb
대구콘서트하우스 (구.대구시민회관),대구 중구,053-250-1400,"['가족여행', '공연장', '기차여행', '나들이', '대구시민회관', '대구콘서트하우스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8e916593-20c8-44d1-a86d-6d1f356b74a3&thumb
대구 중구문화원,대구 중구,053-255-5123,"['경상권', '대구중구문화원', '문화', '문화시설', '문화원', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c9c3df3-48c1-42ca-ae84-86160f0351f8&thumb
동원화랑,대구 중구,053-423-1300,"['기차여행', '나들이', '데이트코스', '동원화랑', '문화시설', '미술관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=46963259-4611-4a0e-8492-71963901dc6d&thumb
