name,region,tel,keyword,photo
장기려기념 더 나눔센터,부산 동구,051-468-1248,"['가족과함께', '문화공간', '문화시설', '미세먼지_피하는_실내여행', '실내데이트']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e15752a1-b681-4d35-920c-fd6ee1fa4871&thumb
SEA LIFE 부산아쿠아리움,부산 해운대구,051-740-1700,"['가족과함께', '경상권', '남녀노소', '도심여행', '문화시설', '문화행사', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd0e0acb-4f95-4b4a-a3a8-4564ed721377&thumb
신세계 센텀시티,부산 해운대구,1588-1234,"['가족여행', '경상권', '관광지', '남녀노소', '부산가볼만한곳', '신세계센텀시티']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b4e33095-3a70-4353-8af8-5b45c87e7027&thumb
스파랜드 센텀시티,부산 해운대구,1668-2850,"['가족과함께', '경상권', '관광지', '뷰티&스파', '스파랜드센텀시티', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd1d19be-25d4-46bf-a0c3-b8a9fec29242&thumb
용두산공원 부산타워 세양,부산 중구,051-257-9393,"['가족과함께', '경상권', '기념품판매', '데이트코스', '사계절', '쇼핑', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b3d5690b-a582-4cc3-a969-5927e0aeb3c4&thumb
부산시립미술관,부산 해운대구,051-744-2602,"['데이트코스', '문화시설', '미술관', '부산시립미술관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3e362471-c362-403e-b167-cba24c28fda9&thumb
수산과학관(부산),부산 기장군,051-720-3061,"['기차여행', '문화시설', '수산과학관', '실내여행지', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=93e979c4-ae2a-4529-acae-a0b075016aae&thumb
부산자유회관(부산통일관),부산 부산진구,051-808-7960,"['경상권', '교과서속여행', '문화시설', '부산자유회관', '부산통일관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e354aa1e-2a73-4af6-ac32-306e025edecf&thumb
부산문화회관,부산 남구,051-607-6000,"['가족여행', '공연장', '기차여행', '나들이', '데이트코스', '문화시설', '부산문화회관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0989e650-4e80-40fe-a880-285102f998e7&thumb
부산여자대학 차박물관,부산 부산진구,051-850-3112,"['가족여행', '경상권', '문화시설', '박물관', '부산여자대학교', '부산여자대학교차박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=86a1c0a4-b2d7-4e8a-b132-31e39fb1e3f9&thumb
동삼동패총전시관,부산 영도구,051-403-1193,"['경상권', '교과서속여행', '동삼동패총전시관', '문화시설', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=90f60335-0c1b-4640-ae38-a80c5a070daa&thumb
부산시민회관,부산 동구,051-630-5200,"['가족여행', '공연장', '기차여행', '나들이', '데이트코스', '문화시설', '부산시민회관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8ae26735-a936-4fe8-8837-c15edd943971&thumb
경성대학교 문화홍보처 박물관,부산 남구,051-663-5381,"['경성대학교문화홍보처박물관', '무료관람', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=de913c06-7b22-4864-a2f5-ce3f7fb56bd1&thumb
갤러리 미고,부산 해운대구,051-731-3444,"['갤러리미고', '문화시설', '문화예술', '미술', '실내여행지', '전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9ffa8d96-17db-4901-9089-8ee6970f2a59&thumb
