name,region,address,lat,lon
장기려기념 더 나눔센터,부산 동구,부산광역시 동구 영초윗길 48,35.11853779,129.0326545
SEA LIFE 부산아쿠아리움,부산 해운대구,부산광역시 해운대구 해운대해변로 266,35.15919963,129.1610154
신세계 센텀시티,부산 해운대구,부산광역시 해운대구 센텀남대로 35,35.16881784,129.1295233
스파랜드 센텀시티,부산 해운대구,부산광역시 해운대구 센텀남대로 35,35.16881784,129.1295233
용두산공원 부산타워 세양,부산 중구,부산광역시 중구 용두산길 37-55,35.10092943,129.0324428
부산시립미술관,부산 해운대구,부산광역시 해운대구 APEC로 58,35.16668716,129.1370273
수산과학관(부산),부산 기장군,부산광역시 기장군 기장읍 기장해안로 216,35.19109529,129.2222841
부산자유회관(부산통일관),부산 부산진구,부산광역시 부산진구 초읍천로 113-10,35.18232366,129.0456184
부산문화회관,부산 남구,부산광역시 남구 유엔평화로76번길 1,35.12718493,129.0934781
부산여자대학 차박물관,부산 부산진구,부산광역시 부산진구 진남로 506,35.16923652,129.0720552
동삼동패총전시관,부산 영도구,부산광역시 영도구 태종로 729,35.07121581,129.0796677
부산시민회관,부산 동구,부산광역시 동구 자성로133번길 16,35.13884638,129.065224
경성대학교 문화홍보처 박물관,부산 남구,부산광역시 남구 수영로 309,35.13843836,129.100099
갤러리 미고,부산 해운대구,부산광역시 해운대구 해운대해변로298번길 24,35.16020159,129.1665793
