name,region,address,lat,lon
국립중앙박물관,서울 용산구,서울특별시 용산구 서빙고로 137,37.52470224,126.9777402
롯데월드타워 서울스카이,서울 송파구,서울특별시 송파구 올림픽로 300,37.51375196,127.1044469
청와대사랑채,서울 종로구,서울특별시 종로구 효자로13길 45,37.58254488,126.9730593
서대문형무소역사관,서울 서대문구,서울특별시 서대문구 통일로 251,37.57460851,126.9556118
챔피언1250,서울 용산구,서울특별시 용산구 한강대로21나길 17,37.5288539,126.9640447
서울 트릭아이뮤지엄,서울 마포구,서울특별시 마포구 홍익로3길 20,37.55351606,126.9217154
롯데월드타워&롯데월드몰,서울 송파구,서울특별시 송파구 올림픽로 300,37.51375196,127.1044469
한국종합무역센터(코엑스),서울 강남구,서울특별시 강남구 영동대로 513,37.51182391,127.059159
국립어린이과학관,서울 종로구,서울특별시 종로구 창경궁로 215,37.58203191,126.9970157
전쟁기념관,서울 용산구,서울특별시 용산구 이태원로 29,37.53731405,126.9784661
롯데월드 아쿠아리움,서울 송파구,서울특별시 송파구 올림픽로 300 롯데월드 몰 B1,37.51375196,127.1044469
아쿠아플라넷 63,서울 영등포구,서울특별시 영등포구 63로 50,37.51966416,126.9399093
서울특별시교육청 과학전시관,서울 관악구,서울특별시 관악구 낙성대로 101,37.46881648,126.9594109
다이나믹 메이즈 (서울 인사동점),서울 종로구,서울특별시 종로구 인사동길 12,37.57189615,126.9872306
국립고궁박물관,서울 종로구,서울특별시 종로구 효자로 12,37.57659162,126.9749748
VR스테이션,서울 강남구,서울특별시 강남구 강남대로 364,37.49554987,127.0292939
대한민국역사박물관,서울 종로구,서울특별시 종로구 세종대로 198,37.57371361,126.9783394
안중근의사기념관,서울 중구,서울특별시 중구 소월로 91,37.55346849,126.9804043
코엑스 아쿠아리움,서울 강남구,서울특별시 강남구 영동대로 513,37.51182391,127.059159
백범김구기념관,서울 용산구,서울특별시 용산구 임정로 26,37.54427794,126.959253
박물관은 살아있다(인사동점),서울 종로구,서울특별시 종로구 인사동길 12,37.57189615,126.9872306
키자니아 서울,서울 송파구,서울특별시 송파구 올림픽로 240,37.51130961,127.0981418
보라매안전체험관,서울 동작구,서울특별시 동작구 여의대방로20길 33,37.49538106,126.9189142
삼성미술관 리움,서울 용산구,서울특별시 용산구 이태원로55길 60-16,37.53846127,126.9992941
국립현대미술관(덕수궁관),서울 중구,서울특별시 중구 세종대로 99,37.56616815,126.9739838
브이센터 (브이센터 더라이브뮤지엄),서울 강동구,서울특별시 강동구 아리수로61길 103,37.56539313,127.1477152
실로암사우나찜질방,서울 중구,서울특별시 중구 중림로 49,37.55774361,126.968629
종이나라박물관,서울 중구,서울특별시 중구 장충단로 166,37.55964972,127.0061539
