name,region,address,lat,lon
황어장터 3.1만세운동 기념관,인천 계양구,인천광역시 계양구 황어로126번길 9,37.57902483,126.7353117
강화역사박물관,인천 강화군,인천광역시 강화군 하점면 강화대로 994-19,37.77371034,126.4353383
스파시스,인천 미추홀구,인천광역시 미추홀구 경인로 263,37.46277933,126.6719532
수도국산달동네박물관,인천 동구,인천광역시 동구 솔빛로 51,37.47777516,126.6392236
부평역사박물관,인천 부평구,인천광역시 부평구 굴포로 151,37.51214216,126.7379081
인천문화예술회관,인천 남동구,인천광역시 남동구 예술로 149,37.44758892,126.7000558
인천우체국,인천 중구,인천광역시 중구 제물량로 183,37.47013228,126.6235355
인천개항박물관,인천 중구,인천광역시 중구 신포로23번길 89,37.47331375,126.620332
중구생활사전시관,인천 중구,인천광역시 중구 신포로23번길 101,37.47355849,126.6199768
한중문화관,인천 중구,인천광역시 중구 제물량로 238,37.47358364,126.6187763
인천수봉문화회관,인천 미추홀구,인천광역시 미추홀구 수봉안길 78,37.46153324,126.6622628
전원미술관,인천 강화군,인천광역시 강화군 송해면 강화대로766번길 27,37.76665206,126.4584439
