name,region,tel,keyword,photo
군산근대역사박물관,전북 군산시,063-454-5953,"['가족여행', '교과서속으로', '군산근대역사박물관', '근대문화유산', '문화시설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=94fc6e8f-a0d4-4a9c-925d-fd6ab7fb4e7d&thumb
국립전주박물관,전북 전주시,063-233-5651,"['교과서속여행', '국립전주박물관', '기차여행', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eb4d6ec2-bed2-4a0c-92b7-91f1d6ab1c0e&thumb
부안청자박물관,전북 부안군,063-580-3964,"['가족여행', '가족체험여행', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dee6bf30-6851-4345-9a67-1019c5be7941&thumb
고창판소리박물관,전북 고창군,063-560-8061,"['고창판소리박물관', '기차여행', '문화시설', '실내여행지', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=27ba5e61-ce19-4d5d-8abe-f79007f84a39&thumb
순창장류박물관,전북 순창군,063-650-1627,"['가족여행', '문화시설', '박물관', '순창가볼만한곳', '순창장류박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=659235ec-23f5-4718-accd-4054e61abde3&thumb
진안역사박물관,전북 진안군,063-430-8086,"['교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4716e4f4-4d7f-4bdf-99de-e00e69ac33a5&thumb
익산시솜리문화예술회관,전북 익산시,063-859-5278,"['가족여행', '공연장', '데이트코스', '문화시설', '실내여행지', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=392ab97a-8909-40e4-8cf9-ad9eabc28d5c&thumb
석정문학관,전북 부안군,063-584-0560,"['가족체험', '문학관', '문학기행', '문화시설', '문화활동', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b9363d4c-b8b5-4bcd-8a3d-73a82668512b&thumb
전주완산도서관,전북 전주시,063-287-6417,"['도서관', '문화시설', '사계절', '실내여행지', '아이와함께', '전라권', '전주완산도서관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd9bd39e-72c8-4ba3-9f91-cca8d1e34a4c&thumb
농업과학관,전북 전주시,063-238-1300,"['교과서속여행', '농업과학관', '문화시설', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cf35b9ba-f728-4cf5-a728-d31a97b1af8b&thumb
미당 서정주 시문학관,전북 고창군,063-560-8058,"['가족여행', '교과서속여행', '기념관', '문화시설', '미당서정주시문학관', '사계절']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8956f8b4-cb8e-434f-903f-133caaa751cf&thumb
무주양수홍보관,전북 무주군,070-4000-2141,"['교과서속여행', '무주양수홍보관', '문화시설', '박물관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=36f1307a-568f-4849-9584-6ff22b928ad9&thumb
한국소리문화의전당,전북 전주시,063-270-8000,"['가족여행', '기차여행', '기획전시', '문화시설', '미술관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8f262bd0-0190-4536-af02-06e1c69b7155&thumb
국립민속국악원,전북 남원시,063-620-2324,"['가족여행', '공연장', '국립민속국악원', '나들이', '문화시설', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cdeffb34-2030-442e-ac98-a68ac5263bf4&thumb
원광대학교 박물관,전북 익산시,063-850-5483,"['기차여행', '문화시설', '박물관', '실내여행지', '아이와함께', '원광대학교박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d5d2162a-bd5d-4967-aeac-2cf9e60ade32&thumb
원불교역사박물관,전북 익산시,063-850-3240,"['기념관', '문화시설', '박물관', '사계절', '실내여행지', '원불교역사박물관', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2b30bfa3-47d2-46f4-bd24-c36df6a289d6&thumb
국립전북기상과학관,전북 정읍시,063-538-0665,"['VR체험관', '과학관', '교육관광', '문화시설', '실내여행지', '아이와함께', '전북']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4b1582db-9789-4c10-b75e-02a407e69d23&thumb
