name,region,address,lat,lon
제주 세계자연유산센터,제주 제주시,제주특별자치도 제주시 조천읍 선교로 569-36,33.45691987,126.7147521
제주테지움,제주 제주시,제주특별자치도 제주시 애월읍 평화로 2159,33.4122175,126.3935364
피규어뮤지엄 제주,제주 제주시,제주특별자치도 서귀포시 안덕면 한창로 243,33.28190379,126.3553569
김영갑 갤러리(두모악),제주 서귀포시,제주특별자치도 서귀포시 성산읍 삼달로 137,33.37236763,126.8542458
국립제주박물관,제주 제주시,제주특별자치도 제주시 일주동로 17,33.51379671,126.5479096
아쿠아플라넷 제주,제주 서귀포시,제주특별자치도 서귀포시 성산읍 섭지코지로 95,33.43297686,126.9277955
제주서커스월드공연장,제주 서귀포시,제주특별자치도 서귀포시 안덕면 동광로 214,33.31438574,126.3448192
박물관은 살아있다(제주중문점),제주 서귀포시,제주특별자치도 서귀포시 중문관광로 42,33.25490055,126.4097703
해녀박물관,제주 제주시,제주특별자치도 제주시 구좌읍 해녀박물관길 26,33.52360988,126.8634256
믿거나 말거나 박물관,제주 서귀포시,제주특별자치도 서귀포시 중문관광로110번길 32,33.25121501,126.4128217
드라마월드,제주 제주시,제주특별자치도 제주시 애월읍 화전길 3,33.35194461,126.3605387
제주도립미술관,제주 제주시,제주특별자치도 제주시 1100로 2894-78,33.45255002,126.4896861
서귀포천문과학문화관,제주 서귀포시,제주특별자치도 서귀포시 1100로 506-1,33.28885198,126.4604137
SOS박물관,제주 서귀포시,제주특별자치도 서귀포시 월드컵로 31,33.24706746,126.5073626
펀테마파크,제주 제주시,제주특별자치도 제주시 조천읍 선교로 266-4,33.47894979,126.7006525
캐릭파크,제주 제주시,제주특별자치도 제주시 조천읍 선교로 264,33.47959444,126.7005408
조안베어뮤지엄,제주 서귀포시,제주특별자치도 서귀포시 대포로 113,33.24025015,126.4341101
닥종이인형박물관,제주 서귀포시,제주특별자치도 서귀포시 월드컵로 33,33.24621937,126.5092753
제주난타전용관,제주 제주시,제주특별자치도 제주시 선돌목동길 56-26,33.44582735,126.5479104
제주국제평화센터,제주 서귀포시,제주특별자치도 서귀포시 중문관광로 227-24,33.24438838,126.4220223
제주 문화예술진흥원,제주 제주시,제주특별자치도 제주시 동광로 69,33.50444397,126.5351724
서귀포문화원,제주 서귀포시,제주특별자치도 서귀포시 동홍로 31-7,33.25179835,126.566458
제주통일관,제주 제주시,제주특별자치도 제주시 신산로9길 4,33.50787107,126.5344436
