name,region,tel,keyword,photo
온양관광호텔 온천탕,충남 아산시,041-540-1500,"['가족여행', '관광지', '뷰티&스파', '실내여행지', '온양관광호텔', '온천&스파']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3391103d-12e6-4b19-a8cf-010376b8084c&thumb
국립공주박물관,충남 공주시,041-850-6300,"['교과서속여행', '국립공주박물관', '기차여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f0a91da9-7179-4cb9-9319-dc67f2f0c0e4&thumb
천안 독립기념관,충남 천안시,041-560-0114,"['3·1운동_100주년_여행지추천', '기념관', '독립기념관', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=17617aa6-513f-4c24-b0b7-f3edaf33feb8&thumb
고남패총박물관,충남 태안군,041-670-2337,"['고남패총박물관', '교과서속여행', '문화시설', '박물관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0300394a-1f17-47a2-a0ed-3a86253e1a56&thumb
백제군사박물관,충남 논산시,041-746-8431,"['교과서속여행', '문화시설', '박물관', '백제군사박물관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e5402631-e4eb-4021-826f-8a0c6b19ad6c&thumb
지당자연사박물관,충남 공주시,041-857-0001,"['교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께', '전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=28b93fd4-b434-4f7c-9d30-c2900e62d7d1&thumb
정림사지박물관,충남 부여군,041-832-2721,"['교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께', '정림사지박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=977c5246-8fec-4f16-bc66-7decd7d71480&thumb
합덕수리민속박물관,충남 당진시,041-350-4931,"['교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d23f2284-eb78-4471-96bd-fab3fac88733&thumb
백제역사문화관,충남 부여군,041-408-7274,"['교과서속여행', '문화시설', '박물관', '백제역사문화관', '사계절', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b28ceef2-706b-42c0-8fe2-6a7ba73c05d4&thumb
공주문예회관,충남 공주시,041-840-2180,"['가족여행', '공연장', '공주문예회관', '문화시설', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e02081a5-eb01-4069-95a3-d620575b5050&thumb
예산군문예회관,충남 예산군,041-339-8211,"['가족여행', '공연장', '나들이', '데이트코스', '문화시설', '복합문화공간', '스포츠센터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2838d6e2-2221-45f3-9570-28112bf5126d&thumb
아라리오갤러리 천안,충남 천안시,041-551-5100,"['문화시설', '미술', '실내여행지', '아리리오갤러리', '전시관', '천안', '친구와 함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=29afb472-5d99-4cf5-ab2d-4d5e2fdbd9d0&thumb
