name,region,tel,keyword,photo
충주세계무술박물관,충북 충주시,043-848-8483,"['가족여행', '교과서속여행', '문화시설', '미세먼지_피하는_실내여행', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9dc0e520-aa46-4f2d-b01d-cce465fd49d7&thumb
단양 다누리아쿠아리움,충북 단양군,043-420-2951,"['가족과함께', '가족여행', '가족체험여행', '교과서속정보', '다누리아쿠아리움']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d3bf580d-3c17-42f0-b297-ab68136ca5ad&thumb
술박물관 리쿼리움,충북 충주시,043-855-7333,"['기념품판매', '문화시설', '박물관', '사계절', '술박물관리쿼리움', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=53fc4668-c943-4348-abcf-df1c3223639c&thumb
공군박물관,충북 청주시,043-290-6071,"['공군박물관', '교과서속여행', '무료관람', '문화시설', '박물관', '실내여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c6720798-da59-4aea-b6a7-b7c0216b91bd&thumb
진천 종박물관,충북 진천군,043-539-3847,"['교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께', '진천종박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac1fec55-01cd-4193-bdfa-99d18a8ddf25&thumb
국립청주박물관 어린이박물관,충북 청주시,043-229-6313,"['국립청주박물관', '기차여행', '문화시설', '박물관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f0c38510-c278-41a6-abb3-5ccc37e0e9a8&thumb
철박물관,충북 음성군,043-883-2321,"['교과서속여행', '문화시설', '박물관', '실내여행지', '아이와함께', '전시관', '철박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=86559cfd-d3dd-47e3-8f29-f7de7ac62b95&thumb
충주박물관,충북 충주시,043-850-3924 043-850-3921,"['기차여행', '문화시설', '미세먼지_피하는_실내여행', '박물관', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=91418d6c-755a-4a30-b652-ddb916821bee&thumb
국립현대미술관(청주관),충북 청주시,043-261-1400,"['관광지', '국립현대미술관', '기획전시', '문화시설', '문화예술공간', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1635e09d-04db-49a2-b27d-936bc2734b93&thumb
괴산한지체험박물관,충북 괴산군,043-832-3223,"['가족과함께', '괴산가볼만한곳', '괴산한지체험박물관', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1dacbb2d-66cb-41a0-8704-f9d34b636665&thumb
국립청주박물관,충북 청주시,043-229-6300,"['국립청주박물관', '기차여행', '문화시설', '박물관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=604dfb7f-1271-4416-8231-0e716361b989&thumb
한독의약박물관,충북 음성군,043-530-1004,"['가족여행', '문화시설', '미세먼지_피하는_실내여행', '박물관', '실내관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=62afdc1a-4c3d-48f6-9ac6-7484cbae948f&thumb
한국잠사박물관(청주),충북 청주시,043-238-1267,"['교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e822617c-4f68-4398-b781-f2023714e35d&thumb
청주시립대청호미술관,충북 청주시,043-201-0911,"['가족여행', '문화시설', '문화행사', '미술관', '사계절', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b8f47f05-c173-4782-990a-d9cd36d16a2d&thumb
한국교원대학교 교육박물관,충북 청주시,043-230-3361,"['기차여행', '무료관람', '문화시설', '박물관', '실내여행지', '아이와함께', '전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=894a27cc-6254-4d5e-b3bd-230c02daf17b&thumb
음성 향토민속자료전시관,충북 음성군,043-871-3068,"['교과서속여행', '문화시설', '사계절', '실내여행지', '아이와함께', '음성향토민속자료전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=36f8b299-ae65-45cc-82ca-735f44ef50ec&thumb
영동군 난계국악당,충북 영동군,043-740-3884,"['가족여행', '공연장', '나들이', '데이트코스', '문화시설', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac688b56-e5ea-427f-9f3a-29eaebea9ed7&thumb
성마루미술관,충북 충주시,043-848-7200,"['가족여행', '문화시설', '미술관', '사계절', '성마루미술관', '실내여행지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=304fd590-16b3-4bae-b235-94f5c26d0453&thumb
지적박물관,충북 제천시,043-651-5115,"['교과서속여행', '문화시설', '박물관', '사계절', '실내여행지', '아이와함께', '지적박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3ebca238-214a-4f68-9cc3-864701c36b8b&thumb
충청북도자연과학교육원 과학전시관,충북 청주시,043-229-1884,"['과학관', '과학체험', '무더위_피해_실내여행', '문화시설', '미세먼지_피하는_실내여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f7249d65-10d9-45b4-967b-25cb7a2e1da3&thumb
생거판화 미술관,충북 진천군,043-539-3607,"['', '미세먼지_피하는_실내여행', '문화시설', '문화예술공간', '미술관', '복합문화공간']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=62fb4790-70d3-4dbe-bb80-49107ea5cd3b&thumb
