name,region,address,lat,lon
국립청주박물관,충북 청주시,충청북도 청주시 상당구 명암로 143,36.64966894,127.5120091
한독의약박물관,충북 음성군,충청북도 음성군 대소면 대풍산단로 78,36.97056729,127.465316
한국잠사박물관(청주),충북 청주시,충청북도 청주시 흥덕구 강내면 청주역로 213-52,36.63936808,127.3822358
청주시립대청호미술관,충북 청주시,충청북도 청주시 상당구 문의면 대청호반로 721,36.50711307,127.4937195
한국교원대학교 교육박물관,충북 청주시,충청북도 청주시 흥덕구 강내면 태성탑연로 250,36.6056652,127.3573247
음성 향토민속자료전시관,충북 음성군,충청북도 음성군 음성읍 설성공원길 10-7,36.93129655,127.6916111
영동군 난계국악당,충북 영동군,충청북도 영동군 영동읍 성안길 11,36.17591836,127.7712217
성마루미술관,충북 충주시,충청북도 충주시 대소원면 장성길 38-1,36.96136388,127.838825
지적박물관,충북 제천시,충청북도 제천시 금성면 양월로 34,37.07610652,128.1976841
충청북도자연과학교육원 과학전시관,충북 청주시,충청북도 청주시 상당구 대성로 150,36.63856953,127.4926603
생거판화 미술관,충북 진천군,충청북도 진천군 진천읍 백곡로 1504-12,36.87002892,127.4131749
