name,region,tel,keyword,photo
홍천 은행나무숲,강원 홍천군,033-430-4501,"['가을단풍축제', '가족여행', '강원권', '걷기여행', '걷기좋은길', '관광지', '산책길']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d34cf5dd-9278-4a7d-91fa-f13206879fde&thumb
원대리 자작나무 숲 (속삭이는 자작나무 숲),강원 인제군,033-461-9696,"['가족여행', '강원권', '경치좋은곳', '관광지', '원대리자작나무숲', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4f905970-06dd-41ed-958b-f54633365194&thumb
원주 소금산 출렁다리,강원 원주시,033-731-4088,"['강원권', '경치좋은곳', '관광지', '등산', '사진찍기좋은곳', '소금산', '원주가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8282aace-a063-486d-ba66-88bc79c14a7a&thumb
강릉 경포해수욕장,강원 강릉시,033-640-4901,"['강릉경포해수욕장', '강원권', '관광지', '바다경치', '바다풍경', '야간관광100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4dfc2b8d-3a67-4835-80c0-a80e9c35fcb8&thumb
삼척 미인폭포,강원 삼척시,033-575-1330,"['경치여행', '경치좋은곳', '남녀노소', '사진찍기', '사진찍기좋은곳', '자연', '자연발생']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac402997-2250-4242-9b05-26172f01f378&thumb
하늬라벤더팜,강원 고성군,033-681-0005,"['가족과함께', '관광지', '꽃여행', '라벤더', '봄날여행', '봄에가볼만하곳', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3301a82a-d059-48cb-bc96-c4d22e09942d&thumb
점봉산 곰배령,강원 인제군,033-463-8166,"['가족과함께', '강원권', '관광지', '자연', '자연관광지', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=465f73dc-2e15-4568-b27c-5e90536a015b&thumb
외옹치해변,강원 속초시,033-639-2690,"['강원권', '관광지', '미식여행', '바다풍경', '외옹치해변', '자연', '피서여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7d7d51dd-7efc-438a-b63c-8b6e59e8b7d7&thumb
오대산 선재길,강원 평창군,033-332-6417,"['강원권', '걷기여행', '레포츠', '산림욕', '오대산선재길', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8c3dfdc6-02dd-41de-ad3d-47deb173b4e0&thumb
장호항,강원 삼척시,033-572-3011,"['강원권', '관광지', '자연', '장호항', '풍경좋은곳', '항구']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bdf9163d-c6b4-4698-83a9-33442f87d9aa&thumb
송정해변(송정해수욕장),강원 강릉시,033-640-4922,"['가족여행', '강원권', '관광지', '기차여행', '나들이', '당일치기여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6cb66677-1ff2-45bd-b078-44cb2ff65bec&thumb
안목해변,강원 강릉시,033-660-3887,"['강원권', '관광지', '바다풍경', '안목해변', '여름휴가', '자연', '친구와함께', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=87414edd-0624-4a13-82cc-cea1d6906589&thumb
백룡동굴 (강원고생대 국가지질공원),강원 평창군,033-560-2379,"['강원고생대_국가지질공원', '관광지', '국가지질공원', '미세먼지탈출_이색동굴여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=42346f11-01b0-4f9f-a5c6-c7fdc87a136b&thumb
제이드가든 수목원,강원 춘천시,033-260-8300,"['강원권', '관광지', '수목원', '연중무휴', '자연', '제이드가든수목원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=59df0903-ee70-4bc0-85de-50c885bca008&thumb
속초해변,강원 속초시,033-639-2027,"['가족여행', '강원권', '관광지', '기차여행', '나들이', '당일치기여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f24f4c87-d1e6-49d7-976a-d65370221fa6&thumb
삼척해상케이블카,강원 삼척시,033-570-4606,"['강원권', '관광지', '삼척해상케이블카', '자연', '풍경여행', '해상케이블카']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ae80ece1-0141-4f64-96c8-2dd1e842a888&thumb
추암 촛대바위,강원 동해시,033-530-2801,"['강원권', '관광지', '명소', '자연', '추암촛대바위', '풍경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=be0b4599-1af9-4372-9232-2712f92db182&thumb
아바이마을,강원 속초시,010-6374-7355,"['가족여행', '강원권', '관광지', '아바이마을', '영화&드라마촬영지', '자연', '주말추천여행지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14f2ddb5-aeb2-45bc-bb8f-15e5d5fcfdb1&thumb
송지호 해안 서낭바위 (강원평화지역 국가지질공원),강원 고성군,033-249-3881,"['강원권', '관광지', '국가지질공원', '송지호', '자연', '자연관광지', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=de86b37e-7cfd-4191-908b-5ef2320ab47f&thumb
영진해변,강원 강릉시,033-660-3682,"['강원권', '관광지', '바다경치', '바다내음', '바다풍경', '여름여행', '여름휴가']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c1a40a03-e49c-4cee-950c-10646c0c364a&thumb
대금굴 (대이리 동굴지대),강원 삼척시,033-541-7600,"['가족여행', '강원권', '강원도인기', '관광지', '나들이', '대금굴', '대이리동굴지대']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=67f36570-5588-4236-8b00-9b484d1895a1&thumb
