name,region,tel,keyword,photo
매미성,경남 거제시,055-639-4178,"['경상권', '관광지', '매미성', '바다', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0b09c40f-2588-4c12-bfb7-d29295f96aab&thumb
바람의 언덕,경남 거제시,055-639-4178,"['17_18한국관광100선', '19_20한국관광100선', '거제바람의언덕', '경남']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3536738e-f36a-48f2-b6fd-4f9bd7ecf119&thumb
가천 다랭이마을,경남 남해군,010-4590-4642,"['15_16한국관광100선', '가족여행', '가천다랭이마을', '경남', '경상권', '경상권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2f50ccea-ec3f-4784-a4e7-a6198c11cbf0&thumb
매물도,경남 통영시,055-650-4681,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a78daad9-7b01-47f6-a19b-13841ac9d5e9&thumb
안민고개,경남 창원시,055-225-3691,"['가족과함께', '걷기', '경상남도', '관광지', '벚꽃', '연인과함께', '자연', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7b1a7268-0da5-4a50-88ae-4fa267b5fb9f&thumb
실리도,경남 창원시,055-283-2500,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=128760bf-3509-4b45-b741-be5adf06a7e7&thumb
비진도,경남 통영시,055-650-4681,"['2020_휴가철찾아가고싶은_33섬', '경상권', '관광지', '비진도', '섬', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fae186ef-80dc-44da-b265-2dbc4dbb4694&thumb
거제도 해금강,경남 거제시,055-639-4178,"['가족여행', '거제도해금강', '경상권', '관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4bc0d09c-58ff-4ee2-8d42-bd636412887b&thumb
한려수도 조망케이블카,경남 통영시,1544-3303,"['2014', '가족과함께', '경상권', '경치좋은곳', '관광지', '바다풍경', '수상내역']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e913e2a8-e574-4f64-8f85-07927a9b30da&thumb
위양지(양양지),경남 밀양시,055-359-5641,"['경상권', '관광지', '양양지', '역사공부', '역사관광지', '역사속', '역사속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=94ea5cf9-d843-411b-aa6e-a8a68c8770a5&thumb
국립 남해편백자연휴양림,경남 남해군,055-867-7881,"['가족과함께', '경상권', '관광지', '국립남해편백자연휴양림', '숲치유', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f2a2b3c0-098b-428a-9c8c-ff82de93431a&thumb
적석산,경남 창원시,055-225-4453,"['가족과함께', '경상권', '관광지', '등산', '자연', '적석산', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6d5194d5-66a8-4fa5-8ac7-94ebe6e2f187&thumb
