name,region,tel,keyword,photo
장태산자연휴양림,대전 서구,042-270-7883,"['가족여행', '관광지', '나들이', '데이트코스', '산림욕장', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7d0b63b0-5ebb-48f0-bbca-0555a6654546&thumb
상소동 산림욕장,대전 동구,042-251-4771,"['관광지', '상소동산림욕장', '언택트관광지_100선', '자연', '충청권', '휴양여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=65fccc67-2193-4541-902d-073e5719e4dc&thumb
장동산림욕장,대전 대덕구,042-623-9909,"['가족여행', '걷기길', '관광지', '나들이', '연인과함께', '자연', '자연&숲', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f99d98f6-7712-454b-8da4-ad65a48a7edb&thumb
식장산(식장산 문화공원),대전 동구,042-861-1330,"['관광지', '언택트관광지_100선', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=684cf76e-e570-4a9e-962e-f5dfa2fa45ce&thumb
한밭수목원,대전 서구,042-270-8452,"['가족여행', '걷기길', '관광지', '나들이', '언택트관광지_100선', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f2453bd3-8e19-4d8f-b1eb-ae12c7c6d33e&thumb
만인산 자연휴양림,대전 동구,042-270-8660,"['가족과함께', '관광지', '국내힐링여행', '만인산', '언택트관광지_100선', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a79cc552-a0eb-41fe-8908-2d1a40cdfc09&thumb
대전시민천문대,대전 유성구,042-863-8763,"['가족과함께', '관광지', '교육여행', '대전가볼만한곳', '대전시민천문대', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cdbf5cfb-e92f-4ea1-9981-93aaa19ad1ca&thumb
추동인공생태습지,대전 동구,042-861-1330,"['가족여행', '걷기길', '관광지', '생태관광', '생태관광지', '아이와함께', '인생샷']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5a3504ec-8a48-4fc9-a5cd-a347315fa78f&thumb
대청호,대전 대덕구,042-251-4748,"['관광지', '산책코스', '산책하기좋은곳', '아이와함께', '자연', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c4d22a2-9559-4d60-b1af-4d299a5187ad&thumb
왕버드나무군락지,대전 대덕구,042-861-1330,"['사진찍기좋은곳', '사진촬영', '사진촬영명소', '산책하기좋은곳', '자연', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3b93d691-b683-49e9-8e8d-b015c8391136&thumb
만인산푸른학습원,대전 동구,042-270-8651,"['관광지', '만인산푸른학습원', '이색체험', '자연', '자연학습장', '충청권', '휴양여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6beacfd8-3a69-4654-923a-03e7170c4b90&thumb
구봉산(대전),대전 서구,042-861-1330,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=68013da1-cab3-443b-b19e-d739c0620039&thumb
갑천,대전 유성구,042-288-3522,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2787ae04-504e-4130-a4eb-5610eb91a181&thumb
