name,region,tel,keyword,photo
아홉산숲,부산 기장군,051-721-9183,"['가족여행', '경상권', '경치좋은곳', '관광지', '숲속체험', '아홉산숲', '자연', '해설']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e6e94b81-3122-4093-9edc-e0d61a94a550&thumb
해운대 달맞이길,부산 해운대구,051-749-5700,"['걷기길', '경상권', '관광지', '드라이브여행', '바다풍경', '산책길', '산책하기']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=46dc348d-ed0e-471a-822b-65bed90c2d93&thumb
부산 송도해상케이블카,부산 서구,051-247-9900,"['경상권', '관광지', '바다', '송도해상케이블카', '송도해수욕장', '야간관광100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c07403bc-2f2a-4247-92e8-f402ac3c6a7e&thumb
해운대해수욕장,부산 해운대구,051-749-7611,"['15_16한국관광100선', '19_20한국관광100선', '가족여행', '경상권', '경상권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=806d3a5c-f4bf-4ad3-8c52-59ae5a988689&thumb
이기대 (부산 국가지질공원),부산 남구,051-888-3636,"['걷기길', '경상권', '관광지', '생태관광지', '역사유적지', '이기대도시자연공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0553f0e9-d30c-4a39-bf84-35d7a4ef1906&thumb
절영해안산책로,부산 영도구,051-419-4064,"['걷기길', '경상권', '경치좋은곳', '관광지', '바다경치', '바다전망', '자연', '전망좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d08b4749-4e08-4567-9d8a-a22ce20eb0e5&thumb
황령산,부산 남구,051-851-7851,"['관광지', '야간관광100선', '언택트관광지_100선', '역사를품은곳', '역사문화재']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=77a9c6d2-8c0d-4ae7-bc92-5fcbf2b20be2&thumb
다대포해수욕장,부산 사하구,051-207-6041,"['가족여행', '관광지', '다대포해수욕장', '바다풍경', '아이와함께', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=48999eca-2b44-48c3-85d1-050a6358769f&thumb
해운대 동백섬,부산 해운대구,051-749-7621,"['걷기길', '관광지', '꽃여행', '연인과함께', '자연', '전망좋은곳', '해운대동백섬']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b0a762f0-308f-4e0a-b783-d4f423f6f4d9&thumb
청사포,부산 해운대구,051-253-8253,"['경상권', '관광지', '바다경치', '바다낚시', '바다내음', '산책하기좋은곳', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=887617c4-1982-4bf0-9b63-348c27057316&thumb
장산 (부산 국가지질공원),부산 해운대구,051-851-7851,"['경치좋은곳', '관광지', '국가지질공원', '바다경치', '부산_국가지질공원', '사진찍기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9b87cff8-9127-41bb-b19a-e6fcb0185796&thumb
광안리해수욕장,부산 수영구,051-622-4251,"['가족여행', '관광지', '광안리해수욕장', '바다풍경', '아이와함께', '여름방학가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c01f9332-0459-4452-ad1a-9fec058f34a9&thumb
부산 송도해수욕장,부산 서구,051-240-4126,"['가족여행', '관광지', '바다풍경', '부산송도해수욕장', '아이와함께', '여름방학가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=91340335-522d-4be8-9529-70d7ade17000&thumb
일광해수욕장,부산 기장군,051-709-4000,"['가족여행', '관광지', '바다풍경', '아이와함께', '여름방학가볼만한곳', '여름여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=03b60830-6e44-42b3-89df-dbfb5b0b6dcf&thumb
영도 등대,부산 영도구,051-405-1201,"['경상권', '관광지', '등대', '영도등대', '자연', '전시관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=598e203e-1cf6-40a7-bb18-ffa86162485e&thumb
가덕도 등대,부산 강서구,051-971-9710,"['가덕도등대', '가족여행', '경상권', '관광지', '부산광역시유형문화재', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bc0fb862-d2a2-4cad-b037-e19cf7f5acbb&thumb
오륙도 (부산 국가지질공원),부산 남구,051-888-3636,"['관광지', '국가지질공원', '명승', '부산_국가지질공원', '부산오륙도', '섬', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6c138c03-78e1-4368-8cf4-c4016d559424&thumb
송정해수욕장,부산 해운대구,051-749-7612,"['가족과함께', '경상권', '관광지', '바다경치', '바다풍경', '송정해수욕장', '여름피서지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e599214b-56d9-4cf7-b028-924f663e37c1&thumb
을숙도 공원,부산 사하구,051-209-2031,"['경상권', '관광지', '을숙도공원', '을숙도생태공원', '을숙도철새공원', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=61ef9a5f-0781-4b48-89e2-1142378a5013&thumb
대변마을,부산 기장군,051-253-8253,"['경상권', '관광지', '대변마을', '어촌마을', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=76b1219d-cbe8-405d-a4ed-299d7df5f011&thumb
금강식물원,부산 금정구,051-582-3284,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e4a88435-d822-464e-888d-384b2c9bae3c&thumb
낙동강하구에코센터,부산 사하구,051-209-2000,"['걷기길', '겨울방학가볼만한곳', '관광지', '교육여행', '낙동강하구에코센터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=23ee0695-6374-4ece-81b3-1bcc244de6a2&thumb
금정산 (부산 국가지질공원),부산 금정구,051-888-3636,"['경북_동해안_국가지질공원', '경치좋은곳', '관광지', '국가지질공원', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=770d9819-30fb-4860-916e-f8fdbcd494cf&thumb
대천천,부산 북구,051-309-4382,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1661d829-0946-48de-8a99-2497db33e2c1&thumb
국립 달음산자연휴양림,부산 기장군,051-722-3023,"['가족과함께', '관광지', '연인과함께', '자연', '자연관광지', '자연속으로', '자연여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=592b7628-0800-4cd5-985e-bb8028c55028&thumb
오륙도 등대,부산 남구,051-607-6395,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cc3644c0-d8bd-4db7-a340-786b6974bf53&thumb
송도마을,부산 서구,051-240-6661,"['경상권', '관광지', '송도마을', '송도해수욕장', '어촌마을', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6abded51-7e0d-446a-b3ec-eb30cc3b193c&thumb
허브랑야생화,부산 금정구,051-515-0130,"['경상권', '관광지', '꽃여행', '이색카페', '자연', '자연&숲치유', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e22ad0fc-f8cc-448b-b4fe-e4832548f795&thumb
신선대(부산),부산 남구,051-253-8253,"['경상권', '관광지', '바다풍경', '신선대', '야경투어', '자연', '자연좋은곳', '피서여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=26149896-17f7-45e5-9ba9-9fea59858466&thumb
