name,region,tel,keyword,photo
송파나루공원(석촌호수),서울 송파구,02-2147-3385,"['걷기길', '관광지', '산책길', '산책하기', '산책하기좋은곳', '석촌호수', '송파나루공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ad0f4c87-1968-4b48-990a-ad1e7e1c8d9b&thumb
아차산,서울 광진구,02-450-1655,"['관광지', '등산', '산', '수도권', '아차산', '언택트관광지_100선', '자연', '전망좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=58129cb5-f74f-43b5-8cc6-f8a4a5cd02eb&thumb
불암산,서울 노원구,02-2116-3943,"['가족여행', '관광지', '당일치기여행', '등산', '등산로', '불암산', '사계절', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=20162b52-0894-432d-9790-6bcaab71fc10&thumb
백사실계곡,서울 종로구,02-2148-1114,"['가족여행', '경치좋은곳', '관광지', '백사실계곡', '서울여행', '여름가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=edca2878-3371-4e97-9080-c7d79ed9e718&thumb
홍릉수목원,서울 동대문구,02-961-2522,"['가족여행', '관광지', '꽃여행', '당일치기여행', '데이트코스', '봄꽃여행', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b841e19f-7005-45da-a226-69ef518bca24&thumb
여의도샛강생태공원,서울 영등포구,02-3780-0570,"['가족여행', '걷기길', '관광지', '나들이', '도심여행', '생태관광', '여의도샛강생태공원']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d9f1d013-78a6-4555-97aa-c188d5f7bd81&thumb
북한산국립공원(서울),서울 성북구,02-909-0498,"['관광지', '북한산', '북한산국립공원', '생태', '생태관광', '생태관광지', '서울권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c39c1522-fdbd-4e98-9f9a-59874fc8fbf6&thumb
남산 야외식물원,서울 용산구,02-798-3771,"['가족여행', '관광지', '남산야외식물원', '데이트코스', '도심여행', '사계절', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6d31e5b2-b0b6-4576-98c7-8e4999db170c&thumb
남산 케이블카,서울 중구,02-753-2403,"['경치좋은곳', '관광지', '남산서울타워', '남산케이블카', '데이트코스', '등산']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=026232b7-522b-4164-a9f5-286903f059ca&thumb
진관사계곡,서울 은평구,02-909-0497,"['가족과함께', '관광지', '늦더위피서', '아이와함께', '여름피서지', '자연', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c8480f8a-c3e7-4bdf-b246-cdd118a6abf2&thumb
배봉산,서울 동대문구,02-2215-8573,"['남녀노소', '산책코스', '아이와함께', '언택트관광지_100선', '자연', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=21267e13-873f-4781-b7a2-c834a360ba6c&thumb
관악산공원 야외식물원,서울 관악구,02-879-6561,"['관광지', '관악산공원야외식물원', '데이트코스', '도심여행', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7704e9ca-999d-407c-bd7a-cb2f108ef1d6&thumb
안산,서울 서대문구,02-330-1114,"['남녀노소', '산책로', '산책코스', '언택트관광지_100선', '자연', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a869b13e-9d7e-4f98-9e54-ecc1dcf460d3&thumb
서울창포원,서울 도봉구,02-954-0031,"['걷기길', '관광지', '생태관광', '서울창포원', '아이와함께', '이색체험', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1df38719-f966-41f2-aae6-928ab88024a6&thumb
구룡산(서울),서울 서초구,02-2155-6860,"['관광지', '구룡산', '산', '수도권', '자연', '트레킹']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=04aec3f9-a7db-49fe-aebf-717678607da7&thumb
관악산,서울 관악구,02-879-6521,"['관광지', '관악산', '등산', '수도권', '자연', '자연좋은곳', '자연풍경', '자연환경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f18b0c4f-fd2e-4d35-9b80-2f1d7e242da9&thumb
봉화산(서울),서울 중랑구,02-2094-2353,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e7096905-fe11-40e2-bdf5-859d1a9972a1&thumb
응봉산(서울),서울 성동구,02-2286-6061,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c295de52-0267-4b56-9eec-d8d86846e6df&thumb
반포 서래섬,서울 서초구,02-3780-0541,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=be9ba17c-9000-49b5-b2df-efd29fa511cb&thumb
여의천,서울 서초구,02-2155-7168,"['관광지', '수도권', '여의천', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8415915f-8ea1-4e3c-8b4c-50c07e7f78ff&thumb
도봉산,서울 도봉구,031-828-8000,"['가족여행', '관광지', '당일치기여행', '도봉산', '등산', '등산로', '사계절', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=656006bb-0e2f-4ac4-a78d-de4418c2dc37&thumb
양재 시민의숲,서울 서초구,02-575-3895,"['걷기길', '관광지', '나들이', '도심여행', '산책길', '산책하기', '산책하기좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6342c86f-8602-4948-9b84-d2cd438c098a&thumb
암사생태공원,서울 강동구,02-3780-0501,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bdcbf512-d547-4110-8c0b-e8df214a3567&thumb
파리공원,서울 양천구,02-2620-3574,"['걷기길', '관광지', '나들이', '서울도심여행', '아이와함께', '연인과함께', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7248dacb-d836-4201-b0ef-07d6d4b0b66a&thumb
청계산,서울 서초구,02-2155-6870,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=80aacf9f-d720-4215-a6d2-3c39ab08f401&thumb
