name,region,tel,keyword,photo
태화강 국가정원,울산 중구,052-229-6142,"['관광지', '나홀로여행', '산책길', '산책하기', '산책하기좋은곳', '자연', '자연관광지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7685b215-fa23-4783-8cb5-07148e90042b&thumb
자수정 동굴나라,울산 울주군,052-254-1515,"['겨울여행', '경상권', '관광지', '미세먼지탈출_이색동굴여행', '아이와함께', '여름여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e3a289f7-2aa3-410f-bfed-68dab15d573b&thumb
일산해수욕장(울산),울산 동구,052-209-4470,"['가족여행', '관광지', '바다풍경', '아이와함께', '여름방학가볼만한곳', '여름여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=faecd5a7-7358-461a-85cb-e1f532b71b7b&thumb
간절곶 등대,울산 울주군,052-239-6313,"['간절곶등대', '경상권', '관광지', '데이트코스', '바다풍경', '연인과함께', '인생샷']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac1491f5-8e71-4484-b60c-58455cd7453d&thumb
국립대운산치유의숲,울산 울주군,052-255-9800,"['가족과함께', '관광지', '국립휴양림', '숲체험', '언택트관광지_100선', '울산가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=095862ff-e5af-453b-aba5-cc0da96d1386&thumb
영남 알프스,울산 울주군,052-277-0101,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=778d2ad6-11a4-4eb4-9bb2-70c931fd0aa6&thumb
편백산림욕장,울산 북구,010-4127-0100,"['가족과함께', '관광지', '국내힐링여행', '언택트관광지_100선', '자연', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f018965f-fa47-4315-966b-6b1865fd750a&thumb
태화강,울산 남구,052-120,"['관광지', '나홀로여행', '산책하기좋은곳', '아이와함께', '연중무휴', '자연', '자연속으로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9d98923e-5a86-4692-a320-fdbb14509cee&thumb
작천정계곡(작괘천),울산 울주군,052-204-4921,"['경상권', '경치좋은곳', '관광지', '봄꽃여행', '여름방학가볼만한곳', '여름여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=51fd9c6b-eb84-402b-bfaa-1b542735c734&thumb
슬도,울산 동구,052-277-0101,"['가족과함께', '경치여행', '경치좋은곳', '관광지', '남녀노소', '바다경치', '바다내음']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a210c7fc-bea0-430f-a7f2-a1cd72f5afd8&thumb
