name,region,tel,keyword,photo
월미도,인천 중구,032-765-4169,"['19_20한국관광100선', '가족여행', '관광지', '바다풍경', '섬여행', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0aecf3e7-7eac-495e-bf6c-61769cb71a78&thumb
교동도(강화),인천 강화군,032-934-1000,"['2020_휴가철찾아가고싶은_33섬', '가족과함께', '강화도여행', '관광지', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cb4bd0b6-bf91-406f-bbf9-5ca5fbb68a41&thumb
굴업도,인천 옹진군,032-899-3711,"['경치좋은곳', '관광지', '굴업도', '바다낚시', '서울근교여행', '섬', '수도권', '언택트관광지_100선']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=36c678bf-990a-4261-b620-7ad01bcf91e8&thumb
석모도,인천 강화군,032-932-8988,"['관광지', '석모도', '섬', '수도권', '언택트관광지_100선', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c8b6f562-6440-4a4a-a118-992c07c1f05e&thumb
덕적도,인천 옹진군,032-899-2114,"['갯벌체험', '경치좋은곳', '관광지', '낙조명소', '당일치기여행', '덕적도', '등산']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=848be087-edd5-437a-9eaf-967d76c34342&thumb
강화 동막해변,인천 강화군,032-937-4445,"['강화동막해변', '관광지', '동막해변', '바다풍경', '수도권', '자연', '체험학습']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd65a320-7f82-4f31-9b80-8a2f196d66ed&thumb
을왕리해수욕장,인천 중구,032-832-3031,"['관광지', '바다풍경', '서울근교여행', '연인과함께', '연중무휴', '을왕리해수욕장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ce0286b7-391e-4ca8-9cc7-50ad5447a419&thumb
소이작도,인천 옹진군,,"['관광지', '소이작도', '언택트관광지_100선', '이작도', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8a3fa509-6b94-4aa2-b4cd-e72687b0c762&thumb
민머루해변,인천 강화군,032-934-7500,"['가족여행', '관광지', '민머루해변', '바다풍경', '생태관광', '서울근교여행', '연중무휴']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d00a36d3-7074-4a4f-8fd3-417255f8c549&thumb
신시모도 (신도ㆍ시도ㆍ모도),인천 옹진군,032-899-3411,"['가족여행', '경치좋은곳', '관광지', '등산로', '모도', '바다풍경', '봄꽃여행', '섬']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b6990f37-d409-4a16-91a8-d7ec71598397&thumb
