name,region,tel,keyword,photo
백수해안도로,전남 영광군,061-350-5600,"['경치좋은곳', '관광지', '드라이브여행', '드라이브코스', '바다경치', '백수해안도로']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1cefc156-72e7-4eb7-a8bf-7654eb9be29f&thumb
"순천만습지 (구, 순천만자연생태공원)",전남 순천시,061-749-6052,"['2011', '가족여행', '걷기길', '관광지', '생태관광', '생태관광지', '수상내역', '순천만습지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0a7df637-1733-4dc6-9383-e0a70f0f0b3b&thumb
오동도,전남 여수시,061-659-1819,"['가족여행', '관광지', '바다풍경', '생태관광지', '섬여행', '연중무휴', '오동도']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2de654a7-70dd-4edf-85aa-37c393efdb72&thumb
여수 해상케이블카,전남 여수시,061-664-7301,"['가족과함께', '관광지', '바다풍경', '야간관광100선', '야경투어', '여수가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b2e9885d-8daf-49e4-842d-7dff77540fc1&thumb
가우도,전남 강진군,061-430-3114,"['2020_휴가철찾아가고싶은_33섬', '가우도', '관광지', '등산', '레포츠체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=23293458-f8ed-4595-ae91-320fd686c040&thumb
죽녹원,전남 담양군,061-380-2680,"['가족여행', '관광지', '담양죽녹원', '생태관광지', '숲체험원', '연중무휴', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ad4a81c3-6750-4efa-9d34-1eb128a5dce5&thumb
사성암(구례),전남 구례군,061-781-4544,"['경치좋은곳', '관광지', '불교', '불교문화', '사성암', '사찰', '사찰여행', '역사']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d9687a58-61c6-473c-934a-49796aab3e04&thumb
반월도·박지도,전남 신안군,061-271-1004,"['2020_휴가철찾아가고싶은_33섬', '가족과함께', '관광지', '바다내음', '박지도']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f2467411-e179-4101-bebb-3f1cfbb877a8&thumb
외달도,전남 목포시,061-270-3513,"['2020_휴가철찾아가고싶은_33섬', '가족과함께', '경치좋은곳', '관광지', '바다경치']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8fa466e4-2df7-4fff-8f10-d8fdcd74efca&thumb
정남진 편백숲 우드랜드,전남 장흥군,061-864-7911,"['가족여행', '관광지', '수목원', '숲치유', '자연', '자연좋은곳', '전라권', '친환경여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=91793c98-8c67-45c2-90ab-48af98df4c88&thumb
청산도,전남 완도군,061-550-5151,"['2020_휴가철찾아가고싶은_33섬', '가족과함께', '관광지', '아이와함께', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f1a30ab4-1e92-4544-a5dd-e433c9ebe226&thumb
증도(신안),전남 신안군,061-271-7619,"['2020_휴가철찾아가고싶은_33섬', '가족과함께', '경치여행', '관광지', '바다경치']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=247fee40-d7b9-421e-83fb-f8577a41b5dd&thumb
강진 백련사 동백나무 숲,전남 강진군,061-432-0837,"['가족여행', '강진백련사동백나무숲', '경치좋은곳', '관광지', '자연', '전라권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6e3c8d4f-e095-4940-8517-266fa4e2d657&thumb
진도 신비의 바닷길,전남 진도군,1588-9601,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c39d6a9f-6077-46e8-9d07-ac81b4190a9c&thumb
증도 우전해수욕장,전남 신안군,061-240-8758,"['가족여행', '관광지', '바다경치', '바다내음', '바다풍경', '아이와함께', '여름방학가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3e9a920d-dde9-4da1-b821-b45deb5aa417&thumb
홍도,전남 신안군,061-240-4051,"['관광지', '섬', '자연', '전라권', '천연기념물', '홍도']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14f3ed60-ae49-46ce-a4ea-62f5b0c88284&thumb
보길도,전남 완도군,061-550-5151,"['2020_휴가철찾아가고싶은_33섬', '가족과함께', '관광지', '아이와함께', '완도여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd01e05a-c905-424f-81f6-e202cccdf80a&thumb
힐링파크 쑥섬쑥섬 (애도),전남 고흥군,061-830-5114,"['2020_휴가철찾아가고싶은_33섬', '가족과함께', '관광지', '아이와함께', '애도']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0acb7d17-fe30-4b70-966b-c2902206dcf8&thumb
