name,region,tel,keyword,photo
구담봉.옥순봉,충북 단양군,043-422-1146,"['관광지', '구담봉', '옥순봉', '자연', '자연관광', '자연관광지', '자연속으로', '자연속힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ce8389d8-a7a5-48e7-963d-b1e47257ed5c&thumb
도담삼봉,충북 단양군,042-422-3037,"['가족여행', '관광지', '교과서속여행', '도담삼봉', '아이와함께', '역사유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6b972a85-d65c-4d71-9dc5-99c5a64b72cf&thumb
갈론계곡(갈은구곡),충북 괴산군,043-832-5550,"['갈론계곡', '계곡', '관광지', '언택트관광지_100선', '자연', '충청권', '피서']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2d18acc4-c938-4a21-949e-c5758d17c22c&thumb
청풍호 관광모노레일,충북 제천시,043-653-5120,"['가족여행', '관광지', '데이트코스', '사계절', '연인과함께', '자연', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=37731c88-7bc1-4a85-8a50-f41c7448a234&thumb
제천 의림지와 제림,충북 제천시,043-651-7101,"['가족여행', '관광지', '생태관광지', '자연', '자연좋은곳', '제천의림지와제림']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=46a3a498-d920-4ded-80a9-57b4488dbfc0&thumb
단양 천동동굴,충북 단양군,043-422-2972,"['관광지', '미세먼지탈출_이색동굴여행', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ff5aad8b-85e2-4f88-aebe-8a14882addb9&thumb
수주팔봉,충북 충주시,043-842-0531,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fcc4d359-2c8f-4478-bdaa-a29bf80c826e&thumb
충북알프스자연휴양림,충북 보은군,043-543-1472,"['관광지', '국내힐링여행', '자연', '자연속으로', '자연여행', '자연좋은곳', '자연풍경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f696a204-719e-484d-8964-98fafd3525d1&thumb
단양 팔경,충북 단양군,043-422-1146,"['관광지', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4ddf3712-07c6-4ac0-94ab-738be9387245&thumb
옥계폭포,충북 영동군,043-740-3225,"['관광지', '박연폭포', '옥계폭포', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=28bf3181-e91e-412e-a44d-fa48558e9beb&thumb
월악산국립공원,충북 제천시,043-653-3250,"['가족여행', '관광지', '나들이', '데이트코스', '등산', '등산로', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=11b68cce-6606-4dbd-afa7-e54c68e07d27&thumb
단양 고수동굴,충북 단양군,043-422-3072,"['가족과함께', '관광지', '교육여행', '단양가볼만한곳', '단양고수동굴', '미세먼지탈출_이색동굴여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=99050234-8e18-481c-a712-c309af77a975&thumb
도마령,충북 영동군,043-745-7741,"['가족과함께', '관광지', '구불길', '꼬부랑길', '도마령', '드라이브여행', '드라이브코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3634c4cd-3b66-4a88-9805-7de2f5ebd1c0&thumb
호암지,충북 충주시,043-842-0531,"['가족여행', '관광지', '나들이', '데이트코스', '아이와함께', '연인과함께', '인공저수지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=13905b1a-5665-406b-bd0f-a371e0110025&thumb
화양구곡(화양동계곡),충북 괴산군,043-832-4347,"['가족여행', '관광지', '여름가볼만한곳', '여름여행', '자연', '충청권', '화양구곡']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=148532f7-561c-4903-a288-254ef6d848f9&thumb
단양 사인암,충북 단양군,043-422-1146,"['가족여행', '관광지', '기차여행', '단양사인암', '문화재', '아이와함께', '유적지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=046cca8b-4c97-4e47-83dd-efbd96dc8834&thumb
조령산자연휴양림,충북 괴산군,043-833-7994,"['가족여행', '관광지', '자연', '조령산자연휴양림', '충청권', '휴양여행', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0f1f8637-347f-421d-9248-f225b9687d73&thumb
물한계곡,충북 영동군,043-743-4301,"['가족여행', '관광지', '나들이', '데이트코스', '물한계곡', '아이와함께', '여름방학가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=52357166-a0ac-486f-ab06-b33ad48ef522&thumb
민주지산 자연휴양림,충북 영동군,043-740-3437,"['관광지', '민주지산자연휴양림', '자연', '자연휴양림', '충청권', '힐링']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7c4c5695-51f6-4c38-81bd-d54abd125444&thumb
만수계곡,충북 보은군,043-542-3006,"['가족여행', '관광지', '나들이', '데이트코스', '만수계곡', '아이와함께', '여름방학가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=47915531-1de7-4eb8-8f39-dc735a7c2230&thumb
미동산수목원,충북 청주시,043-220-6101,"['관광지', '미동산수목원', '생태관광', '수목원', '연인과함께', '자연', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0249b07a-8c5b-4ae8-85bf-b7aafc635102&thumb
단양 온달동굴,충북 단양군,043-423-8820,"['관광지', '미세먼지탈출_이색동굴여행', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f317e8a9-d1cb-4c4d-858e-a525953aefa5&thumb
좌구산자연휴양림,충북 증평군,043-835-4551,"['관광지', '자연', '좌구산자연휴양림', '충청권', '휴양여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=47e4fc9c-52b0-40a9-ae8e-470adce17068&thumb
하늘재,충북 충주시,043-653-3250,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cb83fec5-9973-4dfd-8360-ed3d4b15bf54&thumb
충주호,충북 충주시,043-842-0531,"['가족여행', '관광지', '나들이', '데이트코스', '레포츠', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=256ff6b7-c76f-47f1-9245-57b44e86fa3d&thumb
"장령산자연휴양림(구, 장용산자연휴양림)",충북 옥천군,043-733-9615,"['가족과함께', '관광지', '아이와함께', '자연', '자연속으로', '자연여행', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d26883cb-0175-4048-8865-0236fd73628a&thumb
목계솔밭(충주),충북 충주시,043-842-0531,"['가족여행', '관광지', '목계솔밭', '산책하기', '산책하기좋은곳', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=11bf3f55-165d-450b-bc49-25a64a68f22e&thumb
수옥폭포,충북 괴산군,043-830-3114,"['가족여행', '관광지', '수옥폭포', '여름가볼만한곳', '여름여행', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=92abf2d5-6a0f-4bb2-b403-23a01ca570ed&thumb
속리산국립공원(충북),충북 보은군,043-542-5267,"['관광지', '사계절', '속리산국립공원충북', '자연', '자연좋은곳', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=29a33115-a9b5-4535-9f96-23cdb15efe86&thumb
천태산,충북 영동군,043-740-3205,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a114859f-9f15-4104-9ccb-4187054b3857&thumb
금수산,충북 단양군,043-653-3251,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=402d2737-b193-42d4-9a8f-b9290ca70f7e&thumb
선유구곡(선유동계곡),충북 괴산군,043-832-4347,"['계곡', '관광지', '선유구곡', '선유동계곡', '자연', '충청권', '피서']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=abf1d8c8-49c7-4385-9f53-00c3d96cb723&thumb
충주댐,충북 충주시,043-840-1207,"['가족여행', '걷기여행', '관광지', '사계절', '연인과함께', '자연', '자연좋은곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0d7846c1-06d9-4809-88c1-3cf1c10bf74e&thumb
탁사정,충북 제천시,043-641-6731,"['가족여행', '경치좋은곳', '관광지', '여름가볼만한곳', '여름여행', '여름피서지']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=789b1768-35cc-4121-8b46-448f820238d3&thumb
소선암자연휴양림,충북 단양군,043-422-7839,"['관광지', '생태관광지', '소선암자연휴양림', '자연', '자연관광지', '자연발생']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4c8ef971-e539-4985-8349-4658ce8635f1&thumb
계명산자연휴양림,충북 충주시,043-870-7930,"['가족여행', '걷기길', '계명산', '계명산자연휴양림', '관광지', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dfd1fe3f-b4c1-47ca-8cee-a085c5324008&thumb
북벽,충북 단양군,043-420-3035,"['관광지', '기암괴석', '단풍여행', '봄꽃여행', '북벽', '자연', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=625e7636-39ae-4c81-addd-4fa8b0e3015a&thumb
송계계곡,충북 제천시,043-653-3250,"['가족여행', '관광지', '나들이', '데이트코스', '송계계곡', '아이와함께', '여름방학가볼만한곳']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3c21063d-c608-4cc1-ac5f-e01dbfe01cfe&thumb
국립 황정산자연휴양림,충북 단양군,043-421-0608,"['관광지', '자연']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c7dff3f6-c53f-4b17-81f3-3581e525a73a&thumb
선암계곡(하선암),충북 단양군,043-422-1146,"['가족여행', '계곡', '관광지', '선암계곡', '자연', '충청권', '피서', '하선암']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=35ee75d8-b500-4b7a-8b96-57affea48a17&thumb
