name,region,address,Latitude,Longitude
강릉 중앙시장,강원 강릉시,강원도 강릉시 금성로 21,37.7540002,128.8985828
속초관광수산시장 (구: 중앙시장),강원 속초시,강원도 속초시 중앙로147번길 12,38.2039602,128.590525
"정선 아리랑시장 (2, 7일)",강원 정선군,강원도 정선군 정선읍 봉양7길 39,37.3803926,128.6651696
강릉 주문진수산시장,강원 강릉시,강원도 강릉시 주문진읍 시장1길 4-1,37.8910555,128.8278609
"봉평5일장 / 봉평시장 (2, 7 일)",강원 평창군,강원도 평창군 봉평면 동이장터길 14-1,37.6161686,128.377656
원주 중앙시장,강원 원주시,강원도 원주시 중앙시장길 6,37.3499847,127.949244
춘천 낭만시장 (구. 중앙시장),강원 춘천시,강원 춘천시 죽림동 13-2,37.8777843,127.7253037
강릉 주문진종합시장,강원 강릉시,강원도 강릉시 주문진읍 시장1길 4-1,37.8910555,128.8278609
"양양전통시장 (4, 9일)",강원 양양군,강원도 양양군 양양읍 남문5길 9,38.074993,128.6231795
"평창올림픽시장(구,평창전통시장)",강원 평창군,강원도 평창군 평창읍 평창시장1길 10,37.3668007,128.3946301
고성 DMZ박물관 뮤지엄샵,강원 고성군,강원도 고성군 현내면 통일전망대로 369,38.5762182,128.3824776
"홍천 중앙시장 (1,6일)",강원 홍천군,강원도 홍천군 홍천읍 홍천로8길 17,37.6912111,127.8860962
"횡성장 / 횡성시장 (1, 6일)",강원 횡성군,강원도 횡성군 횡성읍 삼일로 4-2,37.4898313,127.9866799
"임계사통팔달시장 / 임계장 (5, 10일)",강원 정선군,강원도 정선군 임계면 송계2길 6,37.4949106,128.8509341
강릉 동부시장,강원 강릉시,강원도 강릉시 율곡로 2831,37.7568508,128.8979012
황지 자유시장,강원 태백시,강원도 태백시 시장안3길 5-1,37.1737452,128.9934461
"원주5일장 / 원주민속풍물시장 (2, 7일)",강원 원주시,강원도 원주시 강변로 531-1,37.3512506,127.9533259
사직번개시장 (삼척 번개시장),강원 삼척시,강원도 삼척시 중앙로 10,37.4306519,129.1785512
"통리장 (5, 15, 25일)",강원 태백시,강원도 태백시 통리1길 39,37.1697078,129.0363244
"북평민속오일장 (3, 8일)",강원 동해시,강원도 동해시 대동로 111-4,37.4816208,129.1267656
"화천장 (3, 8일)",강원 화천군,강원도 화천군 화천읍 하리,38.1010028,127.6970633
미로예술 원주중앙시장,강원 원주시,강원도 원주시 중앙시장길 6,37.3499847,127.949244
원주중원전통시장,강원 원주시,강원도 원주시 중앙시장길 20-3,37.350493,127.9495947
"삼척 중앙시장 (2, 7일)",강원 삼척시,강원도 삼척시 진주로 12-21,37.4420761,129.16466
원주 중앙시민전통시장,강원 원주시,강원도 원주시 중앙시장길 31-3,37.3512293,127.9497004
"신 철원시장 (3, 8일)",강원 철원군,강원도 철원군 갈말읍 삼부연로18번길 12-3,38.1447311,127.3097524
"고성 간성시장 (2, 7일)",강원 고성군,강원도 고성군 간성읍 간성시장2길 6,38.3796755,128.4699356
"진부장 / 진부시장 (3, 8일)",강원 평창군,강원도 평창군 진부면 진부시장안길 18,37.6374105,128.5581936
이매진나미[한국관광 품질인증/Korea Quality],강원 춘천시,강원도 춘천시 남산면 남이섬길 1,37.7899352,127.5258072
강릉 농산물도매시장,강원 강릉시,강원도 강릉시 유산로 60,37.7373569,128.9180696
춘천 남부시장,강원 춘천시,강원도 춘천시 공지로 367,37.8705169,127.7257638
영월 서부아침시장,강원 영월군,강원도 영월군 영월읍 중앙로 30-1,37.1833136,128.4667398
"거진장 / 고성 거진시장 (1, 6일)",강원 고성군,강원도 고성군 거진읍 거진시장길 17-11,38.4476517,128.4542458
홍천한우 늘푸름,강원 홍천군,강원도 홍천군 홍천읍 홍천로5길 25,37.6906968,127.8826194
원주 남부시장,강원 원주시,강원도 원주시 치악로 1803,37.343087,127.9543659
장성5일장/장성중앙시장,강원 태백시,강원도 태백시 장성1길 190,37.100717,129.0097928
옥산가(춘천옥),강원 춘천시,강원도 춘천시 동면 금옥길 228,37.9200179,127.8053454
춘천 동부시장,강원 춘천시,강원도 춘천시 동부시장길 8,37.8772117,127.7341235
삼척 도계전두시장,강원 삼척시,강원도 삼척시 도계읍 83-2,37.2363961,129.0451533
강릉 서부시장,강원 강릉시,강원도 강릉시 임영로155번길 6,37.7550085,128.8908612
화천 중앙시장,강원 화천군,강원도 화천군 화천읍 중앙로4길 12,38.104047,127.7053974
강릉교동건어물,강원 강릉시,강원도 강릉시 옥가로50번길 7,37.7606393,128.9010056
삼척중앙시장 문라이트야시장,강원 삼척시,강원도 삼척시 진주로 12-21,37.4420761,129.16466
청호활어회센터,강원 속초시,강원도 속초시 설악금강대교로 67,38.2049653,128.5935724
정선산나물,강원 정선군,강원도 정선군 북평면 숙암장재터길 221,37.5463953,128.6144863
양양5일장,강원 양양군,강원도 양양군 양양읍 남문5길 9,38.074993,128.6231795
정선석공예단지,강원 정선군,강원도 정선군 정선읍 소금강로 19,37.3543493,128.719986
춘천잣 (춘천농산),강원 춘천시,강원도 춘천시 신동면 정족3길 59,37.8306732,127.7415872
양구명품관 (강원),강원 양구군,강원도 양구군 양구읍 관공서로 10,38.1067747,127.9906064
"춘천 풍물시장 / 풍물장 (2, 7일)",강원 춘천시,강원도 춘천시 영서로 2352-20,37.8679399,127.7169988
횡성축협한우프라자 (우천점),강원 횡성군,강원도 횡성군 우천면 우항3길 6,37.4598988,128.0637167
원주 문막시장,강원 원주시,강원도 원주시 문막읍 문막시장1길 52-10,37.3059981,127.8153547
원주 단구시장,강원 원주시,강원도 원주시 송림길 48-13,37.331352,127.9525449
정선 5일장,강원 정선군,강원도 정선군 정선읍 봉양7길 39,37.3803926,128.6651696
동쪽바다중앙시장,강원 동해시,강원도 동해시 중앙시장길 12,37.5510523,129.1085439
아남프라자,강원 속초시,강원도 속초시 중앙로5번길 8,38.2093541,128.5884506
원주 자유시장,강원 원주시,강원도 원주시 자유시장길 11,37.3512991,127.9486099
춘천 서부시장,강원 춘천시,강원도 춘천시 서부대성로 12,37.8847783,127.7246195
원주 안경백화점,강원 원주시,강원도 원주시 남원로 530,37.3313642,127.9471836
"양구장 / 양구 중앙시장 (5,10일)",강원 양구군,강원도 양구군 양구읍 중앙길 68,38.1040942,127.9892966
태백농특산물직판장,강원 태백시,강원도 태백시 천제단길 138,37.1218994,128.9531835
"와수시장 (1,6일)",강원 철원군,강원도 철원군 서면 와수로184번길 12,38.2392454,127.4398009
"여량장 (1, 6일)",강원 정선군,강원도 정선군 여량면 여량6길 10,37.4705941,128.7204545
"주천시장 (1, 6일)",강원 영월군,강원도 영월군 주천면 주천시장길 47-5,37.2710818,128.266413
"근덕장 / 근덕교가시장 (1, 6일)",강원 삼척시,강원도 삼척시 근덕면 교가길 19,37.380407,129.2270825
향토공예관,강원 춘천시,강원도 춘천시 춘천로 19,37.8668787,127.7212173
원주 농산물도매시장,강원 원주시,강원도 원주시 서원대로 33,37.3544809,127.9235799
"대화시장 (4,9일)",강원 평창군,강원도 평창군 대화면 대화3길 46,37.5005622,128.4549001
장송모 도자연구원,강원 횡성군,강원도 횡성군 공근면 창봉길 32,37.5733471,127.9406938
"원통장 (2, 7일)",강원 인제군,강원도 인제군 북면 원통리 647-6,38.1209424,128.219331
"동송장 / 동송시장 (5,10일)",강원 철원군,강원도 철원군 동송읍 이평로47번길 21,38.2087625,127.2192799
오죽헌기념품판매장,강원 강릉시,강원도 강릉시 율곡로3139번길 24,37.7791837,128.8794575
쇠바우골탄광문화장터,강원 태백시,강원도 태백시 동태백로 434,37.1166638,129.0377738
정선수리취떡,강원 정선군,강원도 정선군 정선읍 5일장길 37-10,37.380958,128.6646236
횡성 안흥장,강원 횡성군,강원도 횡성군 안흥면 안흥로 27,37.4125243,128.1562501
신철원 전통시장,강원 철원군,강원도 철원군 갈말읍 삼부연로18번길 16-2,38.1447311,127.3097524
주례마을 향토농산물,강원 정선군,강원도 정선군 여량면 여량6길 10,37.4705941,128.7204545
한반도쉼터 농산물판매장,강원 영월군,강원도 영월군 한반도면 한반도로 555,37.2197078,128.3575541
물치항활어회센터,강원 양양군,강원도 양양군 강현면 동해대로 3584,38.1560315,128.610086
독립서점 틔움,강원 원주시,강원도 원주시 남산로 209,37.3546878,127.9420605
동네책방 스몰굿씽,강원 원주시,강원도 원주시 판부면 매봉길 52-1,37.3206032,127.9455043
