name,region,address,Latitude,Longitude
스타필드 하남,경기 하남시,경기도 하남시 미사대로 750,37.5434191,127.236611
"양평장 / 양평시장 (3, 8일)",경기 양평군,경기도 양평군 양평읍 양평장터길 15,37.4909455,127.4927606
평택국제중앙시장,경기 평택시,경기도 평택시 중앙시장로25번길 11-4,37.0807108,127.0527018
"용문천년시장 / 용문전통시장 (5, 10일)",경기 양평군,경기도 양평군 용문면 다문중앙1길 19,37.4849948,127.5910806
신세계사이먼 시흥 프리미엄 아울렛,경기 시흥시,경기 시흥시 서해안로 699,37.4092647,126.7555085
"가평5일장 / 잣고을전통시장 (5, 10일)",경기 가평군,경기도 가평군 가평읍 장터2길 10,37.8296108,127.5151034
광명전통시장,경기 광명시,경기도 광명시 광이로13번길 17-5,37.4800807,126.8562359
"경기 안성장 (2, 7일)",경기 안성시,경기도 안성시 시장길 37,37.0065988,127.2704023
롯데프리미엄아울렛 이천점,경기 이천시,경기도 이천시 호법면 프리미엄아울렛로 177-74,37.2422526,127.4000798
일산 가구거리,경기 고양시,경기도 고양시 일산서구 경의로917번길 26,37.7005147,126.7585734
수원 프리미엄아울렛,경기 용인시,경기도 용인시 기흥구 중부대로 64,37.266751,127.076195
오산 중앙시장/오색시장,경기 오산시,경기도 오산시 오산로272번길 22,37.1508977,127.0708518
의정부 제일시장,경기 의정부시,경기도 의정부시 시민로121번길 43-2,37.7401762,127.049666
"장호원재래시장(4, 9일)",경기 이천시,경기도 이천시 장호원읍 서동대로8965번길 36,37.1148336,127.6307445
"일산민속5일장 (3, 8일)",경기 고양시,경기도 고양시 일산서구 고양대로685번길 19,37.6850313,126.7720168
안양 중앙시장,경기 안양시,경기도 안양시 만안구 냉천로 196,37.3976235,126.9195788
현대프리미엄아울렛 김포점,경기 김포시,경기도 김포시 고촌읍 아라육로152번길 100,37.5991152,126.7859124
수원 남문시장,경기 수원시,경기도 수원시 팔달구 팔달문로 9,37.2777177,127.0184736
"모란장 / 모란민속시장 (4, 9일)",경기 성남시,경기도 성남시 중원구 둔촌대로 68,37.4322476,127.1269495
신세계사이먼 여주 프리미엄 아울렛,경기 여주시,경기도 여주시 명품로 360,37.2413127,127.6125556
동두천 중앙시장,경기 동두천시,경기도 동두천시 중앙로285번길 9,37.9064753,127.0536925
안산 시민시장,경기 안산시,경기도 안산시 단원구 화랑로 149,37.3250378,126.8052733
"용인장 (5, 10일)",경기 용인시,경기도 용인시 처인구 금령로107번길 13,37.236364,127.2081779
가평 잣고을 전통시장,경기 가평군,경기도 가평군 가평읍 읍내리 473-15,37.8300775,127.5137962
군포역전시장,경기 군포시,경기도 군포시 군포로 548-1,37.3548567,126.9469843
광명새마을시장,경기 광명시,경기도 광명시 광명로831번길 34,37.4746797,126.8480618
부천 역곡상상시장,경기 부천시,경기도 부천시 부일로749번길 31,37.4875426,126.8119066
수원 농수산물도매시장,경기 수원시,경기도 수원시 권선구 세권로 243,37.2550182,127.0309112
"가평 현리5일장 (4, 9일)",경기 가평군,경기도 가평군 조종면 현창로44번길 14,37.8196129,127.3489605
