name,region,tel,keyword,photo
통영중앙전통시장,경남 통영시,055-649-5225,"['가족여행', '경상권', '나들이', '나홀로여행', '데이트코스', '먹거리', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=56741a83-4a05-4957-a4a0-d49fb849adec&thumb
하동 화개장터,경남 하동군,055-880-6051,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a677f2a3-f939-4a14-b224-242b1f4cc06f&thumb
마산어시장,경남 창원시,055-221-0671,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '데이트코스', '마산수산시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=765294a1-2aa6-4df3-8ce6-cc56fe0d5d1f&thumb
삼천포용궁수산시장,경남 사천시,055-835-2229,"['가족여행', '경상권', '기념품판매', '기차여행', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ffb04f09-7039-4d0d-8a5e-7698f07036db&thumb
진주 중앙유등시장,경남 진주시,055-741-2151,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '데이트코스', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e42ae1c3-8aac-4ea3-a26e-f24be348845c&thumb
"남해장 (2, 7일)",경남 남해군,055-864-3592,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '남해장', '먹거리', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9cdc8b70-67ba-4362-b2d1-528b1cf0da19&thumb
"삼천포 중앙시장 (4, 9일)",경남 사천시,055-834-8676,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '삼천포중앙시장', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2e4ab525-57b7-4063-b3f9-40dfd1582416&thumb
인사동 골동품거리,경남 진주시,055-749-2055,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '쇼핑', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3b0d257c-01bb-4549-a5e2-7fb2a2dd256c&thumb
"사천읍시장 (5, 10일)",경남 사천시,055-852-3141,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '먹거리', '사천읍시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9774520b-2c53-4974-9cd3-98131665ecfd&thumb
"경화장 (3, 8일)",경남 창원시,055-548-2043,"['가족여행', '경상권', '경화장', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e9a9e242-433b-4403-af67-0c836bdb2448&thumb
