name,region,address,Latitude,Longitude
통영중앙전통시장,경남 통영시,경상남도 통영시 중앙시장1길 14-16,34.8452911,128.4246463
하동 화개장터,경남 하동군,경상남도 하동군 화개면 쌍계로 15,35.1877406,127.6243772
마산어시장,경남 창원시,경상남도 창원시 마산합포구 어시장8길 8,35.2005311,128.5739829
삼천포용궁수산시장,경남 사천시,경상남도 사천시 어시장길 64,34.927499,128.0710285
진주 중앙유등시장,경남 진주시,경상남도 진주시 진양호로547번길 8-1,35.1938894,128.0848961
"남해장 (2, 7일)",경남 남해군,경상남도 남해군 남해읍 화전로 110,34.8402725,127.8950012
"삼천포 중앙시장 (4, 9일)",경남 사천시,경상남도 사천시 어시장길 64,34.927499,128.0710285
인사동 골동품거리,경남 진주시,"경남 진주시 남성동, 인사동 일대",35.1900759,128.0763627
"사천읍시장 (5, 10일)",경남 사천시,경상남도 사천시 사천읍 시장1길 16,35.0840494,128.0890349
"경화장 (3, 8일)",경남 창원시,경상남도 창원시 진해구 경화시장로 37,35.1569955,128.6905413
대끼리 상남시장,경남 창원시,경상남도 창원시 성산구 마디미로 28,35.2222099,128.6834028
"경남관광기념품점 (구, 경남관광공예명품관)",경남 창원시,경상남도 창원시 의창구 원이대로 362,35.2383807,128.6569279
"진주 문산장 (4, 9일)",경남 진주시,경상남도 진주시 문산읍 소문길 68,35.1704134,128.1690703
영하누비 (통영누비),경남 통영시,경상남도 통영시 남망길 15,34.8435806,128.4270682
롯데프리미엄아울렛 김해점,경남 김해시,경상남도 김해시 장유로 469,35.1851191,128.8299232
핫트랙스 (창원점),경남 창원시,경상남도 창원시 성산구 중앙대로 104,35.2234576,128.6808054
덕계 종합상설시장,경남 양산시,경상남도 양산시 덕계2길 7,35.369744,129.1471868
"의령장 (3, 8일)",경남 의령군,경상남도 의령군 의령읍 의병로 222-1,35.3195679,128.2611501
남해 특산물지족판매장,경남 남해군,경상남도 남해군 삼동면 삼이로 47-4,34.8276094,127.9954773
갤러리아 백화점 (진주점),경남 진주시,경상남도 진주시 진주대로 1095,35.1967135,128.0823743
"함양장 / 함양중앙시장 (2, 7일)",경남 함양군,경상남도 함양군 함양읍 중앙시장길 8-9,35.5179794,127.728896
"밀양장 (2, 7일)",경남 밀양시,경상남도 밀양시 상설시장1길 11,35.4930478,128.7525241
실키안,경남 진주시,경상남도 진주시 문산읍 월아산로996번길 22,35.1601195,128.1725755
다자연 영농조합법인,경남 사천시,경상남도 사천시 곤명면 금성들길 55,35.1412945,127.968548
"마천장 (5, 10일)",경남 함양군,경상남도 함양군 마천면 천왕봉로 1144-2,35.3957208,127.6625569
"서상장 (4, 9일)",경남 함양군,경상남도 함양군 서상면 서상로 266,35.6798617,127.6882752
대호누비,경남 통영시,경상남도 통영시 통영해안로 355,34.8448461,128.4261092
대동면세점,경남 창원시,경상남도 창원시 성산구 중앙대로 69 호텔인터내셔널 지하 1층,35.2218428,128.6771736
거창유기공방,경남 거창군,경상남도 거창군 남하면 가조가야로 310,35.7005818,127.9467078
서호시장 (새터시장),경남 통영시,경상남도 통영시 새터길 42-7,34.8412795,128.4194451
하동명품센터,경남 하동군,경상남도 하동군 하동읍 섬진강대로 2571,35.0855785,127.7273781
"수산장 (3, 8일)",경남 밀양시,경상남도 밀양시 하남읍 시서길 16,35.3743625,128.7086638
청학동 삼선당식품,경남 하동군,경상남도 하동군 청암면 고래실길 234-18,35.1797972,127.7842834
"무안장 (1, 6일)",경남 밀양시,경상남도 밀양시 무안면 사명로 510-7,35.47013,128.6522601
삼천포수협회센터,경남 사천시,경상남도 사천시 유람선길 176,34.9268238,128.0679347
"삼랑진장 (4, 9일)",경남 밀양시,경상남도 밀양시 삼랑진읍 외송3길 8-1,35.3969035,128.837125
"함양 토종약초시장 (5, 10일)",경남 함양군,경상남도 함양군 안의면 약초시장길 27,35.6259844,127.8137474
통영전통공예관,경남 통영시,경상남도 통영시 도남로 281,34.8267403,128.4328846
"산청시장 (1, 6일)",경남 산청군,경상남도 산청군 산청읍 꽃봉산로91번길 23,35.4148798,127.8764627
향림도예원,경남 고성군,경상남도 고성군 하이면 와룡1길 22,34.9503301,128.1360964
청심사 청심다원,경남 하동군,경상남도 하동군 악양면 정서길 73-46,35.1646864,127.6996313
한밭제다,경남 하동군,경상남도 하동군 화개면 검두길 53-1,35.1592045,127.6635145
옥선명차사 (요산당),경남 하동군,경상남도 하동군 화개면 화개로 814,35.2267796,127.6366809
"거창장 (1, 6일)",경남 거창군,경상남도 거창군 거창읍 시장길 54,35.6861545,127.9137062
금성냉장,경남 통영시,경상남도 통영시 남망길 106,34.8396714,128.427949
경남 하동군 으뜸상품홍보관,경남 하동군,경상남도 하동군 하동읍 군청로 36,35.0653885,127.752491
한려물산 / 멸치원 (통영),경남 통영시,경상남도 통영시 멘데산업길 41,34.8442393,128.4355371
대동백화점,경남 창원시,경상남도 창원시 성산구 동산로 115,35.2189019,128.6895637
팔도건어물 (통영),경남 통영시,경상남도 통영시 통영해안로 209-3,34.8407156,128.4190738
루디아공예원,경남 사천시,경상남도 사천시 벌리5길 12-12,34.9388454,128.0843599
하동 예전농원,경남 하동군,경상남도 하동군 화개면 섬진강대로 3946,35.1819224,127.6307161
명성다원,경남 하동군,경상남도 하동군 악양면 섬진강대로 3068-4,35.1304387,127.6962371
두부자공방,경남 거창군,경상남도 거창군 거창읍 밤티재로 1273-26,35.669462,127.9301054
신정희도예 (신한균 사기장),경남 양산시,경상남도 양산시 하북면 평산마을길 114,35.4956584,129.0671132
"고성장 (1, 6일)",경남 고성군,경상남도 고성군 고성읍 중앙로25번길 57,34.9772427,128.323632
"생초시장 (3, 8일)",경남 산청군,경상남도 산청군 생초면 생초로 25-17,35.4924156,127.836062
