name,region,tel,keyword,photo
포항 죽도시장,경북 포항시,054-247-3776,"['2014', '경상권', '나들이', '먹거리', '쇼핑', '쇼핑 부문', '수상내역', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c702e5f-38b8-4e23-9d22-363b9358da59&thumb
"안동장 / 안동구시장(2, 7일)",경북 안동시,054-858-9002,"['가족여행', '경상권', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=65ea5191-319a-49ba-b37a-7f5129072f46&thumb
경주 중앙시장,경북 경주시,054-743-3696,"['가족여행', '경상권', '경주중앙시장', '나들이', '데이트코스', '먹거리', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=58516c06-cb4c-48a9-9f78-1814fe35e14b&thumb
"의성전통시장, 의성장 (2, 7일)",경북 의성군,054-830-6233,"['경상권', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cab1d612-a9e4-49c1-9c11-8e560a8b80e0&thumb
풍기인삼시장,경북 영주시,054-636-7948,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '쇼핑', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1d6e4f35-16b8-423c-9e9b-9db169d4f0b8&thumb
"영천장 (2, 7일)",경북 영천시,054-331-1772,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eabc250a-0bf0-4b9c-bc6d-856e99ee3159&thumb
청도농산물프라자,경북 청도군,054-371-6561,"['가족여행', '경상권', '기념품판매', '기차여행', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0b47fde8-3578-4926-9c42-898bc8fb2c1f&thumb
상주곶감유통센터 상주곶감직판장,경북 상주시,054-536-0907,"['가족여행', '경상권', '기념품판매', '기차여행', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e44814e9-2aae-4cf0-bf58-7386a0055352&thumb
구미 인동시장,경북 구미시,054-472-8329,"['가족여행', '경상권', '구미인동시장', '기차여행', '나들이', '나홀로여행', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cd6f4f42-73dc-4e80-92d6-2f012eadc8b2&thumb
경주 성동시장,경북 경주시,054-772-4226,"['가족여행', '경상권', '경주성동시장', '나들이', '나홀로여행', '데이트코스', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=591a11ab-f3f9-43f1-853e-e168249ada53&thumb
