name,region,address,Latitude,Longitude
포항 죽도시장,경북 포항시,경상북도 포항시 북구 죽도시장13길 13-1,36.0363602,129.3683896
"안동장 / 안동구시장(2, 7일)",경북 안동시,경상북도 안동시 번영1길 55,36.5657864,128.7279377
경주 중앙시장,경북 경주시,경상북도 경주시 금성로 295,35.8440361,129.2063901
"의성전통시장, 의성장 (2, 7일)",경북 의성군,경상북도 의성군 의성읍 전통시장3길 12,36.346201,128.6991178
풍기인삼시장,경북 영주시,경상북도 영주시 풍기읍 인삼로 8,36.8730305,128.5234302
"영천장 (2, 7일)",경북 영천시,경상북도 영천시 시장4길 38,35.9642448,128.937981
청도농산물프라자,경북 청도군,경상북도 청도군 화양읍 이슬미로 51,35.6802866,128.697322
상주곶감유통센터 상주곶감직판장,경북 상주시,경상북도 상주시 영남제일로 1154,36.4160008,128.2124141
구미 인동시장,경북 구미시,경상북도 구미시 인동중앙로5길 16-7,36.1084037,128.4212444
경주 성동시장,경북 경주시,경상북도 경주시 동문로24번길 12,35.8467396,129.2158171
구미 해평시장,경북 구미시,경상북도 구미시 해평면 해평시장2길 19,36.194464,128.3913739
문경 전통한지,경북 문경시,경상북도 문경시 농암면 속리길 40,36.5680557,127.9809776
김천 평화시장,경북 김천시,경상북도 김천시 김천로 100,36.1237001,128.1128936
"공성장 (1, 6일)",경북 상주시,경북 상주시 공성면 옥산리 177-1,36.2855717,128.0932699
문경중앙시장,경북 문경시,경상북도 문경시 중앙시장길 32-9,36.5945218,128.1981897
안동간고등어안동특약점 / 안동특산물직판장,경북 안동시,경상북도 안동시 경동로 613,36.5548968,128.7551302
"풍산장 / 안동풍산시장 (3, 8일)",경북 안동시,경상북도 안동시 풍산읍 장터3길 1,36.5784042,128.5748749
"청송장 (4, 9일) / 청송재래시장",경북 청송군,경상북도 청송군 청송읍 현충로 106,36.4351163,129.052185
"구룡포장 (3, 8일)",경북 포항시,경상북도 포항시 남구 구룡포읍 구룡포길 72-1,35.990309,129.5540203
"평해장 (2, 7일)",경북 울진군,경상북도 울진군 평해읍 평해로 64-28,36.7264822,129.4426717
"약목장 (3, 8일)",경북 칠곡군,경상북도 칠곡군 약목면 약목로1길 5-1,36.032371,128.3659044
"상주장 / 상주중앙시장 (2, 7일)",경북 상주시,경상북도 상주시 중앙시장길 1-7,36.4134896,128.1613463
청송군농특산물판매장,경북 청송군,경상북도 청송군 주왕산면 주왕산로 448,36.3617275,129.1573351
"영양시장 (4, 9일)",경북 영양군,경상북도 영양군 영양읍 시장5길 15-1,36.6646778,129.1158196
"왜관장 (1, 6일)",경북 칠곡군,경상북도 칠곡군 왜관읍 시장1길 5,35.9959643,128.3985442
"영덕장 (4, 9일)",경북 영덕군,경상북도 영덕군 영덕읍 남석길 23-48,36.4067152,129.3695328
"억지춘양5일장 (4, 9일)",경북 봉화군,경상북도 봉화군 춘양면 의양로2길 25-1,36.9362978,128.9137931
"영주장 / 신영주번개시장 (5, 10일)",경북 영주시,경상북도 영주시 선비로79번길 1,36.8120989,128.623198
"군위장 (3, 8일)",경북 군위군,경상북도 군위군 군위읍 중앙5길 12-8,36.238937,128.5667822
포항 북부시장,경북 포항시,경상북도 포항시 북구 삼호로47번길 22-3,36.0465525,129.3689089
"금호장 (3, 8일)",경북 영천시,경상북도 영천시 금호읍 금호로 101,35.9369942,128.8857005
"선산5일장 (2, 7일)",경북 구미시,경상북도 구미시 선산읍 단계동길 24,36.2396519,128.3010689
"신령장 (신녕장) (3, 8일)",경북 영천시,경상북도 영천시 신녕면 본관시장길 3,36.0405884,128.787785
"안동 중앙신시장 (2, 7일)",경북 안동시,경상북도 안동시 대안로 98-15,36.5649927,128.7240347
영주 365시장,경북 영주시,경상북도 영주시 중앙로83번길 40,36.8242543,128.6232853
동해 종합시장,경북 포항시,경상북도 포항시 남구 중앙로134번길 27,36.0258055,129.3709441
문경시 농특산물 판매장(문경새재장터),경북 문경시,경상북도 문경시 문경읍 새재로 906,36.756555,128.0871107
한국 관광명품관 (포항),경북 포항시,경상북도 포항시 남구 호미곶면 해맞이로 136,36.076405,129.5672781
문경 동로시장,경북 문경시,경상북도 문경시 동로면 여우목로 2788-1,36.7736922,128.3146028
"울진장 (2, 7일)",경북 울진군,경상북도 울진군 울진읍 읍내2길 13-6,36.9915784,129.4020299
보산토기,경북 경주시,경상북도 경주시 하동공예촌길 12-5,35.8050231,129.3112686
의성마늘장터 (의성명품마늘영농조합법인),경북 의성군,경상북도 의성군 의성읍 구봉길 215-10,36.3448697,128.6968255
영남요,경북 문경시,경상북도 문경시 문경읍 새재로 579,36.756555,128.0871107
"청도장 (4, 9일)",경북 청도군,경상북도 청도군 청도읍 청도시장1길 21,35.6441204,128.7456144
"경산장 (5, 10일)",경북 경산시,경상북도 경산시 중앙로16길 20-1,35.8214168,128.7358479
"장기장 (4, 9일)",경북 포항시,경상북도 포항시 남구 장기면 임중리 368-1,35.8907538,129.4905007
영천목탁공예사,경북 영천시,경상북도 영천시 언하동 167-1,35.9876407,128.9694321
안동 용상시장,경북 안동시,경상북도 안동시 경동로 874,36.5548968,128.7551302
"화서시장/화령장 (3, 8일)",경북 상주시,경상북도 상주시 화서면 화령남1길 10,36.4447716,127.9530057
"하양꿈바우시장/하양장 (4, 9일)",경북 경산시,경상북도 경산시 하양읍 대학로 1543,35.9153899,128.8199014
신라요,경북 경주시,경상북도 경주시 하동공예촌길 45,35.8060713,129.3116774
"압량장 (2, 7일)",경북 경산시,경상북도 경산시 압량면 압량시장길 1,35.8439691,128.7603832
"장천장 (5, 10일)",경북 구미시,경상북도 구미시 장천면 상장5길 4,36.1256817,128.4934125
"영해만세시장 / 영해관광시장 (5, 10일)",경북 영덕군,경상북도 영덕군 영해면 예주시장6길 15,36.5402927,129.4074696
"동명장 (4, 9일)",경북 칠곡군,경상북도 칠곡군 동명면 금암4길 2,35.9834469,128.5533002
