name,region,tel,keyword,photo
대구 서문시장 & 서문시장 야시장,대구 중구,053-256-6341,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '대구서문시장', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f77259df-8bf1-4250-b49f-fa2175012858&thumb
대구 평화시장,대구 동구,053-956-8413,"['가족여행', '나들이', '닭똥집골목', '대구평화시장', '데이트코스', '먹거리', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e5030e24-ea34-437c-b2e5-7caafec8e485&thumb
대구 칠성시장,대구 북구,053-423-3480,"['가족여행', '나들이', '대구칠성시장', '데이트코스', '먹거리', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8d717338-1ecb-4be0-93d0-ad5ee7f73db3&thumb
관문시장,대구 남구,053-627-2610,"['가족여행', '경상권', '관문시장', '기차여행', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=00201d40-943a-4b04-b589-0938a716cdb5&thumb
대구 봉덕시장,대구 남구,053-471-2849,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '대구봉덕시장', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c2787551-b61e-488e-87ef-cf30b3243daa&thumb
"현풍장 (5, 10일)",대구 달성군,053-668-2645,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=24835e48-ba26-4bdb-916e-6c10dcd5fef7&thumb
퀸스로드,대구 서구,053-552-4800,"['복합문화공간', '쇼핑', '유럽풍', '유명브랜드', '패션아울렛']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4e9fe353-2636-411a-8227-de9cc26df122&thumb
대구 안지랑시장,대구 남구,053-652-6569,"['가족여행', '나들이', '데이트코스', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8f5ce47d-09cf-4a6f-a32c-9a195490e64c&thumb
그랜드면세점(대구시내점),대구 수성구,053-251-2000,"['대구', '대구가볼만한곳', '면세점', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=436bee7e-8b8f-48d1-b965-3fa343a2eaa9&thumb
대구국제공항 면세점,대구 동구,1800-1160,"['공항', '대구', '면세점', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f36b4dc3-d803-49e2-a2e3-5bf948a82fcc&thumb
대구종합유통단지관리공단,대구 북구,053-381-3690,"['대구산업', '대구쇼핑', '쇼핑', '테마상가']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=af7123cd-4696-42f6-9a1d-30e141adf895&thumb
대구 한약재 도매시장,대구 중구,053-257-0545,"['가족여행', '경상권', '나들이', '나홀로여행', '대구한약재도매시장', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=35337bb0-057a-4e24-b8e3-a0b29dbc6d9c&thumb
"불로장 / 불로전통시장 (5, 10일)",대구 동구,053-982-8588,"['가족여행', '경상권', '기차여행', '나들이', '나홀로여행', '먹거리', '불로장', '불로전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bd1c4a8d-e4de-447e-a529-641f02d05f15&thumb
핫트랙스 (대구점),대구 중구,053-425-9961,"['기프트아이템', '대구쇼핑', '문구', '복합문화쇼핑공간', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4484d370-adf8-4f6f-a1d8-fd1e6af27b87&thumb
원대가구 명물거리,대구 서구,053-663-3004,"['가구', '명물거리', '사무용가구', '쇼핑', '유명브랜드']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=271bdbb7-408d-4d6b-a134-96df45208ef4&thumb
동아아울렛 (본점),대구 중구,1577-0111,"['대구아울렛', '쇼핑', '아울렛', '유명브랜드']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5d3be21b-65f9-416e-a7be-4356c711cf79&thumb
천미사 (상감입사장),대구 수성구,053-768-0021,"['공예품', '무형문화재', '생활용품', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=82305f19-e75e-43c7-a424-b7a6329347cc&thumb
대림목공예,대구 동구,053-982-3455,"['경상권', '대림목공예', '목공예', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=abc36915-5db7-4150-b5cd-a1c89455f5f4&thumb
방천시장,대구 중구,,"['대구', '쇼핑', '시장', '재래시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fb37536f-7fcc-4de6-a4a2-bcf8dc57081b&thumb
