name,region,address,lat,lon
대구 서문시장 & 서문시장 야시장,대구 중구,대구광역시 중구 큰장로26길 45,35.86890721,128.5807718
대구 평화시장,대구 동구,대구광역시 동구 아양로9길 10,35.88300569,128.6192564
대구 칠성시장,대구 북구,대구광역시 북구 칠성시장로 28,35.87697957,128.604501
관문시장,대구 남구,대구광역시 남구 대명서7길 24-3,35.83561144,128.5579765
대구 봉덕시장,대구 남구,대구광역시 남구 봉덕로 115,35.84513894,128.6033943
"현풍장 (5, 10일)",대구 달성군,대구광역시 달성군 현풍면 비슬로130길 53-1,35.6943428,128.4423992
퀸스로드,대구 서구,대구광역시 서구 평리로35길 18-17,35.86170003,128.5451114
대구 안지랑시장,대구 남구,대구광역시 남구 대명로36길 19,35.83808854,128.5760507
그랜드면세점(대구시내점),대구 수성구,대구광역시 수성구 동대구로 305,35.85767615,128.6249847
대구국제공항 면세점,대구 동구,대구광역시 동구 공항로 221,35.89910868,128.6392615
대구종합유통단지관리공단,대구 북구,대구광역시 북구 유통단지로13길 9,35.90821539,128.6091254
대구 한약재 도매시장,대구 중구,대구광역시 중구 남성로 51-1,35.86728197,128.5923712
"불로장 / 불로전통시장 (5, 10일)",대구 동구,대구광역시 동구 팔공로26길 9-1,35.91040108,128.6419422
핫트랙스 (대구점),대구 중구,대구광역시 중구 국채보상로 586,35.87059419,128.594818
원대가구 명물거리,대구 서구,대구광역시 서구 원대동3가,35.88464737,128.576298
동아아울렛 (본점),대구 중구,대구광역시 중구 경상감영길 171,35.87261511,128.5968916
천미사 (상감입사장),대구 수성구,대구광역시 수성구 들안로 108,35.83953635,128.6171369
대림목공예,대구 동구,대구광역시 동구 공항로33길 21,35.9029246,128.6331256
방천시장,대구 중구,대구광역시 중구 달구벌대로446길,35.86166702,128.6058217
