name,region,address,lat,lon
대전 중앙시장,대전 동구,대전광역시 동구 대전로 783,36.32956033,127.4331847
대전 태평시장,대전 중구,대전광역시 중구 수침로55번길 56,36.32594524,127.397694
패션월드,대전 서구,대전광역시 서구 월평새뜸로 5,36.35193514,127.3528172
은행동 으능정이 문화의거리,대전 중구,대전광역시 중구 중앙로 170,36.32934764,127.428336
"유성장 (4, 9일)",대전 유성구,대전광역시 유성구 유성대로730번길 24,36.35777679,127.3339218
둔산전자타운,대전 서구,대전광역시 서구 도산로403번길 21,36.34012167,127.393799
"신탄진장 (3, 8일)",대전 대덕구,대전광역시 대덕구 석봉로37번길 47,36.44954956,127.4259272
대전 중리전통시장,대전 대덕구,대전광역시 대덕구 중리북로37번길 26,36.36534168,127.4257928
갤러리아 백화점 (타임월드점),대전 서구,대전광역시 서구 대덕대로 211,36.3519543,127.378167
역전시장,대전 동구,대전광역시 동구 역전시장길 34,36.33005618,127.4338718
