name,region,address,lat,lon
부산 자갈치시장,부산 중구,부산광역시 중구 자갈치해안로 52,35.09661378,129.0305837
부평시장(깡통시장),부산 중구,부산광역시 중구 부평1길 48,35.1015592,129.0260206
국제시장,부산 중구,부산광역시 중구 신창로4가 일원,35.1015524,129.0282977
자갈치시장 활어부,부산 중구,부산광역시 중구 자갈치해안로 52,35.09661378,129.0305837
롯데프리미엄아울렛 동부산점,부산 기장군,부산광역시 기장군 기장읍 기장해안로 147,35.1922145,129.2127805
부산 기장시장,부산 기장군,부산광역시 기장군 기장읍 읍내로104번길 16,35.24369679,129.2148685
부산 해운대시장,부산 해운대구,부산광역시 해운대구 구남로41번길 22-1,35.16140387,129.1623153
미술의거리,부산 중구,부산광역시 중구 중구로 31,35.1005816,129.0278472
남항시장,부산 영도구,부산광역시 영도구 절영로49번길 73-5,35.08890761,129.0422626
환공어묵 부산역점,부산 동구,부산광역시 동구 중앙대로 206,35.11760513,129.0450602
신세계사이먼 부산 프리미엄 아울렛,부산 기장군,부산광역시 기장군 장안읍 정관로 1133,35.32381098,129.2349662
부산 중앙시장,부산 부산진구,부산광역시 부산진구 중앙번영로20번길 34-3,35.1433915,129.0610915
용두산공원 부산타워 세양,부산 중구,부산광역시 중구 용두산길 37-55,35.10092943,129.0324428
"송정시장 (5, 10일)",부산 기장군,부산광역시 기장군 철마면 두송길 7-31,35.30473201,129.1116483
구포 축산물도매시장,부산 북구,부산광역시 북구 사상로583번길 20,35.19638644,128.9894906
부산 진시장,부산 동구,부산광역시 동구 진시장로 24,35.13642339,129.0588362
부산 엄궁농산물도매시장,부산 사상구,부산광역시 사상구 농산물시장로9번길 11,35.12867885,128.9642837
해운대 로데오거리,부산 해운대구,부산광역시 해운대구 좌동순환로 473,35.16366622,129.1694173
부산 르네시떼,부산 사상구,부산광역시 사상구 광장로 7,35.16433608,128.9777161
영도봉래시장 / 봉래시장,부산 영도구,부산광역시 영도구 태종로113번길 39,35.09271476,129.043933
부산 자유도매시장,부산 동구,부산광역시 동구 조방로 48,35.14097365,129.0610402
이니스프리 부산대점[한국관광 품질인증/Korea Quality],부산 금정구,부산광역시 금정구 금정로68번길 28,35.23034385,129.0878889
