name,region,address,lat,lon
스타필드 코엑스몰,서울 강남구,서울특별시 강남구 영동대로 513,37.51182391,127.059159
대림중앙시장,서울 영등포구,서울특별시 영등포구 디지털로37나길 21,37.49160806,126.8999422
동대문 종합시장·동대문 쇼핑타운,서울 종로구,서울특별시 종로구 종로 266,37.57070649,127.0073287
남대문시장,서울 중구,서울특별시 중구 남대문시장4길 21,37.55918636,126.9776537
광장시장,서울 종로구,서울특별시 종로구 창경궁로 88,37.57011251,126.9997072
서울풍물시장,서울 동대문구,서울특별시 동대문구 천호대로4길 21,37.57271319,127.0255029
서울책보고,서울 송파구,서울특별시 송파구 오금로 1,37.5217861,127.1032265
동진시장,서울 마포구,서울특별시 마포구 성미산로 198,37.56237655,126.9267634
경동시장,서울 동대문구,서울특별시 동대문구 왕산로 147,37.57878423,127.0396587
동대문종합시장 악세사리상가,서울 종로구,서울특별시 종로구 종로 266,37.57070649,127.0073287
서울 평화시장,서울 중구,서울특별시 중구 청계천로 274,37.56942586,127.0080476
동대문종합시장 한복상가,서울 종로구,서울특별시 종로구 종로 266,37.57070649,127.0073287
통인시장,서울 종로구,서울특별시 종로구 자하문로15길 18,37.580767,126.9699476
IFC몰,서울 영등포구,서울특별시 영등포구 국제금융로 10,37.52517752,126.9248767
숭례문(남대문) 수입상가,서울 중구,서울특별시 중구 소월로 3,37.55937231,126.9762026
한국다원호간보 [한국관광 품질인증/Korea Quality],서울 마포구,서울특별시 마포구 방울내로 83,37.56117831,126.9042147
서울 약령시장,서울 동대문구,서울특별시 동대문구 약령중앙로 10,37.57910781,127.0370603
망원시장,서울 마포구,서울특별시 마포구 포은로8길 14,37.55624,126.905628
가든파이브 (Garden5),서울 송파구,서울특별시 송파구 충민로 66,37.47761484,127.1249618
아크앤북 (ARC N BOOK),서울 중구,서울특별시 중구 을지로 29,37.56648845,126.981025
가락시장(가락농수산물 도매시장),서울 송파구,서울특별시 송파구 양재대로 932,37.49453769,127.1087136
화창토산주식회사(한국고려인삼) [한국관광 품질인증/Korea Quality],서울 서대문구,서울특별시 서대문구 연희로 212,37.57597262,126.9358226
종로3가 귀금속 전문상가,서울 종로구,서울특별시 종로구 종로3가,37.57038842,126.9923298
구로 중앙유통단지,서울 구로구,서울특별시 구로구 경인로53길 15,37.5020321,126.8761173
고투몰(강남터미널 지하도상가),서울 서초구,서울특별시 서초구 신반포로 지하 200,37.50622031,127.0050517
