name,region,tel,keyword,photo
소래포구 종합어시장,인천 남동구,032-719-1522,"['가족여행', '나들이', '나홀로여행', '먹거리', '소래포구종합어시장', '쇼핑', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e80e3bef-5247-49f4-9944-685447cfdde7&thumb
교동도 대룡시장,인천 강화군,032-930-4500,"['가족여행', '교동도대룡시장', '나들이', '나홀로여행', '데이트코스', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5165bba1-bec4-4eff-8c75-48f3ccddfc1b&thumb
인천 종합어시장,인천 중구,032-888-4241,"['가족여행', '나들이', '나홀로여행', '드라이브여행', '서울근교여행', '쇼핑', '수도권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4af877a3-e7e5-4d48-9b07-e841d2dee023&thumb
강화 풍물시장,인천 강화군,032-930-7042,"['가족여행', '강화풍물시장', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=021e1dc7-4a9d-4afb-89b7-9a06d3138a81&thumb
신포국제시장,인천 중구,032-772-5812 032-764-0407,"['가족여행', '나들이', '나홀로여행', '드라이브여행', '마을축제', '먹거리', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=61630607-cc43-497d-b857-3ba04799c0e8&thumb
인천 모래내시장,인천 남동구,032-471-1427,"['가족여행', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께', '인천모래내시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a58f3f64-aaf3-4ef0-b7e5-097c59bb90ec&thumb
부평모두몰(부평지하도상가),인천 부평구,,"['부평구', '부평역', '부평지하상가', '쇼핑', '악세사리', '의류', '인천', '지하상가']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b32ad4c6-c38f-4975-a431-fdc6d7b0000c&thumb
엔타스면세점,인천 중구,1644-0159,"['면세점', '쇼핑', '인천면세점', '인천쇼핑', '인천중구']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7330df68-ddd9-46cd-a510-ed98b0c80bd1&thumb
인천 용현시장,인천 미추홀구,032-886-9318,"['가족여행', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께', '인천용현시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cb573952-3232-44f2-bc01-64e4be90d9d1&thumb
아이즈빌아울렛,인천 부평구,032-270-2000,['쇼핑'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ac0a8574-cffc-4aba-a091-8a625070c2ff&thumb
SM면세점 (인천공항점),인천 중구,1522-0800,"['면세점', '쇼핑', '인천공항', '인천공항제1여객터미널', '인천공항제2여객터미널']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5e5f1b0c-19a2-4cc1-ba95-7fa526a52328&thumb
부평 종합시장,인천 부평구,032-516-0655,"['가족여행', '부평종합시장', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ae774329-5163-433b-8b69-e335ae5d85ea&thumb
인천 옥련시장,인천 연수구,032-831-8640,"['가족여행', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께', '옥련시장', '인천옥련시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5f6107d0-7b8c-461b-b6bd-38c0635e8e4e&thumb
인천 삼산농산물도매시장,인천 부평구,032-440-6450,"['가족여행', '먹거리', '사계절', '쇼핑', '수도권', '아이와함께', '인천삼산농산물도매시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5cea9390-3c5c-4f7c-b767-722b40f354ce&thumb
석바위 지하도상가,인천 미추홀구,032-422-4976,['쇼핑'],https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=121617b6-da6e-429e-b5d4-5a0b4a935b0a&thumb
인천 중앙시장,인천 동구,032-763-4242,"['가족여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '수도권', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=38daa9c8-da29-4ba2-9152-a047de3e73b6&thumb
강화 중앙시장,인천 강화군,032-933-7104,"['가족여행', '강화중앙시장', '사계절', '쇼핑', '수도권', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ce5c3d07-e140-4f89-afcc-36f650a7149e&thumb
인천 강남시장,인천 서구,032-578-6163,"['가족여행', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께', '인천강남시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0917b864-9c33-40d4-a056-e18731175657&thumb
인천 현대시장,인천 동구,032-777-2361,"['가족여행', '나들이', '나홀로여행', '드라이브여행', '먹거리', '서울근교여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d2fe00f2-9f89-462a-b97c-238f3a07003b&thumb
인천 구월시장,인천 남동구,032-469-2525,"['가족여행', '사계절', '쇼핑', '수도권', '시장맛집', '아이와함께', '인천구월시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f8e539dd-3b93-4db2-a848-10108fff3f61&thumb
