name,region,address,lat,lon
소래포구 종합어시장,인천 남동구,인천광역시 남동구 소래역로 12,37.39873702,126.7371747
교동도 대룡시장,인천 강화군,인천광역시 강화군 교동면 교동남로 35,37.78048938,126.2810496
인천 종합어시장,인천 중구,인천광역시 중구 연안부두로33번길 37,37.45413649,126.6071645
강화 풍물시장,인천 강화군,인천광역시 강화군 강화읍 중앙로 17-9,37.74142155,126.4928692
신포국제시장,인천 중구,인천광역시 중구 우현로49번길 11-5,37.47146219,126.627812
인천 모래내시장,인천 남동구,인천광역시 남동구 호구포로810번길 42-8,37.45420055,126.7214912
부평모두몰(부평지하도상가),인천 부평구,인천광역시 부평구 부평대로 지하 7,37.49030551,126.72297
엔타스면세점,인천 중구,인천광역시 중구 영종해안남로321번길 186,37.43721107,126.4557687
인천 용현시장,인천 미추홀구,인천광역시 미추홀구 용삼길 57-1,37.45824141,126.6527511
아이즈빌아울렛,인천 부평구,인천광역시 부평구 마장로 489,37.52136374,126.7037206
SM면세점 (인천공항점),인천 중구,인천광역시 중구 공항로 271,37.44761097,126.4523467
부평 종합시장,인천 부평구,인천광역시 부평구 부흥로316번길 38-3,37.49649796,126.7266188
인천 옥련시장,인천 연수구,인천광역시 연수구 독배로40번길 35,37.42462185,126.64683
인천 삼산농산물도매시장,인천 부평구,인천광역시 부평구 영성동로 46,37.52182068,126.7490089
석바위 지하도상가,인천 미추홀구,인천광역시 미추홀구 경원대로 848,37.45788358,126.6902724
인천 중앙시장,인천 동구,인천광역시 동구 중앙로 68,37.47535282,126.6333451
강화 중앙시장,인천 강화군,인천광역시 강화군 강화읍 강화대로 429,37.74685524,126.4838615
인천 강남시장,인천 서구,인천광역시 서구 강남로 14,37.51122131,126.6719954
인천 현대시장,인천 동구,인천광역시 동구 송림로109번길 21,37.47748725,126.6461237
인천 구월시장,인천 남동구,인천광역시 남동구 호구포로790번길 21-13,37.45336936,126.7202675
"길상공설시장 (4일, 9일)",인천 강화군,인천광역시 강화군 길상면 온수길33번길 2,37.63913403,126.4907592
올리브 아울렛 (인천점),인천 남동구,인천광역시 남동구 남동대로 880,37.46094966,126.70886
장승백이 전통시장 (구. 창대시장),인천 남동구,인천광역시 남동구 인주대로888번길 35,37.44656416,126.7352271
인천 동부시장,인천 동구,인천광역시 동구 송림로 107,37.47659678,126.6464505
강화 인삼센터,인천 강화군,인천광역시 강화군 강화읍 강화대로 335,37.74220811,126.4925195
인천 송현자유시장,인천 동구,인천광역시 동구 화도진로43번길 13-1,37.47597812,126.6329105
강화젓갈,인천 강화군,인천광역시 강화군 내가면 해안서로 899-2,37.7008094,126.3784764
인천 송현시장,인천 동구,인천광역시 동구 화도진로44번길 18,37.47616144,126.6346428
강화토산품판매장,인천 강화군,인천광역시 강화군 강화읍 중앙로 17-9,37.74142155,126.4928692
완초장,인천 강화군,인천광역시 강화군 강화읍 충렬사로22번길 8-1,37.73758854,126.4859303
유림상회/ 소금빛서점,인천 강화군,인천광역시 강화군 강화읍 남문안길 7,37.74476925,126.4855937
