name,region,tel,keyword,photo
목포 자유시장 (남진야시장),전남 목포시,061-245-1615,"['가족여행', '먹거리', '목포자유시장', '사계절', '쇼핑', '아이와함께', '이색체험']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=16e98410-a312-4c25-a2e3-35a7fc752a7c&thumb
목포 종합수산시장,전남 목포시,061-245-5096,"['가족여행', '먹거리', '목포종합수산시장', '바다풍경', '사계절', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d1d62cb5-afb7-401b-ae9e-8efa4035ee6c&thumb
여수 종합수산시장,전남 여수시,061-662-7268,"['가족여행', '기차여행', '나홀로여행', '쇼핑', '아이와함께', '여수종합수산시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=68176fbe-58e3-4093-a071-de7da2a22c34&thumb
여수중앙선어시장,전남 여수시,,"['가족여행', '기차여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '바다풍경']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cd2a9558-0e21-444e-808a-2857a2f22504&thumb
"순천 아랫장 (2, 7일)",전남 순천시,061-741-3334,"['가족여행', '기차여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=16ecbc45-6e6d-47fc-b0d8-cb9a64743311&thumb
영광 법성포 굴비거리,전남 영광군,061-350-5416,"['가족여행', '기념품판매', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c52ff911-f0d9-4fb1-ba4c-4c1107247c4a&thumb
정남진 장흥토요시장,전남 장흥군,061-846-7002,"['가족여행', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=386c9b69-5c31-48ff-9d31-c3164f2b94f6&thumb
여수 돌산갓장터마을갓김치,전남 여수시,061-659-5728,"['가족여행', '기념품판매', '기차여행', '나들이', '나홀로여행', '쇼핑', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7927fd57-94da-4274-983e-8ef1792602e4&thumb
"구례5일장 / 구례전통시장(3, 8일)",전남 구례군,061-782-8484,"['가족여행', '구례5일장', '구례전통시장', '사계절', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8ec96d6e-6450-4c97-82c1-98da5c46d163&thumb
"보성장 / 녹차골 보성향토시장 (2, 7일)",전남 보성군,061-852-3360,"['가족여행', '녹차골보성향토시장', '보성장', '사계절', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=25081122-c627-4753-ab99-a4eed5ba247f&thumb
