name,region,address,lat,lon
백수해안도로,전남 영광군,전라남도 영광군 백수읍 대신리,35.35051661,126.4002666
담양 메타세쿼이아길,전남 담양군,전라남도 담양군 담양읍 메타세쿼이아로 19,35.32386968,127.0041218
"순천만습지 (구, 순천만자연생태공원)",전남 순천시,전라남도 순천시 순천만길 513-25,34.88579701,127.5092833
오동도,전남 여수시,전라남도 여수시 오동도로 222,34.74436175,127.7641041
여수 해상케이블카,전남 여수시,전라남도 여수시 돌산읍 돌산로 3600-1,34.73058792,127.7415247
향일암(여수),전남 여수시,전라남도 여수시 돌산읍 향일암로 60,34.5937942,127.8029879
가우도,전남 강진군,전라남도 강진군 도암면 월곶로 473,34.52833982,126.7726355
죽녹원,전남 담양군,전라남도 담양군 담양읍 죽녹원로 119,35.32535666,126.9866155
광양 매화마을,전남 광양시,전라남도 광양시 다압면 섬진강매화로 1563-1,35.0803491,127.7153051
목포 자유시장 (남진야시장),전남 목포시,전라남도 목포시 자유로 122,34.79296436,126.4030678
목포 종합수산시장,전남 목포시,전라남도 목포시 해안로 267,34.78781934,126.3900991
여수 종합수산시장,전남 여수시,전라남도 여수시 여객선터미널길 24,34.73814206,127.7317636
여수중앙선어시장,전남 여수시,전라남도 여수시 이순신광장로 103,34.73913771,127.7370321
"순천 아랫장 (2, 7일)",전남 순천시,전라남도 순천시 장평로 60,34.94514679,127.49609
영광 법성포 굴비거리,전남 영광군,전라남도 영광군 법성면,35.3620555,126.4460191
정남진 장흥토요시장,전남 장흥군,전라남도 장흥군 장흥읍 토요시장3길 15,34.67636797,126.9028619
여수 돌산갓장터마을갓김치,전남 여수시,전라남도 여수시 돌산읍 향일암로 359,34.60499613,127.7876658
"구례5일장 / 구례전통시장(3, 8일)",전남 구례군,전라남도 구례군 구례읍 5일시장작은길 20,35.21015153,127.4700805
"보성장 / 녹차골 보성향토시장 (2, 7일)",전남 보성군,전라남도 보성군 보성읍 현충로 42-1,34.76564893,127.0772318
광양 청매실농원,전남 광양시,전라남도 광양시 다압면 지막1길 55,35.07549641,127.7166502
"곡성장 / 곡성기차마을전통시장 (3, 8일)",전남 곡성군,전라남도 곡성군 곡성읍 곡성로 856,35.27976851,127.2984376
백록다원,전남 보성군,전라남도 보성군 회천면 봉서동길 81-7,34.66548303,127.0498304
나주목사고을시장,전남 나주시,전라남도 나주시 청동길 14,35.03624619,126.7237675
여수 특산품전시판매장,전남 여수시,전라남도 여수시 봉산남9길 30-12,34.73121587,127.7282211
목포 청호시장,전남 목포시,전라남도 목포시 석현로 28,34.81538137,126.424593
"일로장 (1, 6일)",전남 무안군,전라남도 무안군 일로읍 시장길 11-22,34.84753508,126.4943346
완도 해산물장터,전남 완도군,전라남도 완도군 완도읍 해변공원로124번길 26,34.32596425,126.7499626
"진도장 / 진도조금시장 (2, 7일)",전남 진도군,전라남도 진도군 진도읍 조금시장길 23,34.48097045,126.2570824
목포 신중앙시장,전남 목포시,전라남도 목포시 원산중앙로 51,34.81025503,126.3775244
목포 동부시장,전남 목포시,전라남도 목포시 산정로 174,34.80408944,126.3920968
"담양장 / 죽물시장 (2, 7일)",전남 담양군,전라남도 담양군 담양읍 담주4길 44-8,35.32314598,126.9808152
"화순장 / 화순전통시장 (3, 8일)",전남 화순군,전라남도 화순군 화순읍 시장길 42,35.05909677,126.9833988
죽향참빗,전남 담양군,전라남도 담양군 담양읍 향교길 29,35.32661836,126.9859351
곡성 기차당 뚝방마켓,전남 곡성군,전라남도 곡성군 곡성읍 곡성로 898,35.28140201,127.3012726
"광양5일장 (1, 6일)",전남 광양시,전라남도 광양시 광양읍 백운로 3,34.9711607,127.5904533
수협 보성회천수산물위판장,전남 보성군,전라남도 보성군 회천면 남부관광로 2274,34.66720677,127.0840951
"함평장 (2, 7일)",전남 함평군,전라남도 함평군 함평읍 시장길 49-1,35.06373037,126.5234259
순천만 공예특산품관,전남 순천시,전라남도 순천시 순천만길 513-25,34.88579701,127.5092833
"과역 5일장 (5, 10일)",전남 고흥군,전라남도 고흥군 과역면 시장안길 15,34.67945246,127.3622598
"장흥 5일장 (2, 7일)",전남 장흥군,전라남도 장흥군 장흥읍 토요시장3길 15,34.67636797,126.9028619
보향다원,전남 보성군,전라남도 보성군 보성읍 동암1길 144,34.75729483,127.0761278
