name,region,tel,keyword,photo
군산 공설시장,전북 군산시,063-445-4929,"['가족여행', '군산공설시장', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f2cf5d68-6897-4004-a746-9e56b40db77e&thumb
신영시장,전북 군산시,063-446-2524,"['가족여행', '기차여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=30aaa148-387a-4e35-a6ea-61151d21949f&thumb
전주 남부시장,전북 전주시,063-284-1344,"['가족여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0ee9af51-f359-4ed1-bc3c-7aa383b19016&thumb
군산수산물종합센터,전북 군산시,063-442-4822,"['가족여행', '군산수산물종합센터', '나들이', '나홀로여행', '데이트코스', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=14c91104-2929-42ed-a040-255acd089b9f&thumb
"무주반딧불시장(무주반딧불장터) (1, 6일)",전북 무주군,063-324-0692,"['가족여행', '나들이', '나홀로여행', '먹거리', '무주반딧불시장', '무주반딧불장터']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=1090bf23-7aa2-4810-956c-cd9568f9f2c8&thumb
"오수상설시장 / 오수5일장 (5, 10일)",전북 임실군,063-644-2007,"['가족여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=90ab7988-02c0-4dd4-8c5c-c964ef87ae74&thumb
격포항 수산시장,전북 부안군,063-581-0877,"['가족여행', '격포항수산시장', '기차여행', '나들이', '나홀로여행', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b93819c6-0582-4a9d-b3cc-37abfba37263&thumb
곰소젓갈단지 (구시장),전북 부안군,063-580-4395 063-581-5114,"['가족여행', '곰소젓갈단지', '나홀로여행', '쇼핑', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=c584e450-2fa7-4ce6-b16b-56b954ed549c&thumb
"고창장 (3, 8일)",전북 고창군,063-560-8100,"['가족여행', '고창장', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9c4e4204-7f05-41cf-a314-e201e0f56bc8&thumb
"부안상설시장 / 부안장 (4, 9일)",전북 부안군,063 584 3070,"['가족여행', '부안장', '사계절', '쇼핑', '시장맛집', '아이와함께', '어르신추천코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=9ff2bf33-74ca-4bff-9994-52c3135c41ec&thumb
"남원장 / 남원공설시장 (4, 9일)",전북 남원시,063-625-4010,"['가족여행', '남원공설시장', '남원장', '사계절', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f3b7c923-3a80-4e69-a919-945a86e0d4b1&thumb
전주 신중앙시장,전북 전주시,063-253-6535,"['가족여행', '사계절', '쇼핑', '시장맛집', '아이와함께', '재래시장', '전라권', '전주중앙시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d870ff3d-6f02-497f-b5ee-d8abc69be41d&thumb
익산 주얼팰리스,전북 익산시,063-834-5100,"['견학', '귀금속', '보석', '쇼핑', '익산보석박물관']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=98c7c63f-2f8b-4dc8-8ac7-404897c50095&thumb
"대야장 (1, 6일)",전북 군산시,063-451-2327,"['가족여행', '나들이', '나홀로여행', '대야장', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3fe7cfc8-891c-4e8b-a247-d63637531c49&thumb
남원 목기공예사,전북 남원시,063-635-9906,"['공예', '남원특산품', '목굥예', '목기공예', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=0cedfba4-45e4-4a33-9191-68cbb91f3b2a&thumb
남원 용남시장,전북 남원시,063-632-5133,"['가족여행', '나들이', '나홀로여행', '남원용남시장', '먹거리', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dda0adbc-3362-4470-a759-dee6203fcd25&thumb
전주 서부시장,전북 전주시,063-221-5336,"['가족여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=171d13d0-ac6d-492b-9f1d-1c7f6836803e&thumb
전주 모래내시장,전북 전주시,063-278-5802,"['가족여행', '먹거리', '사계절', '쇼핑', '아이와함께', '이색체험', '전라권', '전주모래내시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6a5ea23f-59aa-4430-a485-472319724f55&thumb
"익산 북부장 / 북부시장 (4, 9일)",전북 익산시,063-855-6891,"['가족여행', '기차여행', '나들이', '나홀로여행', '먹거리', '북부시장', '쇼핑', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=34601468-c7ae-4619-8585-0d8f49c2675f&thumb
"줄포장 (1, 6일)",전북 부안군,063-580-4612,"['가족여행', '사계절', '쇼핑', '시장맛집', '아이와함께', '재래시장', '전라권', '전통시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ae840b23-873a-4d2a-b0d6-f9dcc0a1c8b2&thumb
정읍 샘고을시장 (구 제일시장),전북 정읍시,063-534-6661,"['가족여행', '나들이', '나홀로여행', '먹거리', '샘고을전통시장', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e0180065-4d83-41e3-896c-e4373a2191a8&thumb
"관촌시장 (5, 10일)",전북 임실군,063-643-5999,"['가족여행', '관촌시장', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=612016fc-6313-4bef-9647-c05dfd812dc8&thumb
"진안장 / 진안시장 (4, 9일)",전북 진안군,063-433-1051,"['가족여행', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=81dcff5d-5021-4525-a692-efc26b497e3c&thumb
"김제장 (2, 7일)",전북 김제시,063-540-3616,"['가족여행', '기차여행', '김제장', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=cc346908-5e4a-4c09-aa39-914994d2adf0&thumb
"고산미소시장/고산시장 (4, 9일)",전북 완주군,063-262-0119,"['가족여행', '고산정기시장', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=539107ee-ab7b-44d9-b504-cab8b445b663&thumb
정읍 농산물도매시장,전북 정읍시,063-532-4001,"['가족여행', '나들이', '나홀로여행', '쇼핑', '시장맛집', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5113bbe4-d66a-4b7a-ba61-3d251a42daf9&thumb
정읍 연지시장,전북 정읍시,063-532-5380,"['가족여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d6da60ea-7cef-425c-ba7c-133148a6f3f2&thumb
"원평장 (4, 9일)",전북 김제시,063-540-4861,"['가족여행', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=dc7e1d32-cb9d-4d2f-8884-e7b0ce802376&thumb
손누리이야기 (관광두레 주민사업체),전북 김제시,063-547-0151,"['가족과함께', '공예체험', '공예품', '관광두레', '관광두레_주민사업체', '남녀노소']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bf4595d8-79a4-482e-8990-a28c19c2592e&thumb
"순창5일장 / 순창시장 (1, 6일)",전북 순창군,063-650-1311,"['가족여행', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '순창시장', '순창오일장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3b241260-1cc2-42db-ba48-3737ac2c1001&thumb
