name,region,tel,keyword,photo
서귀포매일올레시장,제주 서귀포시,064-762-1949,"['가족과함께', '먹거리', '사계절', '서귀포매일올레시장', '쇼핑', '시장맛집', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=8a635935-69d5-43fe-b3eb-078029d05527&thumb
동문재래시장,제주 제주시,064-752-3001,"['가족과함께', '동문재래시장', '먹거리', '사계절', '쇼핑', '시장맛집', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=061b38ab-67c1-45b4-91f2-1a68bbbc461f&thumb
"제주시민속오일시장 (2, 7일)",제주 제주시,064-743-5985,"['가족여행', '나들이', '데이트코스', '먹거리', '민속오일시장', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=46073890-0a4b-4e58-aad1-a808a40c79b4&thumb
제주 보성시장,제주 제주시,064-753-2085,"['가족여행', '나들이', '데이트코스', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=79728c72-5adc-48c9-96f3-77b685e62ec8&thumb
"성산 5일장 (1, 6일)",제주 서귀포시,064-760-4282,"['가족여행', '나들이', '나홀로여행', '먹거리', '성산오일장', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=e046efc7-55fe-49b9-833f-b6d75371f255&thumb
㈜제주참앤참 [한국관광 품질인증/Korea Quality],제주 제주시,064-711-1688,"['쇼핑', '제주시추천쇼핑', '제주참앤참', '제주추천쇼핑', '한국관광품질인증']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5f4bb46d-bc83-4201-88bd-a07f4fc617cd&thumb
골목시장,제주 서귀포시,064-766-3000,"['골목시장', '복합시장', '쇼핑', '제주권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a29f3b10-dcca-4842-93f0-f838fdb5cf72&thumb
"세화민속오일시장(5일, 0일)",제주 제주시,064-728-7762,"['가족여행', '나들이', '데이트코스', '먹거리', '세화오일장', '쇼핑', '시장맛집']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=76e57e40-c028-4be1-8117-7da46e656378&thumb
㈜다원코리아 [한국관광 품질인증/Korea Quality],제주 제주시,064-745-3688,"['다원코리아', '쇼핑', '제주시추천쇼핑', '제주추천쇼핑', '한국관광품질인증']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f09f63c1-82dd-414a-b76e-0818e9af5436&thumb
JDC 면세점 (제주공항점),제주 제주시,064-740-9900,"['공항면세점', '관광객', '면세점', '쇼핑', '유명브랜드']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=b5670072-65e1-437b-a8b0-da2a77207279&thumb
벨롱장,제주 제주시,064-783-3001,"['가족여행', '기념품판매', '나들이', '데이트코스', '벨롱장', '쇼핑', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7647dd8a-1b94-4540-b3a4-1b779215838a&thumb
