name,region,address,lat,lon
서귀포매일올레시장,제주 서귀포시,제주특별자치도 서귀포시 중앙로62번길 18,33.2501708,126.5636786
동문재래시장,제주 제주시,제주특별자치도 제주시 관덕로14길 20,33.5115817,126.526099
"제주시민속오일시장 (2, 7일)",제주 제주시,제주특별자치도 제주시 오일장서길 26,33.4974552,126.4747907
제주 보성시장,제주 제주시,제주특별자치도 제주시 동광로1길 32,33.5032944,126.527915
"성산 5일장 (1, 6일)",제주 서귀포시,제주특별자치도 서귀포시 성산읍 성산중앙로37번길 6,33.4638574,126.9331069
㈜제주참앤참 [한국관광 품질인증/Korea Quality],제주 제주시,제주특별자치도 제주시 한천로 29,33.5020951,126.5266298
골목시장,제주 서귀포시,제주특별자치도 서귀포시 성산읍 동류암로 20,33.4500452,126.9184399
"세화민속오일시장(5일, 0일)",제주 제주시,제주특별자치도 제주시 구좌읍 해맞이해안로 1412,33.5259384,126.8572852
㈜다원코리아 [한국관광 품질인증/Korea Quality],제주 제주시,제주특별자치도 제주시 도리로 40,33.5018336,126.4652862
JDC 면세점 (제주공항점),제주 제주시,제주특별자치도 제주시 공항로 2,33.5063344,126.4952613
벨롱장,제주 제주시,제주특별자치도 제주시 구좌읍 세화포구(세화항구),33.5290708,126.8574178
"한림민속5일시장(4, 9일)",제주 제주시,제주특별자치도 제주시 한림읍 한수풀로4길 10,33.4201519,126.2742341
한국기념품백화점,제주 제주시,제주특별자치도 제주시 원노형로 13,33.4874419,126.4848081
한림공원 다화원휴게소 (제주),제주 제주시,제주특별자치도 제주시 한림읍 한림로 300,33.3894949,126.2396825
제주 특산품전시판매장,제주 제주시,제주특별자치도 제주시 연삼로 473,33.4994261,126.5405872
"서귀포 향토5일시장 (4, 9일)",제주 서귀포시,제주특별자치도 서귀포시 중산간동로7894번길 18-5,33.2671561,126.5733776
라온명품관,제주 제주시,제주특별자치도 제주시 한림읍 금능남로 127,33.3760556,126.2441268
"고성5일시장 (4, 9일)",제주 서귀포시,제주특별자치도 서귀포시 성산읍 고성오조로 93,33.4517759,126.912796
"중문향토오일시장 (3, 8일)",제주 서귀포시,제주특별자치도 서귀포시 천제연로188번길 12,33.2508555,126.4242065
서문공설시장,제주 제주시,제주특별자치도 제주시 서문로4길 13-2,33.5113829,126.5179733
제주 중앙지하상가,제주 제주시,제주특별자치도 제주시 중앙로 60,33.5128195,126.5245066
제주관광기념품장터,제주 제주시,제주특별자치도 제주시 서천길 24,33.5009443,126.5105893
바다잔치수산,제주 제주시,제주특별자치도 제주시 탑동로 77,33.5177907,126.5170267
한림공원 쌍용각,제주 제주시,제주특별자치도 제주시 한림읍 한림로 300,33.3894949,126.2396825
더 아일랜더,제주 제주시,제주특별자치도 제주시 중앙로7길 31,33.5149044,126.5281048
"표선 5일시장 (2, 7일)",제주 서귀포시,제주특별자치도 서귀포시 표선면 세성로 352-38,33.3359654,126.7985098
제주민속식품,제주 제주시,제주특별자치도 제주시 구좌읍 번영로 2178,33.4281022,126.7510394
제주칠성로상점가,제주 제주시,제주특별자치도 제주시 중앙로 20,33.5166598,126.5246265
중문농수산 / 중문농수산영농조합법인,제주 서귀포시,제주특별자치도 서귀포시 천제연로 355,33.2524077,126.4424968
야호농수산,제주 제주시,제주특별자치도 제주시 용해로 112,33.5075132,126.5046814
소심한 책방,제주 제주시,제주특별자치도 제주시 구좌읍 종달동길 29-6,33.4914883,126.9031146
제일토산품,제주 제주시,제주특별자치도 제주시 관덕로 24,33.5129763,126.5218541
동부농원,제주 서귀포시,제주특별자치도 서귀포시 성산읍 서성일로 1007,33.4429563,126.886143
삼다닷컴,제주 제주시,제주특별자치도 제주시 연삼로 295-1,33.4926275,126.5244661
"대정5일시장 (1, 6일)",제주 서귀포시,제주특별자치도 서귀포시 대정읍 신영로36번길 65,33.220516,126.2483125
자연이야기,제주 제주시,제주특별자치도 제주시 월랑로6길 21,33.4894714,126.4785643
사회복지법인 평화의마을,제주 서귀포시,제주특별자치도 서귀포시 대정읍 중산간서로 2195-12,33.2790874,126.292444
바당의물질,제주 제주시,제주특별자치도 제주시 임항로 49,33.5170003,126.5300573
나리농수산,제주 제주시,제주특별자치도 제주시 삼무로 72,33.4896241,126.4943162
