name,region,tel,keyword,photo
"장항장 (3, 8일)",충남 서천군,041-957-0435,"['가족여행', '나들이', '먹거리', '쇼핑', '시장맛집', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4a7f0e51-e969-4966-8c6f-d5ca5f17ae5a&thumb
농부마켓 & 농부밥상,충남 청양군,041-944-0900,"['농특산물', '로컬푸드', '쇼핑', '식당', '청양로컬푸드']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2da43257-2420-43e8-b9c0-1c6174183b6d&thumb
태안 서부시장,충남 태안군,041-672-2151,"['가족여행', '기차여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=f572a8d2-38b4-475d-94ca-4ff87e70902b&thumb
천안 중앙시장,충남 천안시,041-555-1136,"['가족여행', '기차여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fd6bb0db-8c97-45d6-9cfc-b1b2ca15b0f7&thumb
"아우내장 / 병천5일장 (1, 6일)",충남 천안시,041-521-2038,"['가족여행', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아우내장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=db35fe3c-4521-4e53-b943-dfc0f0f26dc9&thumb
"서천장 / 서천 수산물특화시장 (2, 7일)",충남 서천군,041-951-1445,"['가족여행', '기차여행', '나들이', '나홀로여행', '먹거리', '서천장', '서천특화시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=eb4cf255-7672-4545-8531-045033706e62&thumb
"부여장 (5, 10일) / 백마강달밤야시장",충남 부여군,041-837-0112,"['가족여행', '부여장', '사계절', '쇼핑', '시장맛집', '아이와함께', '어르신추천코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=87af0fa2-1192-4720-92d6-0f13a6287015&thumb
강경젓갈시장,충남 논산시,041-745-1985,"['가족여행', '강경젓갈시장', '기념품판매', '기차여행', '나들이', '나홀로여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fc1a1cd8-63dd-4eab-b55b-77238e89a06c&thumb
무창포 수산물시장,충남 보령시,041-934-8683,"['가족여행', '기차여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '무창포수산물시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bda80816-a720-4861-95fd-850b5b3759e1&thumb
서산동부시장,충남 서산시,041-665-5478,"['가족여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '서산동부시장', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=371205c2-c0d0-4d22-b6c7-baae0badab40&thumb
금산인삼약령시장,충남 금산군,041-750-2012,"['가족여행', '금산인삼약령시장', '나들이', '나홀로여행', '데이트코스', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=02fab1e7-b0a0-42c2-ad06-5f1ab204309f&thumb
온양온천시장,충남 아산시,041-534-2008,"['가족여행', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=57f96be7-5f76-465f-aa4b-b5afc4fc7fa3&thumb
부여 롯데아울렛,충남 부여군,041-435-2500,"['부여롯데아울렛', '쇼핑', '아울렛', '충청권']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=3140f65d-bbdd-4f88-a338-171df93b3dce&thumb
"성환장 (1, 6일) / 성환이화시장",충남 천안시,041-521-5158,"['가족여행', '기차여행', '나들이', '나홀로여행', '먹거리', '성환이화시장', '성환장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=94649c29-a4c9-4ed8-a81f-b02a370a8f3b&thumb
광천 토굴새우젓시장,충남 홍성군,041-630-1602,"['가족여행', '광천토굴새우젓시장', '기념품판매', '기차여행', '나들이', '나홀로여행']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=258f999c-e78f-44cf-a1aa-853e110d6a1c&thumb
온양도자기(인주면),충남 아산시,041-533-2477,"['그릇', '도자기', '쇼핑', '온양도자기', '충남아산']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4d6823e1-ba9b-4768-9934-e4714451cc7b&thumb
당진시 수산물 유통센터,충남 당진시,041-350-4271,"['가족여행', '기차여행', '나들이', '나홀로여행', '당진시수산물유통센터', '데이트코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=ed5dbc28-877d-4de8-8f19-10f600ae86ee&thumb
핫트랙스 (천안점),충남 천안시,041-558-9961,"['기프트아이템', '문구', '복합문화쇼핑공간', '쇼핑']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5bd2593b-cd0f-4ef5-a937-c3d17d010516&thumb
공주산성시장,충남 공주시,041-856-5427,"['가족과함께', '공주가볼만한곳', '공주당일코스', '공주맛집', '공주산성시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6780044f-4e39-4f4e-81b9-d947d2a356bf&thumb
부여 중앙시장,충남 부여군,041-835-7710,"['가족여행', '기차여행', '나들이', '나홀로여행', '데이트코스', '먹거리', '부여중앙시장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=5f263711-50c3-42df-9f84-0f7f866f75f2&thumb
"한산5일장 (1, 6일)",충남 서천군,070-4103-1651,"['가족여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=a3259bed-820c-4780-a4b1-3f5b348d3173&thumb
온양시장 (온양온천전통시장),충남 아산시,041-541-1189,"['가족여행', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2b000b82-29fc-4ffb-9f98-b674e14e6012&thumb
"예산 역전시장 (3, 8일)",충남 예산군,041-334-4220,"['가족여행', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=2ffa0185-8727-42e0-8752-d2eb16443b0c&thumb
"홍성장 (1, 6일)",충남 홍성군,041-635-2000,"['가족여행', '기차여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=88c5961d-81f2-46c3-a80b-12e2482b6b69&thumb
"당진장 (5, 10일)",충남 당진시,041-357-8483,"['가족여행', '당진장', '사계절', '쇼핑', '시장맛집', '아이와함께', '어르신추천코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=07c24538-85b1-4811-ac5e-bffd393634f4&thumb
전통예산옹기,충남 예산군,041-332-9888,"['문화행사', '쇼핑', '옹기', '체험학습장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=bb364e10-2510-4dc0-8534-9e1054fca5a5&thumb
금산국제인삼시장,충남 금산군,041-750-2114,"['가족여행', '금산인삼국제시장', '나들이', '나홀로여행', '데이트코스', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=7b31083b-9cc2-4746-a9c0-283f923281b8&thumb
"예산장 / 예산시장 (5, 10일)",충남 예산군,041-339-7253,"['가족여행', '나들이', '나홀로여행', '먹거리', '쇼핑', '시장맛집', '아이와함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=fa7b76bb-15bd-4017-95ff-9991a15d9860&thumb
"광천장 (4, 9일)",충남 홍성군,041-642-9671,"['가족여행', '광천장', '사계절', '쇼핑', '시장맛집', '아이와함께', '어르신추천코스']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=d47e1fb1-81ed-4cb0-abc0-f0bba1b1efbb&thumb
"판교장 (5, 10일)",충남 서천군,041-950-4124,"['가족여행', '나들이', '먹거리', '쇼핑', '시장맛집', '아이와함께', '연인과함께']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=32e5125c-ffe9-4752-9404-de05abf4ae60&thumb
"금산장 (2, 7일)",충남 금산군,041-751-3384,"['금산장', '사계절', '쇼핑', '아이와함께', '재래시장', '전통시장', '전통시장투어']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=6b8bb204-603d-45b8-af25-4f8246c1c0b7&thumb
대현수산,충남 당진시,041-353-6265,"['당진', '쇼핑', '수산물', '직판장']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=4792f4c7-996c-44c0-81df-50d9892016a8&thumb
"덕산장 / 덕산시장 (4, 9일)",충남 예산군,041-339-7253,"['가족여행', '기차여행', '나들이', '나홀로여행', '덕산시장', '덕산장', '먹거리']",https://cdn.visitkorea.or.kr/img/call?cmd=VIEW&id=45037305-8fbc-4246-9389-70342c001ba7&thumb
