name,region,address,lat,lon
"장항장 (3, 8일)",충남 서천군,충청남도 서천군 장항읍 성화로 104,36.01556066,126.6945719
농부마켓 & 농부밥상,충남 청양군,충청남도 청양군 대치면 칠갑산로 704-18,36.43849954,126.8493865
태안 서부시장,충남 태안군,충청남도 태안군 태안읍 시장1길 34,36.75343747,126.2961806
천안 중앙시장,충남 천안시,충청남도 천안시 동남구 사직로 7,36.80072079,127.1493019
"아우내장 / 병천5일장 (1, 6일)",충남 천안시,충청남도 천안시 동남구 병천면 아우내2길 20-3,36.76329257,127.2985001
"서천장 / 서천 수산물특화시장 (2, 7일)",충남 서천군,충청남도 서천군 서천읍 충절로 42,36.07502119,126.6868202
"부여장 (5, 10일) / 백마강달밤야시장",충남 부여군,충청남도 부여군 부여읍 성왕로173번길 12,36.28149441,126.9075581
강경젓갈시장,충남 논산시,충청남도 논산시 강경읍 옥녀봉로27번길 30-3,36.16074568,127.0146422
무창포 수산물시장,충남 보령시,충청남도 보령시 웅천읍 열린바다2길 46,36.24844475,126.5370371
서산동부시장,충남 서산시,충청남도 서산시 시장3길 5-6,36.78261626,126.4556103
금산인삼약령시장,충남 금산군,충청남도 금산군 금산읍 인삼약초로 24,36.10010156,127.4964497
온양온천시장,충남 아산시,충청남도 아산시 시장길 29,36.7832919,127.0042322
부여 롯데아울렛,충남 부여군,충청남도 부여군 규암면 백제문로 387,36.30721422,126.9019655
"성환장 (1, 6일) / 성환이화시장",충남 천안시,충청남도 천안시 서북구 성환읍 성환시장길 12,36.9185394,127.1300316
광천 토굴새우젓시장,충남 홍성군,충청남도 홍성군 광천읍 광천로299번길 36,36.50094023,126.6243645
온양도자기(인주면),충남 아산시,충청남도 아산시 인주면 현대로 984,36.84242809,126.8812561
당진시 수산물 유통센터,충남 당진시,충청남도 당진시 석문면 장고항로 334-48,37.03518716,126.5589845
핫트랙스 (천안점),충남 천안시,충청남도 천안시 동남구 만남로 43,36.81933021,127.1578465
공주산성시장,충남 공주시,충청남도 공주시 용당길 22,36.45881772,127.1226143
"한산5일장 (1, 6일)",충남 서천군,충청남도 서천군 한산면 충절로1173번길 21-1,36.08447954,126.8044249
부여 중앙시장,충남 부여군,충청남도 부여군 부여읍 중앙로 15,36.28079731,126.9121738
온양시장 (온양온천전통시장),충남 아산시,충청남도 아산시 시장길 13,36.7835823,127.0021474
"예산 역전시장 (3, 8일)",충남 예산군,충청남도 예산군 예산읍 역전로 84,36.68702514,126.829854
"홍성장 (1, 6일)",충남 홍성군,충청남도 홍성군 홍북면 충남대로 21,36.65899261,126.6728036
금산국제인삼시장,충남 금산군,충청남도 금산군 금산읍 인삼약초로 45,36.10191794,127.4983403
"당진장 (5, 10일)",충남 당진시,충청남도 당진시 당진시장길 99,36.8904573,126.629377
전통예산옹기,충남 예산군,충청남도 예산군 오가면 오촌중앙길 106,36.715984,126.8027518
"예산장 / 예산시장 (5, 10일)",충남 예산군,충청남도 예산군 예산읍 형제고개로 967,36.67723471,126.8494508
"광천장 (4, 9일)",충남 홍성군,충청남도 홍성군 광천읍 광천로285번길 8-20,36.50077045,126.6249353
"판교장 (5, 10일)",충남 서천군,충청남도 서천군 판교면 현암리,36.1566488,126.6879086
"금산장 (2, 7일)",충남 금산군,충청남도 금산군 금산읍 건삼전길 11,36.09998743,127.4904622
대현수산,충남 당진시,충청남도 당진시 석문면 대호만로 2888-14,37.02118498,126.4623744
"덕산장 / 덕산시장 (4, 9일)",충남 예산군,충청남도 예산군 덕산면 읍내북문길 14,36.70513398,126.6680814
"정산장 (5, 10일)",충남 청양군,충청남도 예산군 덕산면 읍내북문길 14,36.70513398,126.6680814
"청양장 (2, 7일)",충남 청양군,충청남도 청양군 청양읍 칠갑산로4길 6,36.45057688,126.8011803
갤러리아 백화점 (센터시티점),충남 천안시,충청남도 천안시 서북구 공원로 227,36.80056402,127.1047263
"합덕장 (버그내장) (1, 6일)",충남 당진시,충청남도 당진시 합덕읍 버그내2길 128-25,36.8063422,126.7725834
온양도자기,충남 아산시,충청남도 아산시 신창면 서부남로 559,36.79222618,126.9187534
"비인장 (4, 9일)",충남 서천군,충청남도 서천군 비인면 비인로149번길 12,36.13941303,126.6037887
해옥 공예사,충남 태안군,충청남도 태안군 소원면 파도길 75,36.73786078,126.1354632
