name,region,address,lat,lon
"단양장 / 단양구경시장 (1, 6일)",충북 단양군,충청북도 단양군 단양읍 도전5길 31,36.98249125,128.3699808
"괴산장 / 괴산산막이시장 (3, 8일)",충북 괴산군,충청북도 괴산군 괴산읍 읍내로15길 8-8,36.81121857,127.7950238
숲속작은책방,충북 괴산군,충청북도 괴산군 칠성면 명태재로미루길 90,36.76739515,127.8301572
청주 육거리종합시장,충북 청주시,충청북도 청주시 상당구 청남로2197번길 46,36.62780211,127.4882655
"충주 민속5일장 / 풍물시장 (5, 10일)",충북 충주시,충청북도 충주시 충인1길 22,36.97556884,127.9295483
"진천장 (5, 10일)",충북 진천군,충청북도 진천군 진천읍 남산10길 27,36.8569511,127.4475257
충주 자유시장,충북 충주시,충청북도 충주시 자유시장길 30,36.97326258,127.9322044
복드림 도깨비방망이,충북 제천시,충청북도 제천시 백운면 금봉로 142,37.14487662,128.0368342
제천 중앙시장,충북 제천시,충청북도 제천시 풍양로 108,37.13662753,128.2113
"평동장 (4, 9일)",충북 단양군,충청북도 단양군 매포읍 평동3로 6,37.03459854,128.2990017
증평대장간,충북 증평군,충청북도 증평군 증평읍 중앙로8길 17-1,36.78378199,127.5834027
청주 지웰시티몰 II,충북 청주시,충청북도 청주시 흥덕구 대농로 47-1,36.64333968,127.427835
가경 터미널시장,충북 청주시,충청북도 청주시 흥덕구 가경로149번길 24-2,36.62787346,127.4358722
"보은장, 보은전통시장 (1, 6일)",충북 보은군,충청북도 보은군 보은읍 삼산로 50,36.48358623,127.7169679
중원면세점,충북 청주시,충청북도 청주시 청원구 충청대로 114,36.6665608,127.4944953
제천 역전한마음시장,충북 제천시,충청북도 제천시 내토로28길 3-1,37.1294558,128.2069088
증평 장뜰시장,충북 증평군,충청북도 증평군 증평읍 장뜰로 58-1,36.78339213,127.5829505
"옥천장 (5, 10일)",충북 옥천군,충청북도 옥천군 옥천읍 삼금로 45,36.30239214,127.568213
충주 무학시장,충북 충주시,충청북도 충주시 무학1길 15,36.97473821,127.9268217
"음성장 (2, 7일)",충북 음성군,충청북도 음성군 음성읍 시장로117번길 6,36.9377006,127.6907548
청주 성안길,충북 청주시,충청북도 청주시 상당구 상당로59번길 59,36.6335138,127.4873024
생거진천 전통시장,충북 진천군,충청북도 진천군 진천읍 원덕로 390,36.86070802,127.4513239
옹기공방,충북 영동군,충청북도 영동군 영동읍 임계길 240-27,36.16691211,127.8470709
임페리얼,충북 청주시,충청북도 청주시 흥덕구 2순환로 1233,36.62621749,127.4311326
"영동장 (4, 9일)",충북 영동군,충청북도 영동군 영동읍 영동시장2길 10-1,36.17521107,127.7756349
제천몰 / 제천한방클러스터,충북 제천시,충청북도 제천시 의병대로 82,37.13600039,128.2098398
진천 중앙시장,충북 진천군,충청북도 진천군 진천읍 중앙서로 29-1,36.85703982,127.4423169
대현프리몰 청주점,충북 청주시,충청북도 청주시 상당구 사직대로 지하 316,36.63698111,127.4891188
"오창장 (3, 8일)",충북 청주시,충청북도 청주시 청원구 오창읍 화복로 433-3,36.74265696,127.4558762
"청천푸른내시장 / 괴산전통시장 (1일, 6일)",충북 괴산군,충청북도 괴산군 청천면 청천3길 9-3,36.65935719,127.7373719
"용산장 (5, 10일)",충북 영동군,충청북도 영동군 용산면 용산로 338,36.26070039,127.8290096
"영춘장 (3, 8일)",충북 단양군,충북 단양군 영춘면 상리 409-1,37.07827619,128.4837205
"광혜원장 (3, 8일)",충북 진천군,충청북도 진천군 광혜원면 장기1안길 16,36.9889267,127.4453662
"무극장 / 무극시장 (5, 10일)",충북 음성군,충청북도 음성군 금왕읍 무극로308번길 12-2,36.99267767,127.5960038
충주공설시장,충북 충주시,충청북도 충주시 충인8길 4-2,36.97494061,127.9288134
"옥산장 (3, 8일)",충북 청주시,충북 청주시 흥덕구 옥산면 오산리,36.66371297,127.3704378
도예공방 필,충북 충주시,충청북도 충주시 연원5길 26,36.98356206,127.931309
"관터장 (관기재래시장) (4, 9일)",충북 보은군,충청북도 보은군 마로면 관기3길 6-7,36.43524313,127.8175961
증평 인삼관광휴게소,충북 증평군,충청북도 증평군 증평읍 중부로 2451,36.79588146,127.5817602
제천 약초시장,충북 제천시,충청북도 제천시 원화산로 121,37.12788906,128.2195912
"감곡장 / 감곡시장 (3, 8일)",충북 음성군,충청북도 음성군 감곡면 장감로132번길 22,37.11822939,127.6391738
"추풍령장 (3, 8일)",충북 영동군,충청북도 영동군 추풍령면 추풍령로5길 8-4,36.2114467,127.9999378
일중요 (밤골도예),충북 충주시,충청북도 충주시 앙성면 앙암로 471-17,37.14440824,127.7388379
충인시장,충북 충주시,충청북도 충주시 충인6길 16,36.9739313,127.9306713
"미원장 (4, 9일)",충북 청주시,충청북도 청주시 상당구 미원면 미원시내2길 14-22,36.63281672,127.6546569
"삼성시장 / 모란장 (1, 6일)",충북 음성군,충청북도 음성군 삼성면 대성로 615,37.0185166,127.4982432
"목도장 / 목도시장(4, 9일)",충북 괴산군,충청북도 괴산군 불정면 목도로2길 10,36.87149484,127.8532839
운봉서각공방 (현도공방),충북 보은군,충청북도 보은군 장안면 속리산로 127,36.49328126,127.7661976
삼화대장간,충북 충주시,충청북도 충주시 충인1길 12,36.97534464,127.9290319
용창 목공예,충북 청주시,충청북도 청주시 상당구 낭성면 관정1길 10,36.61089964,127.629704
