name,region,address,lat,lon
(구)태백등기소,강원 태백시,강원도 태백시 하장성 1길 14,37.1026154,129.0209725
365세이프타운,강원 태백시,강원도 태백시 평화길 15,37.1004919,129.0242694
38평화마을,강원 양양군,강원도 양양군 현북면 쟁기동길 78-1,38.0000925,128.7252592
38해변,강원 양양군,강원도 양양군 현북면 기사문길 29,38.0077853,128.7300437
643고지전투전적비,강원 화천군,강원도 화천군 화천읍 동촌리,38.1595324,127.8274425
88공원,강원 화천군,강원도 화천군 간동면 어룡동길 42-50,38.0967406,127.7639242
DMZ 생태평화공원,강원 철원군,강원도 철원군 김화읍 생창길 481-1,38.2810896,127.4512843
DMZ 안보견학,강원 철원군,강원도 철원군 동송읍 태봉로 1825,38.1865639,127.2874501
DMZ산림두드림센터,강원 양구군,강원도 양구군 양구읍 박수근로 367,38.1009086,127.9815496
DMZ펀치볼둘레길,강원 양구군,강원도 양구군 해안면 후리 621번지,38.3264403,128.1429725
MS 빌리지 (푸른계곡 관광농원),강원 양양군,강원도 양양군 서면 관대문길 31,38.0749522,128.4969216
가령폭포,강원 홍천군,강원 홍천군 내촌면 와야리,37.8207103,128.1565571
가리산(홍천),강원 홍천군,강원도 홍천군 두촌면 가리산길 260-9,37.8543375,127.9986807
가리산자연휴양림,강원 홍천군,강원도 홍천군 두촌면 가리산길 426,37.865235,127.9824687
가리왕산,강원 정선군,강원도 정선군 정선읍 가리왕산로 707,37.4222352,128.5753619
가산공원,강원 평창군,강원도 평창군 봉평면 창동리 544,37.6124893,128.3700337
가시오가피마을 홍보관,강원 삼척시,강원도 삼척시 노곡면 문의재로 2470,37.2665305,129.1792253
가야동계곡,강원 인제군,강원도 인제군 북면 용대리,38.1889599,128.3620908
가원습지 생태자연공원,강원 동해시,강원도 동해시 지가길 100,37.4720361,129.1090829
가족올래 하추리마을,강원 인제군,강원도 인제군 인제읍 하추로 187,38.0196511,128.2816555
가진항,강원 고성군,강원도 고성군 죽왕면,38.3288177,128.5255585
가진해변,강원 고성군,강원도 고성군 죽왕면 가진해변길,38.3714732,128.5069053
가칠봉 지구전투전적지,강원 양구군,강원도 양구군 해안면,38.2851823,128.1372421
간성향교,강원 고성군,강원도 고성군 간성읍 진부령로 2659,38.3243006,128.3894987
간현관광지,강원 원주시,강원도 원주시 지정면 소금산길 26,37.3650197,127.8322846
갈골한과마을 명인의 집,강원 강릉시,강원도 강릉시 사천면 중앙서로 62,37.8245117,128.8432331
갈남항,강원 삼척시,강원도 삼척시 원덕읍 갈남리,37.262955,129.3208155
갈천계곡,강원 양양군,강원도 양양군 서면 갈천리,37.9084594,128.5092155
갈천약수터,강원 양양군,강원도 양양군 서면 구룡령로 1103-66,37.9612452,128.525577
감성마을 이외수 문학관,강원 화천군,강원도 화천군 상서면 감성마을길 157,38.1665469,127.5163002
감악산(원주),강원 원주시,강원도 원주시 신림면 황둔리,37.2529865,128.1580041
감자꽃 스튜디오,강원 평창군,강원도 평창군 평창읍 고길천로 105,37.3686001,128.438637
감추사,강원 동해시,강원도 동해시 대동로 210,37.492385,129.1337869
감추해변,강원 동해시,강원도 동해시 해안로 120,37.5146823,129.1265137
강릉 경포대,강원 강릉시,강원도 강릉시 경포로 365,37.7950754,128.896598
강릉 경포해수욕장,강원 강릉시,강원도 강릉시 창해로 514,37.8057795,128.9074169
강릉 구라미온천,강원 강릉시,강원도 강릉시 사천면 구라미등길 25-15,37.8435412,128.8396741
강릉 굴산사지,강원 강릉시,강원도 강릉시 구정면 학산리,37.7088188,128.890621
