No,name,region,address,경도,위도,상태
1,화담숲,경기 광주시,경기도 광주시 도척면 도척윗로 278-1,127.289423064885,37.3407648266422,정좌표
2,포천아트밸리와 포천석 (한탄강 국가지질공원),경기 포천시,경기도 포천시 신북면 아트밸리로 234,127.236353725994,37.9230494641938,정좌표
3,헤이리 예술마을,경기 파주시,경기도 파주시 탄현면 헤이리마을길 82-105,126.703887345964,37.7883898239636,정좌표
4,파주 임진각(평화누리공원),경기 파주시,경기도 파주시 문산읍 임진각로 177,126.740185301608,37.8895384825283,정좌표
5,시흥 갯골생태공원,경기 시흥시,경기도 시흥시 동서로 287,126.778931567504,37.3924965413984,정좌표
6,아침고요수목원,경기 가평군,경기도 가평군 상면 수목원로 432,127.352532707489,37.7439493276886,정좌표
7,안성팜랜드,경기 안성시,경기도 안성시 공도읍 대신두길 28,127.19480675379,36.9903128963752,정좌표
9,잣향기푸른숲,경기 가평군,경기도 가평군 상면 축령로 289-146,127.331744437579,37.7658001095902,정좌표
10,동두천자연휴양림,경기 동두천시,경기도 동두천시 탑동가산로 1,127.137044609473,37.8906830348891,정좌표
11,남양주 물의정원,경기 남양주시,경기도 남양주시 조안면 북한강로 398,127.313216736528,37.5575039117708,정좌표
13,퍼스트가든,경기 파주시,경기도 파주시 탑삭골길 260,126.794347194496,37.7331831362936,정좌표
14,행주산성,경기 고양시,경기도 고양시 덕양구 행주로15번길 89,126.828812981358,37.5953983104242,정좌표
15,곤지암리조트 힐링캠퍼스,경기 광주시,경기도 광주시 도척면 도척윗로 278,127.29343490253,37.3369646093215,정좌표
16,오이도,경기 시흥시,경기도 시흥시 오이도로 175,126.687935393721,37.3452735414878,정좌표
17,감악산 출렁다리,경기 파주시,경기도 파주시 적성면 설마리 48-6,126.943633520496,37.9391763732615,정좌표
18,화성행궁,경기 수원시,경기도 수원시 팔달구 정조로 825,127.014567405325,37.2820917996285,정좌표
19,설봉공원,경기 이천시,경기도 이천시 경충대로2709번길 152,127.426318439706,37.2788817244061,정좌표
20,파주DMZ,경기 파주시,경기도 파주시 문산읍 임진각로 148-53,126.740376597086,37.8904286567608,정좌표
21,동탄호수공원,경기 화성시,경기도 화성시 동탄순환대로 67,127.104645129313,37.1681977353032,정좌표
22,마장호수,경기 파주시,경기도 파주시 광탄면 기산로 365,126.932732145023,37.7747633886786,정좌표
23,쁘띠프랑스,경기 가평군,경기도 가평군 청평면 호반로 1063,127.490556367224,37.716089827153,정좌표
24,포천 허브아일랜드,경기 포천시,경기도 포천시 신북면 청신로947번길 35,127.13279127128,37.967722837837,정좌표
25,방화수류정(동북각루),경기 수원시,경기도 수원시 팔달구 정조로 910,127.014073800167,37.2890124551872,정좌표
26,포천 한탄강 하늘다리,경기 포천시,경기도 포천시 영북면 비둘기낭길 207,127.218746247384,38.0839131854379,정좌표
27,국립수목원(광릉숲),경기 포천시,경기도 포천시 소흘읍 광릉수목원로 415,127.163672156763,37.748596725069,정좌표
28,에버랜드,경기 용인시,경기도 용인시 처인구 포곡읍 에버랜드로 199,127.212836362163,37.2897583673851,정좌표
30,오두산 통일전망대,경기 파주시,경기도 파주시 탄현면 필승로 369,126.677089272203,37.7730683584441,정좌표
31,수원 화성 [유네스코 세계문화유산],경기 수원시,경기도 수원시 장안구 수성로 320,127.00727602835,37.2917977703938,정좌표
32,대부도 바다향기 수목원,경기 안산시,경기도 안산시 단원구 대부황금로 399,126.648626738796,37.2243044263859,정좌표
33,풍도,경기 안산시,경기도 안산시 단원구 풍도길 28,126.393421906781,37.1108743270141,정좌표
34,율암온천숯가마 테마파크,경기 화성시,경기도 화성시 팔탄면 온천로 434-14,126.882716429593,37.1523222474352,정좌표
35,벽초지수목원,경기 파주시,경기도 파주시 광탄면 부흥로 242,126.873834765338,37.8005095397983,정좌표
36,한국민속촌,경기 용인시,경기도 용인시 기흥구 민속촌로 90,127.120914537869,37.2573998709147,정좌표
37,선인장다육식물연구소(구 선인장연구소),경기 고양시,경기도 고양시 일산서구 송산로 464-52,126.731253496362,37.6855045331788,정좌표
38,남한산성도립공원 [유네스코 세계문화유산],경기 광주시,경기도 광주시 남한산성면 남한산성로 731,127.188242396916,37.4763552969621,정좌표
39,광명동굴,경기 광명시,경기도 광명시 가학로85번길 142,126.863954624231,37.4257818186894,정좌표
40,한택식물원,경기 용인시,경기도 용인시 처인구 백암면 한택로 2,127.407652786547,37.0951964865194,정좌표
41,이천 부래미마을,경기 이천시,경기도 이천시 율면 금율로640번길 177,127.547422837599,37.0587341089296,정좌표
42,신북리조트 스프링폴,경기 포천시,경기도 포천시 신북면 청신로 571,127.104380925701,37.9742652943002,정좌표
43,어비계곡,경기 가평군,경기도 가평군 설악면 어비산길99번길 9-10,127.503488484236,37.5989572632996,정좌표
44,마장호수 출렁다리,경기 파주시,경기도 파주시 광탄면 기산로 313,126.927188547049,37.7748796994967,정좌표
