name,region,address,lat,lon
LH 토지주택박물관,경남 진주시,경상남도 진주시 충의로 19,35.1785185,128.1463982
가고파 꼬부랑길 벽화마을,경남 창원시,경상남도 창원시 마산합포구 성호서7길 15-8,35.2077494,128.5696471
가라산,경남 거제시,경상남도 거제시 남부면 다대리,34.7468501,128.6297621
가뫼골마을,경남 진주시,경상남도 진주시 명석면 관덕길 174,35.2586428,128.0324095
가배량성,경남 거제시,경상남도 거제시 동부면 가배리,34.772718,128.5596687
가선정,경남 거창군,경상남도 거창군 북상면 송계로 731-42,35.7790316,127.8159141
가섭암지 마애여래삼존입상,경남 거창군,경상남도 거창군 위천면 상천리,35.7303489,127.7929043
가야산 소리길,경남 합천군,경상남도 합천군 가야면 가야산로 1783,35.7911008,128.0908755
가야산국립공원,경남 합천군,경상남도 합천군 가야면 가야산로 1200,35.7678166,128.1324164
"가야산국립공원(홍류동,청량동지구)",경남 합천군,경상남도 합천군 가야면 가야산로 1200,35.7678166,128.1324164
가야의 거리,경남 김해시,경상남도 김해시 봉황동,35.2287539,128.876911
가야진사,경남 양산시,경상남도 양산시 원동면 용당들길 43-62,35.3677289,128.9023566
가조 백두산천지온천,경남 거창군,경상남도 거창군 가조면 온천길 161,35.6984525,128.0229597
가지산도립공원(밀양),경남 밀양시,경상남도 밀양시 산내면 삼양리,35.5962414,128.9811468
가천 다랭이마을,경남 남해군,경남 남해군 남면 홍현리 남면로 679번길 21,34.7275136,127.8940684
가호서원,경남 진주시,경상남도 진주시 이반성면 용암길 59-2,35.1667272,128.3325054
각사산촌행태체험마을,경남 합천군,경상남도 합천군 가야면 야천로 101,35.7723585,128.1398093
각산,경남 사천시,경상남도 사천시 수도골안길 24,34.9395168,128.075028
갈계리삼층석탑,경남 거창군,경상남도 거창군 북상면 갈계리,35.7935113,127.8149498
갈계숲,경남 거창군,경상남도 거창군 북상면 묵계길 44-4,35.7817366,127.8183204
갈모봉 산림욕장,경남 고성군,경상남도 고성군 고성읍 이당리,34.9781602,128.2727529
갈천서당,경남 거창군,경상남도 거창군 북상면 송계로 767-34,35.7807533,127.815992
갈천서원,경남 고성군,경상남도 고성군 대가면 갈천로 620,35.047851,128.2509376
감악산(거창),경남 거창군,경상남도 거창군 남상면 무촌리,35.6335662,127.9103388
감암산,경남 합천군,경상남도 합천군 가회면 대기2길,35.462849,127.9984328
강구안,경남 통영시,경상남도 통영시 중앙동,34.8465818,128.4269332
강양향교,경남 합천군,경상남도 합천군 합천읍 충효로1길 5-14,35.563531,128.1613073
강주연못,경남 진주시,경상남도 진주시 정촌면 예하리,35.1205292,128.1002615
개평한옥마을,경남 함양군,경상남도 함양군 지곡면 개평길 59,35.5656633,127.7673255
거가대교,경남 거제시,경상남도 거제시 장목면 유호리,35.023595,128.7130773
거류산&거류산성,경남 고성군,경상남도 고성군 거류면 거산리,35.0104942,128.3646395
거림계곡,경남 산청군,경상남도 산청군 시천면 세석길,35.2843778,127.7258728
거열산성군립공원,경남 거창군,경상남도 거창군 거창읍 거안로 1173-47,35.6927816,127.8785935
거제 계도어촌체험마을,경남 거제시,경상남도 거제시 사등면 가조로 837,34.9748638,128.5175347
거제 관광모노레일,경남 거제시,경상남도 거제시 계룡로 61,34.8765244,128.6244494
거제 구조라관광어촌마을,경남 거제시,경상남도 거제시 일운면 구조라로4길 3-1,34.8052923,128.6944706
거제 대우조선해양 옥포조선소,경남 거제시,경상남도 거제시 거제대로 3370,34.8753569,128.6898688
거제 둔덕기성.사등성지.오량성,경남 거제시,경상남도 거제시 둔덕면 거림리,34.8606417,128.5050623
거제 명진리 느티나무,경남 거제시,경상남도 거제시 거제면 명진리 220,34.84512,128.6115073
거제 쌍근어촌체험마을,경남 거제시,경상남도 거제시 남부면 남부해안로 1094,34.7624057,128.5894745
거제 알로에테마파크,경남 거제시,경상남도 거제시 거제면 거제남서로 3937,34.8417241,128.5604586
거제 어구낚시마을,경남 거제시,경상남도 거제시 둔덕면 어구길 2-3,34.8206153,128.5061036
거제 외간리 동백나무,경남 거제시,경상남도 거제시 거제면 외간1길 52,34.860879,128.5730899
거제 학동리 동백나무 숲 및 팔색조 번식지,경남 거제시,경남 거제시 동부면 학동리,34.773122,128.6345503
거제대교,경남 거제시,경상남도 거제시 사등면 덕호리,34.8812329,128.4817992
거제도,경남 거제시,경상남도 거제시 거제면 거제도,34.8509916,128.5903982
거제도 포로수용소 유적공원,경남 거제시,경상남도 거제시 계룡로 61,34.8765244,128.6244494
거제도 해금강,경남 거제시,경상남도 거제시 남부면 갈곶리,34.7473193,128.6435177
거제도해수보양온천,경남 거제시,경상남도 거제시 수양로 507,34.8916555,128.6345165
거제맹종죽테마공원,경남 거제시,경상남도 거제시 하청면 거제북로 700,34.9656044,128.6547548
거제생태문화탐방로(천주교순례길)1,경남 거제시,경상남도 거제시 일운면 와현리 예구선착장,34.8117936,128.7047599
거제생태탐방로(양지암등대길),경남 거제시,경상남도 거제시 일운면 와현리 예구선착장,34.8117936,128.7047599
거제시농업개발원,경남 거제시,경상남도 거제시 거제면 거제남서로 3577,34.8564049,128.5792114
거제자연예술랜드,경남 거제시,경남 거제시 동부면 구천리,34.8081048,128.6340293
거제자연휴양림,경남 거제시,경상남도 거제시 동부면 거제중앙로 325,34.7856971,128.625968
거제정글돔,경남 거제시,경상남도 거제시 거제면 거제남서로 3595,34.8579041,128.5790021
거제향교,경남 거제시,경상남도 거제시 거제면 기성로7길 10,34.8524296,128.5898555
거제현 관아,경남 거제시,경상남도 거제시 거제면 읍내로2길 22,34.8509189,128.5909437
거창 Y자형 출렁다리,경남 거창군,경상남도 거창군 가조면 의상봉길 830,35.7366408,128.0409598
거창 갈계리 임씨고가,경남 거창군,경상남도 거창군 북상면 샘골길 6,35.7803329,127.8187274
거창 감악사지 부도,경남 거창군,경상남도 거창군 신원면,35.567741,127.925164
거창 강남사지 석조여래입상,경남 거창군,경상남도 거창군 위천면 강남불1길 23-55,35.7405564,127.8157197
거창 거기리 성황단,경남 거창군,경상남도 거창군 주상면 거기리,35.7474882,127.9511203
거창 내오리 지석묘,경남 거창군,경상남도 거창군 주상면 내오리,35.780066,127.8932495
거창 농산리 석조여래입상,경남 거창군,경상남도 거창군 북상면 농산리,35.7732655,127.807218
거창 당동당산,경남 거창군,경상남도 거창군 가조면 장군봉1길 439-42,35.7176648,128.012563
거창 동계 종택(정온선생고택),경남 거창군,경상남도 거창군 위천면 강동1길 13,35.755183,127.8288039
거창 동호리 이씨고가,경남 거창군,경상남도 거창군 웅양면 동호1길 217,35.7990586,127.9273434
거창 둔마리 벽화 고분,경남 거창군,경상남도 거창군 남하면 대촌1길,35.7152181,127.9646676
거창 무릉리 정씨고가,경남 거창군,경상남도 거창군 남하면 무릉3길 19-16,35.6641548,127.9459699
거창 서변마을,경남 거창군,경상남도 거창군 거창읍 모곡2길 22,35.7151327,127.9170504
거창 솔향기돌담마을,경남 거창군,경상남도 거창군 웅양면 동호3길 20,35.7986426,127.9250901
거창 수승대,경남 거창군,경상남도 거창군 위천면 은하리길 2,35.7610682,127.8335222
거창 요수정,경남 거창군,경상남도 거창군 위천면 은하리길 100,35.7627086,127.8309033
거창 황금원숭이마을,경남 거창군,경상남도 거창군 위천면 상천길 50-159,35.7475876,127.8190836
거창 황산리 신씨고가,경남 거창군,경상남도 거창군 위천면 황산1길 109-5,35.7630354,127.8370912
거창 황산마을 옛 담장,경남 거창군,경상남도 거창군 위천면 황산1길 109-5,35.7630354,127.8370912
거창사건추모공원,경남 거창군,경상남도 거창군 신원면 신차로 2924,35.5555309,127.9260956
거창향교,경남 거창군,경상남도 거창군 거창읍 성산길 34,35.6926431,127.9038345
건계정,경남 거창군,경상남도 거창군 거창읍 거안로 1173-21,35.6926306,127.8790446
경남 하동 악양 [슬로시티],경남 하동군,경상남도 하동군 악양면 악양서로 357,35.1623104,127.7089189
경백사,경남 사천시,경상남도 사천시 용현면 온정2길 42,35.0283367,128.0578935
경상남도수목원,경남 진주시,경상남도 진주시 이반성면 수목원로 386,35.15928,128.2928355
경충사(정기룡장군유허지),경남 하동군,경상남도 하동군 금남면 경충로 503-14,34.9837156,127.8954745
경호강,경남 산청군,경상남도 산청군 산청읍 산청대로,35.4140121,127.8881042
경화역 벚꽃길,경남 창원시,경상남도 창원시 진해구 진해대로 649,35.1279791,128.7449228
계룡산,경남 거제시,경상남도 거제시 신현읍,34.8824091,128.6231029
계룡산 온천,경남 거제시,경상남도 거제시 거제중앙로 1779-1,34.8776215,128.6282862
계승사(고성),경남 고성군,경상남도 고성군 영현면 대법3길 236,35.0529506,128.2241778
계원사(양산),경남 양산시,경상남도 양산시 중앙우회로 66-64,35.3409546,129.0442985
고견사(거창),경남 거창군,경상남도 거창군 가조면 의상봉길 1049,35.7456062,128.0393314
고려동유적지,경남 함안군,경상남도 함안군 산인면 모곡2길 53,35.2763872,128.4599687
고성 덕명리 공룡과 새발자국 화석 산지,경남 고성군,경상남도 고성군 하이면 덕명5길 65,34.9089933,128.1547574
고성 송학동 고분군,경남 고성군,경상남도 고성군 고성읍 송학고분로,34.9802732,128.30798
고성 자란만,경남 고성군,경상남도 고성군 하일면 용태1길,34.9416179,128.2104312
고성 학동마을 옛 담장,경남 고성군,경상남도 고성군 하일면 학동돌담길 11-5,34.9490073,128.1923585
고성유람선,경남 고성군,경상남도 고성군 고성읍 공룡로 3083,34.9574403,128.3226103
고성장산리허씨고가,경남 고성군,경상남도 고성군 마암면 장산길 21,35.0601771,128.3241058
고성향교,경남 고성군,경상남도 고성군 고성읍 교사3길 41,34.9760374,128.3090928
