name,region,address,Latitude,Longitude
경주 동궁과 월지,경북 경주시,경상북도 경주시 원화로 102,35.8341593,129.2265835
부석사[유네스코 세계문화유산],경북 영주시,경상북도 영주시 부석면 부석사로 345,36.9979242,128.6872054
하옥계곡,경북 포항시,경상북도 포항시 북구 죽장면,36.1601899,129.0957447
월영교,경북 안동시,경상북도 안동시 상아동,36.5782802,128.7509122
진남교반,경북 문경시,경상북도 문경시 마성면 신현리,36.6640577,128.1222816
낙강물길공원,경북 안동시,경상북도 안동시 상아동,36.5782802,128.7509122
오어사(포항),경북 포항시,경상북도 포항시 남구 오천읍 오어로 1,35.9263386,129.3689191
등기산스카이워크,경북 울진군,경상북도 울진군 후포면,36.6784446,129.4392632
삼사해상공원 (삼사해상산책로),경북 영덕군,경상북도 영덕군 강구면 해상공원길 120-7,36.3517649,129.3840016
경주 보문관광단지,경북 경주시,경상북도 경주시 신평동,35.8411954,129.2924371
국립백두대간수목원,경북 봉화군,경상북도 봉화군 춘양면 춘양로 1501,37.006419,128.833624
경주 불국사 [유네스코 세계문화유산],경북 경주시,경상북도 경주시 불국로 385,35.7896342,129.3313315
경주 대릉원 일원,경북 경주시,경상북도 경주시 계림로 9,35.8373569,129.2130064
경주 첨성대,경북 경주시,경상북도 경주시 첨성로 140-25,35.8345132,129.2183721
안동 하회마을 [유네스코 세계문화유산],경북 안동시,경상북도 안동시 풍천면 하회리 1176-1,36.5388802,128.5172714
경주월드 어뮤즈먼트,경북 경주시,경상북도 경주시 보문로 544,35.8371154,129.2822785
호미곶 해맞이광장,경북 포항시,경상북도 포항시 남구 호미곶면 해맞이로150번길 20,36.077694,129.5685015
벌영리 메타세콰이어길,경북 영덕군,경상북도 영덕군 영해면,36.5374936,129.4071538
성주 경산리 성밖숲,경북 성주군,경상북도 성주군 성주읍 경산리,35.9172647,128.2836173
울릉도,경북 울릉도,경상북도 울릉군 서면 태하길 236,37.5167755,130.7976894
덕구온천스파월드,경북 울진군,경상북도 울진군 북면 덕구온천로 924,37.0787343,129.2842909
가실성당,경북 칠곡군,경상북도 칠곡군 왜관읍 가실1길 1,35.9367221,128.4052588
경주 교촌마을,경북 경주시,경상북도 경주시 교촌길 39-2,35.8295398,129.2148298
울진 해안도로,경북 울진군,경상북도 울진군 근남면 망양정로 971,36.9641864,129.4143175
경주 양동마을 [유네스코 세계문화유산],경북 경주시,경상북도 경주시 강동면 양동마을길 93,36.0015163,129.2526349
낙동강 경천대(경천대 전망대),경북 상주시,경상북도 상주시 사벌면 삼덕리,36.4505617,128.2381462
경주 석굴암 [유네스코 세계문화유산],경북 경주시,경상북도 경주시 불국로 873-243,35.7940266,129.3502781
독도,경북 울릉도,경상북도 울릉군 울릉읍 독도이사부길 55,37.2429362,131.8668421
주왕산국립공원,경북 청송군,경상북도 청송군 주왕산면 공원길 169-7,36.3938693,129.1420276
농암종택,경북 안동시,경상북도 안동시 도산면 가송길 162-133,36.7639225,128.8850127
행남 해안산책로,경북 울릉도,경상북도 울릉군 울릉읍 도동리,37.4928902,130.8985922
청송 얼음골 (청송 국가지질공원),경북 청송군,경상북도 청송군 주왕산면 내룡리,36.3376671,129.2109095
영주 무섬마을,경북 영주시,경상북도 영주시 문수면 무섬로234번길 31-12,36.7308748,128.6217841
문경에코랄라,경북 문경시,경상북도 문경시 가은읍 왕능길 114,36.6474816,128.0654016
구룡포 일본인 가옥거리,경북 포항시,경상북도 포항시 남구 구룡포읍 구룡포길 153-1,35.9905342,129.5615954
울진 금강소나무 숲길,경북 울진군,경상북도 울진군 근남면 울진북로 245-5,36.9712904,129.3986704
백두대간협곡열차(V-트레인),경북 봉화군,경상북도 봉화군 소천면 분천길 49,36.9325451,129.0584081
포항운하,경북 포항시,경상북도 포항시 남구 희망대로 1040,36.0265955,129.3811149
천마총(대릉원),경북 경주시,경상북도 경주시 계림로 9,35.8373569,129.2130064
영덕해맞이공원,경북 영덕군,경상북도 영덕군 영덕읍 영덕대게로 968,36.4220234,129.4329554
경주 문무대왕릉,경북 경주시,경상북도 경주시 양북면 동해안로 1366-9,35.7331006,129.4783161
부용대,경북 안동시,경상북도 안동시 풍천면 광덕솔밭길 72,36.5445599,128.5180542
경주 계림,경북 경주시,경상북도 경주시 교동 1,35.8326187,129.2189939
주산지 (청송 국가지질공원),경북 청송군,경상북도 청송군 주왕산면 주산지리,36.3626468,129.1894888
