name,region,address,lon,lat,상태
EBS 리틀소시움,대구 북구,대구광역시 북구 유통단지로 90,128.6115353,35.90928476,인근좌표
가창 찐빵 골목,대구 달성군,대구광역시 달성군 가창면 가창로 1099,128.6221749,35.80267191,정좌표
감삼못공원,대구 서구,대구광역시 서구 서대구로3길 43,128.5521815,35.85864905,정좌표
경북동해안지질공원(영덕),대구 북구,대구광역시 북구 대학로 80,128.6091029,35.88556134,정좌표
경상감영공원,대구 중구,대구광역시 중구 경상감영길 99,128.5928258,35.87198212,정좌표
고산골,대구 남구,대구광역시 남구 고산3길 95-1,128.6027016,35.82485275,정좌표
고산골 메타쉐콰이어길,대구 남구,대구광역시 남구 용두2길 43,128.6034043,35.82992771,정좌표
고산서당,대구 수성구,대구광역시 수성구 성동로37길 39-3,128.7185793,35.85227454,정좌표
공룡공원,대구 남구,대구광역시 남구 용두2길 43,128.6034043,35.82992771,정좌표
공항교강변공원,대구 북구,대구광역시 북구 복현동,128.62762,35.900334,실패
관덕정,대구 남구,대구광역시 남구 앞산순환로 306,128.5630961,35.82567843,정좌표
관암사(대구),대구 동구,대구광역시 동구 갓바위로 350,128.7339671,35.97806398,정좌표
관음사(대구),대구 동구,대구광역시 동구 둔산로 535,128.6644795,35.91863463,정좌표
구암동 고분군,대구 북구,대구광역시 북구 구암동,128.5643933,35.92954411,실패
구암서원,대구 북구,대구광역시 북구 연암공원로17길 20,128.5989778,35.89845438,정좌표
구암팜스테이마을,대구 동구,대구광역시 동구 구암길 8,128.6796188,35.95366733,정좌표
구천서원(대구),대구 북구,대구광역시 북구 구암로21길 41,128.5527457,35.9358866,정좌표
국우동 탱자나무,대구 북구,대구광역시 북구 도남길 45-7,128.5803611,35.95304335,정좌표
국채보상운동기념공원,대구 중구,대구광역시 중구 국채보상로 670,128.6034168,35.86889771,정좌표
금용사(대구),대구 달서구,대구광역시 달서구 공원순환로 213,128.5608201,35.84753564,정좌표
김광석 길 (김광석다시그리기길),대구 중구,대구광역시 중구 달구벌대로450길,128.5743619,35.8629448,인근좌표
나불지 생태공원,대구 동구,대구광역시 동구 각산동 134,128.7197317,35.87997563,정좌표
낙동서원,대구 달서구,대구광역시 달서구 송현로7길 32,128.5454486,35.81999771,정좌표
낙빈서원,대구 달성군,대구광역시 달성군 하빈면 묘동4길 21,128.412421,35.90796181,정좌표
남산동 가톨릭타운(대구),대구 중구,대구광역시 중구 남산로4길 112,128.5882514,35.85985471,정좌표
남지장사(대구),대구 달성군,대구광역시 달성군 가창면 남지장사길 127,128.6309352,35.73494145,정좌표
남평문씨본리세거지,대구 달성군,대구광역시 달성군 화원읍 인흥3길 16,128.5178996,35.7924048,정좌표
