No,name,region,address,경도,위도,상태
6,용연사(대구),대구 달성군,대구광역시 달성군 옥포면 용연사길 260,35.7481597,128.5211241,실패
7,옥연지 송해공원,대구 달성군,대구광역시 달성군 옥포읍,35.7896321,128.463792,실패
24,대구 옻골마을,대구 동구,대구광역시 동구 둔산동,35.9063983,128.6872189,실패
31,대구 불로동 고분군,대구 동구,대구광역시 동구 불로동,35.9118092,128.6371544,실패
35,대구 오토바이골목,대구 중구,대구광역시 중구 인교동,35.8727677,128.5838899,실패
39,안일사(대구),대구 남구,대구광역시 남구 대명동,35.840491,128.5768732,실패
49,비슬산자연휴양림,대구 달성군,대구광역시 달성군 유가면 휴양림길 230,35.689999,128.5128966,실패
54,대구 중구 골목투어버스 (청라버스),대구 중구,대구광역시 북구 태평로 161,35.87588495,128.5961292,실패
61,대구 달성습지,대구 달성군,대구광역시 달성군 다사읍 죽곡리,35.826901,128.482142,실패
62,대구 도동 측백나무 숲,대구 동구,대구광역시 동구 도평로,35.918339,128.663222,실패
69,상리공원,대구 서구,대구광역시 서구 중리동,35.862077,128.530666,실패
83,홍의장군 곽망우당 묘소,대구 달성군,대구광역시 달성군 구지면 대암리,35.629901,128.404639,실패
91,소재사(대구),대구 달성군,대구광역시 달성군 유가면 휴양림길 228,35.691365,128.510255,실패
99,운암지 수변공원,대구 북구,대구광역시 북구 구암동,35.932496,128.568679,실패
101,현풍 500년 느티나무 테마공원,대구 달성군,대구광역시 달성군 현풍면 비슬로 741,35.702042,128.438029,실패
107,비슬산 군립공원,대구 달성군,대구광역시 달성군 유가면 휴양림길 230,35.716884,128.524884,실패
109,옹기종기행복마을,대구 동구,대구광역시 동구 입석동,35.892118,128.647673,실패
118,팔거산성,대구 북구,대구광역시 북구 노곡동,35.909581,128.560064,실패
131,망우당공원,대구 동구,대구광역시 동구 효목동,35.877028,128.657417,실패
133,사효자굴,대구 달성군,대구광역시 달성군 유가읍 양리,35.703698,128.483471,실패
134,달성하천습지,대구 달성군,대구광역시 달성군 다사읍 죽곡리,35.826962,128.482121,실패
144,현풍곽씨십이정려각,대구 달성군,대구광역시 달성군 현풍면 지동길 3,35.666699,128.429433,실패
150,현풍향교,대구 달성군,대구광역시 달성군 현풍면 현풍동로20길 27-8,35.701498,128.451803,실패
152,달성(현풍)사직단,대구 달성군,대구광역시 달성군 현풍면 상리,35.69859,128.452363,실패
159,대구 고모령비,대구 수성구,대구광역시 동구 효목동,35.873424,128.657743,실패
168,현풍포교당,대구 달성군,대구광역시 달성군 현풍면 현풍동로27길 54-6,35.698104,128.446433,실패
170,수도암(대구),대구 달성군,대구광역시 달성군 유가면 유가사길 161,35.71472809,128.5073687,실패
171,소계정,대구 달성군,대구광역시 달성군 옥포면 옥포로57길 25-14,35.77032969,128.4917252,실패
176,이양서원,대구 달성군,대구광역시 달성군 현풍면 삼강3길 23,35.66579138,128.4219072,실패
177,진주강씨모열각,대구 달성군,대구광역시 달성군 옥포면 옥포로 305,35.7690121,128.4899436,실패
183,원호루,대구 달성군,대구광역시 달성군 현풍면 현풍동로 92,35.69888216,128.4519775,실패
191,해안팜스테이,대구 동구,대구광역시 동구 둔산로,35.90882094,128.6770788,실패
196,공항교강변공원,대구 북구,대구광역시 북구 복현동,35.900334,128.62762,실패
199,구암동 고분군,대구 북구,대구광역시 북구 구암동,35.92954411,128.5643933,실패
