name,region,address,lon,lat,상태
168계단,부산 동구,부산광역시 동구 영초길191번길,129.0357869,35.11709239,정좌표
25의용단,부산 수영구,부산광역시 수영구 연수로379번길 42,129.1135886,35.17155247,정좌표
40계단 문화관광테마거리,부산 중구,부산광역시 중구 40계단길 일대,129.034887,35.104979,실패
75광장,부산 영도구,부산광역시 영도구 절영로 370,129.0578297,35.07158363,인근좌표
BIFF 광장,부산 중구,부산광역시 중구 남포길 4,129.029195,35.09882664,정좌표
F1963,부산 수영구,부산광역시 수영구 구락로123번길 20,129.1155671,35.17623459,정좌표
가덕도 등대,부산 강서구,부산광역시 강서구 대항동 가덕해안로 1237,128.826416,35.0101775,실패
감천사(부산),부산 연제구,부산광역시 연제구 묘봉산로 40,129.0909288,35.18341745,정좌표
공수어촌체험마을,부산 기장군,부산광역시 기장군 기장읍 공수해안길 13-2,129.2111952,35.18440352,정좌표
관수옥과 초량왜관 터,부산 중구,부산광역시 중구 용두산길 37-55,129.0324433,35.1009303,정좌표
광명사(부산),부산 부산진구,부산광역시 부산진구 안창로14번길 46,129.0449436,35.14619836,정좌표
광복로문화패션거리,부산 중구,부산광역시 중구 광복동,129.029681,35.09932,실패
광안리해변 테마거리,부산 수영구,부산광역시 수영구 민락동,129.1254459,35.15726484,실패
광안리해수욕장,부산 수영구,부산광역시 수영구 광안해변로 219,129.1185205,35.1537736,정좌표
구상반려암명소,부산 부산진구,부산광역시 부산진구 전포동 일대,129.0707501,35.16359065,실패
구포만세거리,부산 북구,부산광역시 북구 구포동,129.0001514,35.20792928,실패
국립 달음산자연휴양림,부산 기장군,부산광역시 기장군 일광면 화용길 299-106,129.1853042,35.30261054,정좌표
국제시장 먹자골목,부산 중구,부산광역시 중구 중구로 36,129.0280599,35.10111637,정좌표
국청사(부산),부산 금정구,부산광역시 금정구 북문로 42,129.0546857,35.25353569,정좌표
금강공원,부산 동래구,부산광역시 동래구 우장춘로 155,129.0757693,35.21963572,정좌표
금강사(부산),부산 동래구,부산광역시 동래구 우장춘로 211,129.0771579,35.2249686,정좌표
금강식물원,부산 금정구,부산광역시 금정구 장전동 산 43-1,129.077112,35.22644765,정좌표
금강암(부산),부산 금정구,부산광역시 금정구 범어사로 254,129.0651491,35.28158794,정좌표
금련산,부산 수영구,부산광역시 수영구 광안동,129.096103,35.161676,실패
금수사(부산),부산 동구,부산광역시 동구 망양로 533-1,129.0294394,35.12004765,정좌표
금용암(부산),부산 연제구,부산광역시 연제구 성지곡로 111,129.0496414,35.19159362,실패
금정산 (부산 국가지질공원),부산 금정구,부산광역시 금정구 금성동,129.0750952,35.17992599,실패
금정산명소,부산 금정구,부산광역시 금정구 청룡동 일대,129.055517,35.28318,실패
금정산성,부산 금정구,부산광역시 금정구 금성동,129.057472,35.275666,실패
금정산성마을 먹거리촌,부산 금정구,부산광역시 금정구 금성동,129.057504,35.275684,실패
금정선원,부산 동래구,부산광역시 동래구 우장춘로 157-59,129.0742307,35.22175312,정좌표
기장향교,부산 기장군,부산광역시 기장군 기장읍 차성로417번길 35,129.2160733,35.25736086,정좌표
김민부전망대,부산 동구,부산광역시 동구 영초윗길26번길 14,129.0353063,35.11765406,정좌표
깡깡이 예술마을,부산 영도구,부산광역시 영도구 대평로27번길 8-8,129.0339417,35.0912404,정좌표
낙동강문화관,부산 사하구,부산광역시 사하구 낙동남로1233번길 1,128.9474192,35.10825308,정좌표
낙동강하구명소,부산 사하구,부산광역시 사하구 낙동남로 1240,128.9459812,35.10449124,정좌표
낙동강하구에코센터,부산 사하구,부산광역시 사하구 낙동남로 1240,128.9459812,35.10449124,정좌표
남도해양관광열차 S-트레인(S-train),부산 동구,부산광역시 동구 중앙대로 206,129.0448725,35.11811178,정좌표
남선창고터,부산 동구,부산광역시 동구 초량로13번길 53,129.039515,35.11680616,정좌표
내원정사(부산),부산 서구,부산광역시 서구 엄광산로40번길 121-22,129.011539,35.1281422,정좌표
다대포 꿈의 낙조분수,부산 사하구,부산광역시 사하구 몰운대1길 14,128.9680031,35.04637785,정좌표
다대포해수욕장,부산 사하구,부산광역시 사하구 몰운대1길 14,128.9680031,35.04637785,정좌표
닥터 아난티 의원,부산 기장군,부산광역시 기장군 기장읍 기장해안로 268-32,129.2285845,35.19819289,정좌표
당산,부산 동구,부산광역시 동구 망양로478번길 13,129.0343642,35.1172242,정좌표
대각사(부산),부산 중구,부산광역시 중구 광복중앙로 21,129.0306539,35.10130797,정좌표
대변마을,부산 기장군,부산 기장군 기장읍 대변리,129.2292721,35.22597052,실패
대저생태공원,부산 강서구,부산광역시 강서구 공항로 1246,128.9845569,35.20985007,정좌표
대천천,부산 북구,부산 북구 화명동 172,129.0278901,35.2437653,정좌표
대항 어촌체험 휴양마을,부산 강서구,부산광역시 강서구 가덕해안로1207번길 9-2,128.8276549,35.01166067,정좌표
더베이101,부산 해운대구,부산광역시 해운대구 동백로 52,129.1520691,35.15658328,정좌표
동래온천 노천족탕,부산 동래구,부산광역시 동래구 금강공원로26번길 21,129.0814402,35.22001138,정좌표
동래읍성지,부산 동래구,부산광역시 동래구 칠산동,129.090175,35.210097,실패
동래향교,부산 동래구,부산광역시 동래구 동래로 103,129.0840987,35.20770139,정좌표
동백공원,부산 해운대구,부산광역시 해운대구 우동,129.15195,35.153556,실패
두송반도명소,부산 사하구,부산광역시 사하구 다대동 일대,129.0750952,35.17992599,실패
마린시티,부산 해운대구,부산광역시 해운대구 우동,129.145921,35.155378,실패
마하사(부산),부산 연제구,부산광역시 연제구 봉수로 138,129.0872597,35.16387048,정좌표
맥도생태공원,부산 강서구,부산광역시 강서구 공항로 500,128.9549081,35.15231936,정좌표
메이커스튜디오,부산 부산진구,부산광역시 부산진구 동천로 116,129.0626345,35.15905721,정좌표
몰운대 (부산 국가지질공원),부산 사하구,부산광역시 사하구 다대동,129.0750952,35.17992599,실패
몰운대명소,부산 사하구,부산광역시 사하구 다대동 일대,128.9694173,35.0442995,실패
묘심사(부산),부산 동구,부산광역시 동구 망양로 671,129.0393785,35.12667824,정좌표
무민사,부산 남구,부산광역시 남구 무민사로33번길 11-15,129.0804206,35.11296278,정좌표
미륵사(부산),부산 금정구,부산광역시 금정구 북문로 126,129.0493159,35.2741519,정좌표
민락수변공원,부산 수영구,부산광역시 수영구 광안해변로 361,129.1313378,35.15635378,정좌표
민주공원,부산 중구,부산광역시 중구 민주공원길 19,129.0280278,35.1096845,정좌표
백양산명소,부산 부산진구,부산광역시 부산진구 초읍동 일대,129.026496,35.183299,실패
범어사(부산),부산 금정구,부산광역시 금정구 범어사로 250,129.0692288,35.2841102,정좌표
법륜사(부산),부산 동래구,부산광역시 동래구 동래로 162,129.0884651,35.20381239,정좌표
보광사(부산),부산 동구,부산광역시 동구 범상로1번길 35,129.0468423,35.14096282,정좌표
봉래산(부산),부산 영도구,부산광역시 영도구 청학동,129.055223,35.082037,실패
부산 가톨릭 특성화 거리,부산 금정구,부산광역시 금정구 오륜대로 57,129.0974455,35.24426588,정좌표
부산 감천문화마을,부산 사하구,부산광역시 사하구 감내2로 203,129.0105927,35.0974697,정좌표
부산 복천동 고분군,부산 동래구,부산광역시 동래구 복천로 66,129.0917341,35.20731614,정좌표
부산 부평 족발 골목,부산 중구,부산광역시 중구 광복로12번길 3,129.0264223,35.09919519,정좌표
부산 송도해상케이블카,부산 서구,부산광역시 서구 송도해변로 171,129.0233986,35.07664309,정좌표
부산 송도해수욕장,부산 서구,부산광역시 서구 송도해변로 50,129.0161688,35.07415957,정좌표
부산 수정동 일본식 가옥,부산 동구,부산광역시 동구 홍곡로 75,129.0425684,35.12546792,정좌표
부산 암남공원,부산 서구,부산광역시 서구 암남공원로 185,129.013125,35.06151288,정좌표
부산 에덴공원,부산 사하구,부산광역시 사하구 하단동,128.96329,35.109089,실패
부산 영화의 전당,부산 해운대구,부산광역시 해운대구 수영강변대로 120,129.127084,35.17103715,정좌표
부산 올림픽동산,부산 해운대구,부산광역시 해운대구 APEC로 58,129.1370271,35.16668703,정좌표
부산 자갈치 양곱창 골목,부산 중구,부산광역시 중구 구덕로 73,129.0271532,35.09713705,정좌표
부산 중앙공원,부산 서구,부산광역시 서구 망양로193번길 187,129.0279654,35.11229547,정좌표
부산 진지성,부산 동구,부산광역시 동구 자성로 99 (범일동),129.0604498,35.13574252,실패
부산 차이나타운특구(상해문.상해거리),부산 동구,부산광역시 동구 중앙대로179번길 1,129.038536,35.11339245,정좌표
부산 치유의 숲,부산 기장군,부산광역시 기장군 철마면 철마천로 101,129.1295656,35.26947858,정좌표
부산 티파니21 크루즈 유람선,부산 해운대구,부산광역시 해운대구 마린시티1로 168,129.1500659,35.15700846,정좌표
부산 해운대 관광 유람선(오륙도),부산 해운대구,부산광역시 해운대구 달맞이길62번길 33-1,129.170655,35.158439,정좌표
부산광안대교,부산 수영구,부산광역시 해운대구 수영강변대로 203,129.1205557,35.17716312,정좌표
부산대교,부산 영도구,부산광역시 영도구 남항로9번길 41,129.0385752,35.09162347,정좌표
부산동명불원,부산 남구,부산광역시 남구 동명로 57,129.1034316,35.11908338,정좌표
부산시민공원,부산 부산진구,부산광역시 부산진구 시민공원로 73,129.0540094,35.16814819,정좌표
부산어린이대공원,부산 부산진구,부산광역시 부산진구 새싹로 295,129.0423059,35.18847007,정좌표
부산엑스더스카이,부산 해운대구,부산광역시 해운대구 달맞이길 30,129.1697478,35.15993488,정좌표
부산영화체험박물관,부산 중구,부산광역시 중구 대청로126번길 12,129.0335916,35.10169117,정좌표
부산영화촬영스튜디오,부산 해운대구,부산광역시 해운대구 해운대해변로 52,129.1380593,35.16190706,정좌표
부산진일신여학교,부산 동구,부산광역시 동구 정공단로17번길 17,129.0529839,35.13491784,정좌표
부산차량융합기술단(부산철도차량정비단),부산 부산진구,부산광역시 부산진구 신천대로 215,129.0423357,35.16003525,정좌표
부산타워,부산 중구,부산광역시 중구 용두산길 37-55,129.0324433,35.1009303,정좌표
북맛골,부산 금정구,부산광역시 금정구 명서로85번길 6,129.099459,35.21408898,정좌표
브이알존 엘큐브 광복점,부산 중구,부산광역시 중구 광복로 79-1,129.0337012,35.09867838,정좌표
산복도로,부산 중구,부산광역시 중구,129.0330508,35.11454435,실패
삼광사,부산 부산진구,부산광역시 부산진구 초읍천로43번길 77,129.0434156,35.17557198,정좌표
삼락생태공원,부산 사상구,부산광역시 사상구 삼락동,128.9776229,35.1770248,실패
삼진어묵체험·역사관,부산 영도구,부산광역시 영도구 태종로99번길 36,129.0427812,35.09295509,정좌표
서면1번가,부산 부산진구,부산광역시 부산진구 신천대로62번길 61,129.0582795,35.15355491,정좌표
선광사(부산),부산 사상구,부산광역시 사상구 백양대로804번길 42-123,128.995387,35.17724631,정좌표
선암사(부산),부산 부산진구,부산광역시 부산진구 백양산로 138,129.0271258,35.17565903,정좌표
성암사(부산),부산 남구,부산광역시 남구 진남로210번길 58-15,129.0797779,35.14572883,정좌표
소름요,부산 기장군,부산광역시 기장군 기장읍 기장해안로 1014,129.2414945,35.24338274,정좌표
소림사(부산),부산 동구,부산광역시 동구 초량상로65번길 7,129.0373177,35.11761053,정좌표
송도마을,부산 서구,부산 서구 암남동,129.0209682,35.07992309,실패
송도반도 (부산 국가지질공원),부산 서구,부산광역시 서구 암남동,129.020083,35.06994167,실패
송도반도명소,부산 서구,부산광역시 서구 암남동 일대,129.020083,35.06994167,실패
송정 죽도공원,부산 해운대구,부산광역시 해운대구 송정동,129.205155,35.180242,실패
송정해수욕장,부산 해운대구,부산광역시 해운대구 송정해변로 62,129.199478,35.17941032,정좌표
수리조선소길,부산 영도구,부산광역시 영도구 대평로 42,129.0334551,35.09234996,정좌표
수미르공원,부산 중구,부산광역시 중구 대교로 122,129.038597,35.10095838,정좌표
수영사적공원,부산 수영구,부산광역시 수영구 수영성로 43,129.1139538,35.17121167,정좌표
스파랜드 센텀시티,부산 해운대구,부산광역시 해운대구 센텀남대로 35,129.1295226,35.16881799,정좌표
스포원파크,부산 금정구,부산광역시 금정구 체육공원로399번길 324,129.1060572,35.29297614,정좌표
신선대(부산),부산 남구,부산광역시 남구 신선로303번길 6,129.0953806,35.1132751,정좌표
신세계 센텀시티,부산 해운대구,부산광역시 해운대구 센텀남대로 35,129.1295226,35.16881799,정좌표
아미르공원,부산 영도구,부산광역시 영도구 동삼동,129.075936,35.075671,실패
아홉산숲,부산 기장군,부산광역시 기장군 철마면 미동길 37-1,129.1715172,35.28704129,정좌표
안데르센 동화마을,부산 기장군,부산광역시 기장군 장안읍 장안로 211,129.2402399,35.35992182,정좌표
안적사(부산),부산 기장군,부산광역시 기장군 기장읍 내리길 461-16,129.1700835,35.21410884,정좌표
약수암(부산),부산 사상구,부산광역시 사상구 백양대로804번길 42-57,128.9965736,35.17803409,정좌표
역사의 디오라마,부산 중구,부산광역시 중구 영주로 93,129.0330811,35.11462683,정좌표
연등사(부산),부산 동구,부산광역시 동구 좌천동로 17-3,129.0490747,35.13307333,정좌표
영도 등대,부산 영도구,부산광역시 영도구 전망로 181,129.0913397,35.05191937,정좌표
영도 흰여울해안터널,부산 영도구,부산 영도구 영선동4가 1044-6,129.0453039,35.07793084,정좌표
영도대교,부산 영도구,부산광역시 영도구 태종로 46,129.036832,35.09378919,정좌표
영주암(부산),부산 수영구,부산광역시 수영구 망미배산로76번나길 15,129.0986397,35.17663171,정좌표
옛백제병원,부산 동구,부산광역시 동구 중앙대로209번길 16,129.0391428,35.11633971,정좌표
오륙도 (부산 국가지질공원),부산 남구,부산광역시 남구 용호동,129.126416,35.093815,실패
오륙도 등대,부산 남구,부산광역시 남구 오륙도로 130,129.1268467,35.09119339,정좌표
오륙도 스카이워크,부산 남구,부산광역시 남구 오륙도로 137,129.1231049,35.10143738,정좌표
오륙도명소,부산 남구,부산광역시 남구 용호동 일대,129.1239318,35.0980402,실패
옥련선원,부산 수영구,부산광역시 수영구 광남로257번길 58,129.1262142,35.16285449,정좌표
온정개건비,부산 동래구,부산광역시 동래구 금강로124번길 23-17,129.0812974,35.22008429,정좌표
외양포 포진지,부산 강서구,부산광역시 강서구 대항동,128.8254366,35.00553146,실패
용두산 자갈치 관광특구,부산 중구,부산광역시 중구 자갈치해안로 52,129.0305839,35.09661367,정좌표
용두산공원,부산 중구,부산광역시 중구 용두산길 37-55,129.0324433,35.1009303,정좌표
운수사(부산),부산 사상구,부산광역시 사상구 모라로219번길 173,129.0127785,35.1837722,정좌표
월명사(부산),부산 기장군,부산광역시 기장군 일광면 참샘길 124,129.2160972,35.26982805,정좌표
유치환 우체통 전망대,부산 동구,부산광역시 동구 망양로580번길 2,129.0338509,35.12210736,정좌표
을숙도 공원,부산 사하구,부산광역시 사하구 낙동남로 1240,128.9459812,35.10449124,정좌표
이기대 (부산 국가지질공원),부산 남구,부산광역시 연제구 용호동,129.115598,35.1155121,실패
이기대명소,부산 남구,부산광역시 남구 용호동 일대,129.1234174,35.1226423,실패
일광해수욕장,부산 기장군,부산광역시 기장군 일광면 삼성리,129.2313239,35.26638202,실패
임랑해수욕장,부산 기장군,부산광역시 기장군 장안읍 임랑리,129.2576094,35.31953879,실패
자성대공원,부산 동구,부산광역시 동구 자성로 99,129.060452,35.13574487,정좌표
장림포구,부산 사하구,부산광역시 사하구 장림로93번길 72,128.9513987,35.07913004,정좌표
장산 (부산 국가지질공원),부산 해운대구,부산광역시 해운대구 좌동 1390,129.168181,35.18108261,정좌표
장산명소,부산 해운대구,부산광역시 해운대구 반어동,129.14469,35.194527,실패
장안사(부산),부산 기장군,부산광역시 기장군 장안읍 장안로 482,129.2328844,35.37480506,정좌표
재난안전체험관,부산 금정구,부산광역시 금정구 체육공원로399번길 324,129.1060572,35.29297614,정좌표
재한유엔기념공원 (UN기념공원),부산 남구,부산광역시 남구 대연동,129.096767,35.128128,실패
전포카페거리,부산 부산진구,부산광역시 부산진구 전포대로209번길 26,129.0630949,35.15629452,정좌표
절영해안산책로,부산 영도구,부산광역시 영도구 해안산책길 52,129.0412082,35.08114476,정좌표
정수암(부산),부산 금정구,부산광역시 금정구 북문로 160,129.048599,35.26024498,정좌표
조방해수탕,부산 부산진구,부산광역시 부산진구 자유평화로37번길 15-19,129.0625648,35.14185426,정좌표
