No,name,region,address,경도,위도,상태
5,삼락생태공원,부산 사상구,부산광역시 사상구 삼락동,128.9776229,35.1770248,실패
10,이기대 (부산 국가지질공원),부산 남구,부산광역시 연제구 용호동,129.115598,35.1155121,실패
21,40계단 문화관광테마거리,부산 중구,부산광역시 중구 40계단길 일대,129.034887,35.104979,실패
28,화명생태공원,부산 북구,부산광역시 북구 화명동,129.0035,35.226687,실패
29,청사포,부산 해운대구,부산광역시 해운대구 중동,129.19277,35.16069,실패
31,아미르공원,부산 영도구,부산광역시 영도구 동삼동,129.075936,35.075671,실패
37,동백공원,부산 해운대구,부산광역시 해운대구 우동,129.15195,35.153556,실패
38,광안리해변 테마거리,부산 수영구,부산광역시 수영구 민락동,129.1254459,35.15726484,실패
40,일광해수욕장,부산 기장군,부산광역시 기장군 일광면 삼성리,129.2313239,35.26638202,실패
44,마린시티,부산 해운대구,부산광역시 해운대구 우동,129.145921,35.155378,실패
48,가덕도 등대,부산 강서구,부산광역시 강서구 대항동 가덕해안로 1237,128.826416,35.0101775,실패
55,오륙도 (부산 국가지질공원),부산 남구,부산광역시 남구 용호동,129.126416,35.093815,실패
66,금정산성,부산 금정구,부산광역시 금정구 금성동,129.057472,35.275666,실패
67,동래읍성지,부산 동래구,부산광역시 동래구 칠산동,129.090175,35.210097,실패
75,대변마을,부산 기장군,부산 기장군 기장읍 대변리,129.2292721,35.22597052,실패
82,해월정,부산 해운대구,부산광역시 해운대구 중동,129.181651,35.156818,실패
84,해운대 관광특구,부산 해운대구,부산 해운대구,129.1635961,35.16306667,실패
94,재한유엔기념공원 (UN기념공원),부산 남구,부산광역시 남구 대연동,129.096767,35.128128,실패
98,부산 에덴공원,부산 사하구,부산광역시 사하구 하단동,128.96329,35.109089,실패
103,금정산 (부산 국가지질공원),부산 금정구,부산광역시 금정구 금성동,129.0750952,35.17992599,실패
108,광복로문화패션거리,부산 중구,부산광역시 중구 광복동,129.029681,35.09932,실패
110,송정 죽도공원,부산 해운대구,부산광역시 해운대구 송정동,129.205155,35.180242,실패
127,송도마을,부산 서구,부산 서구 암남동,129.0209682,35.07992309,실패
128,이기대명소,부산 남구,부산광역시 남구 용호동 일대,129.1234174,35.1226423,실패
141,임랑해수욕장,부산 기장군,부산광역시 기장군 장안읍 임랑리,129.2576094,35.31953879,실패
142,태종대명소,부산 영도구,부산광역시 영도구 동삼동 일대,129.0798057,35.05969496,실패
144,금용암(부산),부산 연제구,부산광역시 연제구 성지곡로 111,129.0496414,35.19159362,실패
147,오륙도명소,부산 남구,부산광역시 남구 용호동 일대,129.1239318,35.0980402,실패
148,장산명소,부산 해운대구,부산광역시 해운대구 반어동,129.14469,35.194527,실패
158,부산 진지성,부산 동구,부산광역시 동구 자성로 99 (범일동),129.0604498,35.13574252,실패
159,금련산,부산 수영구,부산광역시 수영구 광안동,129.096103,35.161676,실패
162,몰운대 (부산 국가지질공원),부산 사하구,부산광역시 사하구 다대동,129.0750952,35.17992599,실패
163,외양포 포진지,부산 강서구,부산광역시 강서구 대항동,128.8254366,35.00553146,실패
165,백양산명소,부산 부산진구,부산광역시 부산진구 초읍동 일대,129.026496,35.183299,실패
173,몰운대명소,부산 사하구,부산광역시 사하구 다대동 일대,128.9694173,35.0442995,실패
175,송도반도명소,부산 서구,부산광역시 서구 암남동 일대,129.020083,35.06994167,실패
179,금정산명소,부산 금정구,부산광역시 금정구 청룡동 일대,129.055517,35.28318,실패
180,구상반려암명소,부산 부산진구,부산광역시 부산진구 전포동 일대,129.0707501,35.16359065,실패
182,두송반도명소,부산 사하구,부산광역시 사하구 다대동 일대,129.0750952,35.17992599,실패
187,송도반도 (부산 국가지질공원),부산 서구,부산광역시 서구 암남동,129.020083,35.06994167,실패
190,금정산성마을 먹거리촌,부산 금정구,부산광역시 금정구 금성동,129.057504,35.275684,실패
191,봉래산(부산),부산 영도구,부산광역시 영도구 청학동,129.055223,35.082037,실패
195,구포만세거리,부산 북구,부산광역시 북구 구포동,129.0001514,35.20792928,실패
197,산복도로,부산 중구,부산광역시 중구,129.0330508,35.11454435,실패
200,친환경 스카이웨이 전망대(이바구길),부산 동구,부산광역시 동구 초량동,129.0363325,35.11571241,실패
