name,region,address,lon,lat,상태
고복자연공원,세종 한솔동,세종특별자치시 연서면 도신고복로 586,127.2274386,36.59992339,정좌표
금강대도,세종 한솔동,세종특별자치시 금남면 금천1길 78,127.3148617,36.44483592,정좌표
"금강자연휴양림(금강수목원,산림박물관)",세종 한솔동,세종특별자치시 금남면 산림박물관길 110,127.2335885,36.42766032,정좌표
금남 백로 서식지,세종 한솔동,세종특별자치시 금남면 감성길 45-13,127.2918304,36.44314819,정좌표
금사가마골,세종 한솔동,세종특별자치시 전의면 금사길 12,127.1714929,36.60994112,정좌표
금이성,세종 한솔동,세종특별자치시 전동면 송성리,127.2136215,36.6436057,실패
김종서장군묘,세종 한솔동,세종특별자치시 장군면 대교리,127.2156761,36.51720751,실패
뒤웅박고을,세종 한솔동,세종특별자치시 전동면 배일길 90-43,127.2592523,36.67521955,정좌표
밀마루전망대,세종 한솔동,세종특별자치시 도움3로 58,127.2558287,36.50545275,정좌표
베어트리파크,세종 한솔동,세종특별자치시 전동면 신송로 217,127.209856,36.66918775,정좌표
비암사(세종),세종 한솔동,세종특별자치시 전의면 비암사길 137,127.1920141,36.6109955,정좌표
"세종리 은행나무 (구, 양화리 은행나무)",세종 한솔동,세종특별자치시 연기면,127.2920012,36.50410335,실패
세종호수공원,세종 한솔동,세종특별자치시 연기면 다솜로 216,127.2700737,36.49881434,정좌표
신광사(세종),세종 한솔동,세종특별자치시 조치원읍 토골고개길 24,127.2887639,36.62341591,정좌표
아람달 체험마을,세종 한솔동,세종특별자치시 전동면 운주산로 606,127.2449452,36.66594832,정좌표
연기대첩비공원,세종 한솔동,세종특별자치시 연서면 도신고복로 586,127.2274386,36.59992339,정좌표
연기향교,세종 한솔동,세종특별자치시 연기면 교촌3길 13,127.281162,36.54330579,정좌표
연화사(세종),세종 한솔동,세종특별자치시 연서면 연화사길 28-1,127.2793343,36.59251567,정좌표
영평사,세종 한솔동,세종특별자치시 장군면 영평사길 124,127.2276573,36.47329323,정좌표
우주측지관측센터,세종 한솔동,세종특별자치시 연기면 월산공단로 276-71,127.3028732,36.52284552,정좌표
운주산성,세종 한솔동,세종특별자치시 기념물 제1호(2012.12.31 지정),127.242048,36.68294149,실패
전의향교,세종 한솔동,세종특별자치시 전의면 북촌1길 5-18,127.2011117,36.68028148,정좌표
조천연꽃공원,세종 한솔동,세종특별자치시 조치원읍 번암리 226,127.3002036,36.5858265,정좌표
청안사(세종),세종 한솔동,세종특별자치시 전의면 가느실길 128-23,127.1916348,36.64062327,정좌표
학림사(세종),세종 한솔동,세종특별자치시 연서면 와룡로 353,127.2465668,36.5844722,정좌표
합호서원,세종 한솔동,세종특별자치시 연동면 원합강1길 262-6,127.3269533,36.52321761,정좌표
황룡사(세종),세종 한솔동,세종특별자치시 연동면 황우재길 22-17,127.3477767,36.52651508,정좌표
