name,region,address,Latitude,Longitude
월미도,인천 중구,인천광역시 중구 월미문화로 36,37.471318,126.596287
석모도 미네랄 온천,인천 강화군,인천광역시 강화군 삼산면 삼산남로 865-17,37.6867691,126.3137634
교동도(강화),인천 강화군,인천광역시 강화군 교동면 교동남로 35,37.7821086,126.2795601
굴업도,인천 옹진군,인천 옹진군 덕적면 굴업리,37.1905072,125.9779614
송도 센트럴파크,인천 연수구,인천광역시 연수구 컨벤시아대로 160,37.3921637,126.6391971
석모도,인천 강화군,인천광역시 강화군 삼산면 삼산북로 9,37.6931085,126.3669707
인천 차이나타운,인천 중구,인천광역시 중구 차이나타운로59번길 20,37.4737405,126.6191302
덕적도,인천 옹진군,인천광역시 옹진군 덕적면 덕적북로 130,37.2275961,126.1447008
강화씨사이드리조트 루지,인천 강화군,인천광역시 강화군 길상면 장흥로 223-3,37.6199189,126.5010626
강화 동막해변,인천 강화군,인천광역시 강화군 화도면 해안남로 1481,37.5925761,126.4581875
을왕리해수욕장,인천 중구,인천광역시 중구 을왕로13번길 15,37.4450739,126.372986
소이작도,인천 옹진군,인천광역시 옹진군 자월면 이작리,37.175244,126.2594459
경인 아라뱃길,인천 서구,인천광역시 서구 정서진1로 41,37.5569312,126.604845
"동검도(나들길,캠핑,예술극장)",인천 강화군,인천광역시 강화군 길상면 동검길63번길 60,37.5926635,126.5183517
민머루해변,인천 강화군,인천광역시 강화군 삼산면 어류정길212번길,37.6539128,126.3308399
신시모도 (신도ㆍ시도ㆍ모도),인천 옹진군,인천광역시 옹진군 북도면,37.5323923,126.4271269
보문사(강화),인천 강화군,인천광역시 강화군 삼산면 삼산남로828번길 44,37.6885353,126.3215585
석모도 자연휴양림,인천 강화군,인천광역시 강화군 삼산면 삼산서로 39-75,37.6970362,126.3138188
강화 덕진진,인천 강화군,인천광역시 강화군 불은면 덕진로 34,37.6506824,126.5238763
백령도,인천 옹진군,인천광역시 옹진군 백령면 백령로,37.9625097,124.7005611
옹진 백령도 두무진,인천 옹진군,인천광역시 옹진군 백령면 두무진로 559-3,37.9747666,124.6215347
선녀바위,인천 중구,인천광역시 중구 을왕동,37.4516407,126.3829845
소래습지생태공원,인천 남동구,인천광역시 남동구 소래로154번길 77,37.4230206,126.7432113
옥토끼우주센터,인천 강화군,인천광역시 강화군 불은면 강화동로 403,37.6749694,126.4872045
송월동 동화마을,인천 중구,인천광역시 중구 동화마을길 38,37.4776611,126.6205827
강화도제적봉 평화전망대,인천 강화군,인천광역시 강화군 양사면 전망대로 797,37.8269784,126.4316191
볼음도(저어새 생태마을),인천 강화군,인천광역시 강화군 서도면,37.6506578,126.2416656
영흥도,인천 옹진군,인천광역시 옹진군 영흥면,37.255991,126.483866
소청도,인천 옹진군,인천광역시 옹진군 대청면 소청리,37.7729184,124.752398
고려산,인천 강화군,인천광역시 강화군 내가면 고천리,37.7256645,126.4171552
연안부두,인천 중구,인천광역시 중구 연안부두로 70,37.4539687,126.5984075
갑곶돈대,인천 강화군,인천광역시 강화군 강화읍 해안동로1366번길 18,37.7345234,126.5160972
전등사(강화),인천 강화군,인천광역시 강화군 길상면 전등사로 37-41,37.6326092,126.4849766
소래포구,인천 남동구,인천광역시 남동구 포구로 2-6,37.3988308,126.7402023
무의도,인천 중구,인천광역시 중구 대무의로 310-11,37.3893458,126.4249302
강화 고인돌 유적 [유네스코 세계문화유산],인천 강화군,인천 강화군 하점면 부근리,37.7624839,126.4373772
인천대교,인천 중구,인천광역시 중구 인천대교고속도로 3,37.4136591,126.5665207
마니산(강화),인천 강화군,인천광역시 강화군 화도면 마니산로675번길 18,37.6329848,126.4240371
대이작도,인천 옹진군,인천광역시 옹진군 자월면 이작리,37.175244,126.2594459
석모도 수목원,인천 강화군,인천광역시 강화군 삼산면 삼산북로449번길 161,37.6905879,126.3258795
강화 아르미애월드,인천 강화군,인천광역시 강화군 불은면 중앙로 742-2,37.7047062,126.4343515
소창체험관,인천 강화군,인천광역시 강화군 강화읍 남문안길20번길 8,37.7465345,126.4842635
하나개해수욕장,인천 중구,인천광역시 중구 무의동 산189번지,37.3851838,126.4186286
영흥도 십리포해변,인천 옹진군,인천광역시 옹진군 영흥면 영흥북로 420-26,37.2807995,126.4828107
강화도,인천 강화군,인천광역시 강화군 강화읍 강화대로,37.7437371,126.4956434
분오리돈대,인천 강화군,인천광역시 강화군 화도면,37.6318251,126.4197314
자유공원(인천),인천 중구,인천광역시 중구 자유공원남로 25,37.4745802,126.6221322
아암도해안공원,인천 연수구,인천광역시 연수구 능허대로 192,37.416787,126.6478239
도래미마을,인천 강화군,인천광역시 강화군 선원면 해안동로 1129-19,37.7161619,126.5086979
영종도,인천 중구,인천광역시 중구 운남서로 100,37.4938542,126.5313043
왕산해수욕장,인천 중구,인천광역시 중구 을왕동,37.4516407,126.3829845
선녀바위해수욕장,인천 중구,인천광역시 중구 선녀바위로 60,37.4397893,126.3788734
동인천 삼치거리,인천 중구,인천광역시 중구 우현로67번길 57,37.4756952,126.6286801
개항장 거리,인천 중구,인천광역시 중구 제물량로232번안길 27,37.4728442,126.6209985
계양산 산림욕장,인천 계양구,인천광역시 계양구 경명대로955번길 17,37.5470052,126.7128836
거잠포해변,인천 중구,인천광역시 중구 잠진도길 11,37.4221521,126.4232075
인천대공원,인천 남동구,인천광역시 남동구 무네미로 236,37.457694,126.7494785
드림파크,인천 서구,인천광역시 서구 거월로 61,37.5762792,126.6616801
인천항크루즈터미널,인천 연수구,인천광역시 연수구 국제항만대로 438,37.4094099,126.6783088
서포리해변,인천 옹진군,인천광역시 옹진군 덕적면 덕적남로587번길 15,37.222418,126.1141303
장봉도,인천 옹진군,인천광역시 옹진군 북도면 장봉리,37.5475475,126.3278712
강화해수랜드,인천 강화군,"인천광역시 강화군 길상면 해안남로 13-12
",37.6270964,126.5340636
백령도 콩돌해변,인천 옹진군,인천광역시 옹진군 백령면,37.9728415,124.718271
잠진도,인천 중구,인천광역시 중구 잠진도길 144,37.4181865,126.4155139
인천대공원 반려동물 놀이터,인천 남동구,인천광역시 남동구 무네미로 236,37.457694,126.7494785
연평도(대/소 연평도),인천 옹진군,인천광역시 옹진군 연평면 연평중앙로24번길 3,37.6646337,125.7050762
삼산저수지,인천 강화군,인천 강화군 삼산면 석모리,37.6955531,126.3335311
"강화도 남단(여차리, 선두리 해안)",인천 강화군,인천광역시 강화군 일대,37.7467263,126.4878731
장경리해수욕장,인천 옹진군,인천광역시 옹진군 영흥면 영흥로757번길 6,37.2726225,126.4499759
실미해수욕장,인천 중구,인천광역시 중구 큰무리로 99,37.4696793,126.6254511
강화 초지진,인천 강화군,인천광역시 강화군 길상면 해안동로 58,37.6334878,126.5323089
팔미도등대,인천 중구,인천광역시 중구 팔미로 15,37.3583358,126.5106153
연미정,인천 강화군,인천광역시 강화군 강화읍,37.7483209,126.4835663
부아산 구름다리,인천 옹진군,인천 옹진군 자월면 이작리,37.175244,126.2594459
고려궁지,인천 강화군,인천광역시 강화군 강화읍 강화대로 394,37.747172,126.487179
선재도(선재도 어촌체험마을),인천 옹진군,인천광역시 옹진군 영흥면,37.255991,126.483866
인천국제공항 제2여객터미널,인천 중구,인천광역시 중구 제2터미널대로 446,37.4848155,126.4396163
광성보,인천 강화군,인천광역시 강화군 불은면 해안동로466번길 27,37.6657656,126.5294146
배다리 헌책방 골목,인천 동구,인천광역시 동구 금곡로 3,37.4726818,126.6361196
인천 화평동 세숫대야 냉면 거리,인천 동구,인천광역시 동구 화평로,37.4785689,126.629497
부평 해물탕거리,인천 부평구,인천광역시 부평구 부평문화로 113,37.4942679,126.7289752
호룡곡산,인천 중구,인천광역시 중구 대무의로 464,37.3770948,126.4308271
심청각,인천 옹진군,인천광역시 옹진군 백령면 백령로316번길 109-117,37.9796193,124.7167236
팔미도 유람선,인천 중구,인천광역시 중구 연안부두로 36,37.4548948,126.6012056
월미테마파크,인천 중구,인천광역시 중구 월미문화로 81,37.4713611,126.5962819
흥륜사(인천),인천 연수구,인천광역시 연수구 청량로46번길 38,37.41507,126.6594889
대한민국 수준원점,인천 미추홀구,인천광역시 미추홀구 인하로 100,37.4500221,126.653488
용유도 마시안해변,인천 중구,인천광역시 중구 마시란로 118,37.4325093,126.4175689
용흥궁,인천 강화군,인천광역시 강화군 강화읍 동문안길21번길 16-1,37.7487417,126.485091
강화 서도 중앙교회,인천 강화군,인천광역시 강화군 서도면 주문도길 256-1,37.6435442,126.2442596
월미공원,인천 중구,인천광역시 중구 월미로 131-22,37.4763692,126.6039121
큰무리어촌체험마을,인천 중구,인천광역시 중구 대무의로 26-9,37.4089786,126.4136658
BMW 드라이빙센터,인천 중구,인천광역시 중구 공항동로 136,37.471794,126.4748636
대한성공회 강화성당,인천 강화군,인천광역시 강화군 강화읍 관청길27번길 10,37.7493319,126.4854489
대청도,인천 옹진군,인천광역시 옹진군 대청면,37.8237659,124.7118314
(구)인천일본제58은행지점,인천 중구,인천광역시 중구 신포로23번길 77,37.4728595,126.6211542
장봉도 옹암해변,인천 옹진군,인천광역시 옹진군 북도면 장봉로 227,37.5310228,126.3685387
인천나비공원,인천 부평구,인천광역시 부평구 평천로 26-47,37.52021,126.6926415
승봉도,인천 옹진군,인천광역시 옹진군 자월면 승봉리,37.0913104,126.0766829
강화산성,인천 강화군,인천 강화군 강화읍 국화리 산3번지,37.7562982,126.476224
소래습지생태공원,인천 남동구,인천광역시 남동구 소래로154번길 77,37.4230206,126.7432113
능허대지,인천 연수구,인천광역시 연수구 옥련동,37.4232577,126.6479221
월미 관광특구,인천 중구,인천광역시 중구 월미문화로 81,37.4713611,126.5962819
수봉공원,인천 미추홀구,인천광역시 미추홀구 수봉안길 84,37.4597895,126.6632754
스파시스,인천 미추홀구,인천광역시 미추홀구 경인로 263,37.4627654,126.6719668
홍예문,인천 중구,인천광역시 중구 송학동,37.4731843,126.6258195
영종도,인천 중구,인천광역시 중구 운남서로 100,37.4938542,126.5313043
세어도,인천 서구,인천광역시 서구 세어로 29,37.572447,126.5666605
신트리공원,인천 부평구,인천광역시 부평구 신트리로 21,37.506554,126.723355
계양산,인천 계양구,인천광역시 계양구 계양산로75번길 26,37.5500265,126.723612
교동향교,인천 강화군,인천광역시 강화군 교동면 교동남로 229-49,37.7751023,126.2969543
인천도호부청사,인천 미추홀구,인천광역시 미추홀구 매소홀로 589,37.439185,126.6873279
인천항 갑문,인천 중구,인천광역시 미추홀구 매소홀로 589,37.439185,126.6873279
약사사(인천),인천 남동구,인천광역시 남동구 풀무로 48,37.4716894,126.7122861
강화갯벌센터,인천 강화군,인천광역시 강화군 화도면 해안남로 2293-37,37.617115,126.4127838
제물포구락부,인천 중구,인천광역시 중구 자유공원남로 25,37.4745802,126.6221322
강화 용두레마을,인천 강화군,인천광역시 강화군 내가면 황청포구로385번길 8,37.7186657,126.3600707
인천 푸른벗말,인천 옹진군,인천광역시 옹진군 북도면 신도로 577,37.5286635,126.4600771
승봉도 이일레 해변,인천 옹진군,인천광역시 옹진군 자월면 승봉로116번길,37.1656565,126.3020506
인천 답동성당,인천 중구,인천광역시 중구 우현로50번길 2,37.471334,126.6295071
인천 경서동 녹청자 요지,인천 서구,인천광역시 서구 도요지로 54,37.5581275,126.6564523
후포항 선수포구,인천 강화군,인천광역시 강화군 화도면 해안남로2903번길,37.639679,126.3941782
부평공원,인천 부평구,인천광역시 부평구 부평공원로,37.4880078,126.7114323
해군영흥도 전적비,인천 옹진군,인천광역시 옹진군 영흥면 영흥로251번길 24,37.2574549,126.4846678
정수사(강화),인천 강화군,인천광역시 강화군 화도면 해안남로1258번길 142,37.6086285,126.4455483
호명사,인천 부평구,인천광역시 부평구 경인로 847,37.4839839,126.7146836
망양돈대,인천 강화군,인천광역시 강화군 내가면 해안서로,37.7062178,126.3656204
용궁사(인천),인천 중구,인천광역시 중구 운남로 199-1,37.4973091,126.5279425
인천향교,인천 미추홀구,인천광역시 미추홀구 매소홀로 589,37.439185,126.6873279
자월도 장골해변,인천 옹진군,인천광역시 옹진군 자월면 자월서로,37.257687,126.2991815
강화 달빛동화마을,인천 강화군,인천광역시 강화군 양도면 강화남로921번길 10-6,37.6808071,126.4164735
계양공원,인천 계양구,인천광역시 계양구 계양산로75번길 26,37.5500265,126.723612
지선사,인천 계양구,인천광역시 계양구 경명대로955번길 13-12,37.5459694,126.711763
옹진군 신도,인천 옹진군,인천광역시 옹진군 북도면 신도리,37.5273686,126.4525008
화도진공원,인천 동구,인천광역시 동구 화도진로 114,37.4821054,126.6287902
서어나무(소사나무)군락지,인천 옹진군,인천광역시 옹진군 영흥면 내리,37.2688539,126.4708583
용유도,인천 중구,인천광역시 중구 마시란로 308-13,37.4440385,126.4025667
영창뮤직,인천 서구,인천광역시 서구 봉수대로 196,37.5556036,126.6578199
장봉도 진촌해변,인천 옹진군,인천광역시 옹진군 북도면 장봉로 740-71,37.5502845,126.3343816
원인재,인천 연수구,인천광역시 연수구 경원대로 322,37.4143589,126.6911502
인천내동성공회성당,인천 중구,인천광역시 중구 개항로45번길 21-32,37.473894,126.6274299
강화전적지,인천 강화군,인천광역시 강화군 강화읍 해안동로1366번길 18,37.7345234,126.5160972
강화 화문석마을,인천 강화군,인천광역시 강화군 송해면 전망대로468번길 11,37.8026813,126.4573875
인천우체국,인천 중구,인천광역시 중구 제물량로 183,37.4702026,126.6230264
무태돈대,인천 강화군,인천광역시 강화군 하점면 창후로,37.7663238,126.3678137
