name,region,address,lat,lon
‘서편제’ 촬영지,전남 완도군,전라남도 완도군 청산면 당락리,34.1687393,126.8629873
가거도(소흑산도),전남 신안군,전라남도 신안군 흑산면 가거도길 38-2,34.0524042,125.1268773
가계해변,전남 진도군,전라남도 진도군 고군면 신비의바닷길 47,34.4376091,126.3549228
가마골계곡,전남 담양군,전라남도 담양군 용면 용소길 261,35.4450376,127.0227788
가마골생태공원,전남 담양군,전라남도 담양군 용면 용소길 261,35.4450376,127.0227788
가마미해수욕장,전남 영광군,전라남도 영광군 홍농읍 가마미로 355,35.3982456,126.4091011
가사도,전남 진도군,전라남도 진도군 조도면 가사도길 106,34.4788635,126.0510268
가사도 등대,전남 진도군,전라남도 진도군 조도면 가사도돌목길,34.4684007,126.0454909
가사해수욕장,전남 완도군,전라남도 완도군 약산면 가사길,34.3936302,126.8981937
가산서원,전남 장성군,전라남도 장성군 삼서면 영장로 2015,35.2311386,126.6931977
가우도,전남 강진군,전라남도 강진군 도암면 월곶로 473,34.5285575,126.7723232
가우도 출렁다리,전남 강진군,전라남도 강진군 도암면 신기리,34.527168,126.7535976
가정녹색농촌체험마을,전남 곡성군,전라남도 곡성군 고달면 가정마을길 120,35.2258539,127.3750855
가학산,전남 완도군,전남 완도군 소안면 미라리,34.1480951,126.6558301
각흘도,전남 진도군,전라남도 진도군 조도면 관매작흘도길 6,34.2578476,126.0511971
갈두마을(땅끝마을),전남 해남군,전라남도 해남군 송지면 땅끝마을길 82,34.2997572,126.5285849
갈목도,전남 진도군,전라남도 진도군 조도면 진목도갈목길 10,34.306171,125.9471261
갓바위 문화타운,전남 목포시,전라남도 목포시 남농로 135,34.7936555,126.4210867
강덕사,전남 강진군,전라남도 강진군 군동면 호라길 199-39,34.6544431,126.8026006
강성서원,전남 장흥군,전라남도 장흥군 유치면 유치로 70,34.801069,126.8340269
강진 갯들소리마을,전남 강진군,전라남도 강진군 신전면 논정길 10-3,34.498416,126.7458504
강진 고려청자 요지,전남 강진군,전라남도 강진군 대구면 사당리,34.5108134,126.7993712
강진 금곡사 삼층석탑,전남 강진군,전라남도 강진군 군동면 까치내로 261-21,34.6664118,126.7775572
강진 나이트 드림,전남 강진군,전라남도 강진군 강진읍 보은로4길 5,34.6384073,126.7736602
강진 백련사 동백나무 숲,전남 강진군,전라남도 강진군 도암면 백련사길 145,34.5880354,126.7476576
강진 백사어촌체험마을,전남 강진군,전라남도 강진군 대구면 청자해안길 253,34.4928813,126.7938726
강진 백운동별서정원,전남 강진군,전라남도 강진군 성전면 월하안운길 100-63,34.7419353,126.6997872
강진 병영마을 옛 담장,전남 강진군,전라남도 강진군 병영면 동삼인길 20,34.7148323,126.8180982
강진 삼인리 비자나무,전남 강진군,전라남도 강진군 병영면 동삼인길 28-10,34.7147606,126.8190697
강진 서중어촌체험마을,전남 강진군,전라남도 강진군 마량면 까막섬로 75-7,34.4536398,126.8075974
강진 월남사지 삼층석탑,전남 강진군,전라남도 강진군 성전면 월남1길 100,34.7426507,126.7116299
강진 월남사지 진각국사비,전남 강진군,전라남도 강진군 성전면 월남1길 106-1,34.7428676,126.7107442
강진 전라병영성,전남 강진군,전라남도 강진군 병영면 병영성로 175,34.7186225,126.8154678
강진 청자골달마지마을,전남 강진군,전라남도 강진군 성전면 달마지길 2,34.7054782,126.6989422
강진마도진만호성지,전남 강진군,전라남도 강진군 마량면 마량리,34.4569463,126.8249982
강진만,전남 강진군,전라남도 강진군 신전면 벌정리,34.5003263,126.7466636
강진영랑생가,전남 강진군,전라남도 강진군 강진읍 영랑생가길 15,34.6420738,126.7653823
강진향교,전남 강진군,전라남도 강진군 강진읍 향교로 140,34.6500852,126.7715706
개구리생태공원,전남 담양군,전라남도 담양군 담양읍 메타세쿼이아로 47,35.3275689,127.0133599
개매기체험,전남 장흥군,전라남도 장흥군 대덕읍 신리옹암로 344,34.4398057,126.8814203
개천사,전남 화순군,전라남도 화순군 춘양면 변천길 389,34.9045846,126.9154392
거금도,전남 고흥군,전라남도 고흥군 금산면 일원,34.4588747,127.12501
거금생태숲,전남 고흥군,전라남도 고흥군 금산면 거금일주로 1809-27,34.4577081,127.158696
거문도,전남 여수시,전라남도 여수시 삼산면 거문길 103,34.0279164,127.308999
거문도 등대,전남 여수시,전라남도 여수시 삼산면 거문도등대길 299,34.0075655,127.3222156
거문도 신선바위,전남 여수시,전라남도 여수시 삼산면 거문리,34.027104,127.31632
거북선대교,전남 여수시,전라남도 여수시 하멜로,34.7396764,127.7447962
거차뻘배마을,전남 순천시,전라남도 순천시 별량면 거차길 130,34.8375993,127.4475425
겸면목화공원,전남 곡성군,전라남도 곡성군 겸면 곡순로 1864,35.2563331,127.1729693
겸천서원,전남 순천시,전라남도 순천시 주암면 죽림리,35.0774426,127.2536035
경현서원,전남 나주시,전라남도 나주시 노안면 영평리,35.0646187,126.7031402
계마항,전남 영광군,전라남도 영광군 홍농읍 계마리,35.4065088,126.4199107
계송서원,전남 영광군,전라남도 영광군 영광읍 청보리로3길 31,35.3020466,126.5190749
고마리마을,전남 장흥군,전라남도 장흥군 관산읍 고마리,34.5668059,126.985042
고산 윤선도 유적지,전남 해남군,전라남도 해남군 해남읍 녹우당길 135,34.5512302,126.6226127
고산사(장흥),전남 장흥군,전라남도 장흥군 장평면 하탑동길 120,34.7652622,126.9687768
고산서원,전남 장성군,전라남도 장성군 진원면 고산로 68,35.2726466,126.8415662
고성사(강진),전남 강진군,전라남도 강진군 강진읍 고성길 260,34.6589806,126.7642555
고소동 천사벽화마을,전남 여수시,전라남도 여수시 종화동,34.7388856,127.7496095
고천암호(철새도래지),전남 해남군,전라남도 해남군 황산면 고천암로,34.5400501,126.4540765
고하도 전망대 및 해안데크,전남 목포시,전라남도 목포시 고하도안길 234,34.767863,126.3669815
고하도이충무공유적,전남 목포시,전라남도 목포시 고하도길 175,34.7662295,126.3725014
고흥 남성어촌체험마을,전남 고흥군,전라남도 고흥군 포두면 남성3길 14-1,34.5251738,127.4053713
고흥 무열사,전남 고흥군,전라남도 고흥군 두원면 동신안길 21-6,34.6440968,127.2840174
고흥 신기거북이마을,전남 고흥군,전라남도 고흥군 대서면 동서로 925,34.7409208,127.2648266
고흥 쌍충사,전남 고흥군,전라남도 고흥군 도양읍 목넘가는길 34,34.5279684,127.1319382
고흥 안남어촌체험마을,전남 고흥군,전라남도 고흥군 대서면 동서로 923,34.7411349,127.2647548
고흥 유자공원,전남 고흥군,전라남도 고흥군 풍양면 대청길 33-11,34.5724069,127.235372
고흥 존심당 및 아문,전남 고흥군,전라남도 고흥군 고흥읍 후동길 4,34.6107363,127.2855927
고흥 해창만 간척지 공원,전남 고흥군,전라남도 고흥군 포두면 팔영로 405,34.5658255,127.3944791
고흥발포만호성,전남 고흥군,전라남도 고흥군 도화면 발포성촌길 3,34.4839756,127.3364172
고흥우주발사전망대,전남 고흥군,전라남도 고흥군 영남면 해맞이로 840,34.59818,127.4866751
고흥향교,전남 고흥군,전라남도 고흥군 고흥읍 흥양길 90-29,34.6139191,127.2807644
곡성 단군전,전남 곡성군,전라남도 곡성군 곡성읍 영운1길 33,35.2875588,127.2932204
곡성 메타세쿼이아길,전남 곡성군,전라남도 곡성군 곡성읍 읍내리,35.2836783,127.2974548
곡성 하늘나리마을,전남 곡성군,전라남도 곡성군 죽곡면 하한리,35.1677277,127.4000831
곡성 함허정,전남 곡성군,전라남도 곡성군 입면 제월리,35.3219051,127.2292907
곡성군섬진강 자연학습원,전남 곡성군,전라남도 곡성군 옥과면 합강리 499-1번지,35.3169841,127.1697162
곡성섬진강물따라300리나들길1,전남 곡성군,전라남도 곡성군 오곡면 기차마을로 232,35.2780945,127.3074651
곡성섬진강물따라300리나들길2,전남 곡성군,전라남도 곡성군 오곡면 기차마을로 233,35.2768226,127.307299
곡성섬진강천문대,전남 구례군,전라남도 구례군 구례읍 섬진강로 1234,35.2266359,127.3691761
곡성향교,전남 곡성군,전라남도 곡성군 곡성읍 교촌길 85,35.2849276,127.2817223
곡수서원,전남 순천시,전라남도 순천시 순광로 105-17,34.960241,127.5312469
곽도,전남 진도군,전라남도 진도군 조도면 맹골곽도길 23,34.2965705,126.0475147
관매도,전남 진도군,전라남도 진도군 조도면,34.2965705,126.0475147
관방제림,전남 담양군,전남 담양군 담양읍 객사리1,35.3239092,126.9859052
관사도,전남 진도군,전라남도 진도군 조도면 관사도길 20-10,34.3094776,125.9753603
관음사(곡성),전남 곡성군,전라남도 곡성군 오산면 성덕관음길 453,35.2145122,127.1649978
광대도,전남 진도군,전라남도 진도군 조도면 가사도길 42-365,34.5170278,126.0812134
광양 매화마을,전남 광양시,전라남도 광양시 다압면 섬진강매화로 1563-1,35.0803988,127.7153417
광양 옥룡사 동백나무 숲,전남 광양시,전라남도 광양시 옥룡면 운암길 83,35.0466242,127.6079069
광양 옥룡사지,전남 광양시,전라남도 광양시 옥룡면 백계1길 71,35.0471187,127.6058559
