name,region,address,lat,lon
1100고지습지,제주 서귀포시,제주특별자치도 서귀포시 색달동 산 1-2,33.3577741,126.4625184
KBS 제주,제주 제주시,제주특별자치도 제주시 복지로1길 8,33.4880252,126.5263723
SOS박물관,제주 서귀포시,제주특별자치도 서귀포시 월드컵로 31,33.2472388,126.5092079
가마오름,제주 제주시,제주특별자치도 제주시 한경면 청수서5길,33.3039283,126.2538299
가메창(암메),제주 제주시,제주특별자치도 제주시 한경면 청수로 13-3,33.3209072,126.2460821
가문이오름(감은이오름),제주 서귀포시,제주특별자치도 서귀포시 표선면 가시리 산,33.3537012,126.7714295
가새기오름,제주 제주시,제주특별자치도 제주시 연미길,33.4884191,126.5050501
가세오름,제주 서귀포시,제주특별자치도 서귀포시 표선면 세화로,33.3202259,126.7912297
가시오름,제주 서귀포시,제주특별자치도 서귀포시 대정읍 하모이삼로21번길,33.2246614,126.2502767
가파도,제주 서귀포시,제주특별자치도 서귀포시 대정읍 가파로,33.1710594,126.2731193
각시바우오름,제주 서귀포시,제주특별자치도 서귀포시 호근동 2112,33.2767541,126.5270288
갈마못(갈뫼못),제주 서귀포시,제주특별자치도 서귀포시 성산읍 중산간동로,33.4119114,126.8416603
갈중이(천연염색체험),제주 서귀포시,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-61,33.2350833,126.3136705
감낭오름,제주 서귀포시,제주특별자치도 서귀포시 안덕면 평화로,33.3195978,126.342428
감은이오름,제주 제주시,제주특별자치도 제주시 구좌읍 번영로,33.4308303,126.7431198
갑선이오름,제주 서귀포시,제주특별자치도 서귀포시 표선면 가시로592번길,33.355936,126.7788791
강정천,제주 서귀포시,제주특별자치도 서귀포시 강정통물로,33.2366013,126.4772906
개오름,제주 서귀포시,제주특별자치도 서귀포시 표선면 성읍이리로57번길 162,33.4239746,126.7687182
개오리오름,제주 제주시,제주특별자치도 제주시 명림로,33.4629574,126.6161368
갯거리오름(갯그르),제주 서귀포시,제주특별자치도 서귀포시 1100로,33.2763665,126.4476633
거린사슴,제주 서귀포시,제주특별자치도 서귀포시 1100로 823,33.3073168,126.4548441
거문오름 [세계자연유산],제주 제주시,제주특별자치도 제주시 조천읍 선교로 569-36,33.4569601,126.7143895
거미오름,제주 제주시,제주특별자치도 제주시 구좌읍 종달리 산70,33.4885805,126.8755487
"거슨세미(세미오름, 샘오름)",제주 제주시,제주특별자치도 제주시 구좌읍 비자림로,33.467852,126.7724183
걸시오름,제주 제주시,제주특별자치도 제주시 연동 산150,33.4113296,126.5054579
검멀레해변,제주 제주시,제주특별자치도 제주시 우도면 우도해안길,33.5074342,126.954269
고근산,제주 서귀포시,제주특별자치도 서귀포시 고근산로,33.2689372,126.5124627
고살리 숲길,제주 서귀포시,제주특별자치도 서귀포시 남원읍 하례리 산54-1,33.3163888,126.5973999
곽지과물해변,제주 제주시,제주특별자치도 제주시 애월읍 금성5길,33.4475423,126.3016504
관덕정(제주),제주 제주시,제주특별자치도 제주시 관덕로 19,33.5133537,126.5214452
관음사(제주),제주 제주시,제주특별자치도 제주시 산록북로 660,33.4217169,126.5588129
광치기해변,제주 서귀포시,제주특별자치도 서귀포시 성산읍 고성리,33.4445754,126.9095025
괴오름,제주 제주시,제주특별자치도 제주시 애월읍 봉성리 산41,33.3689588,126.3505941
교래 삼다수마을,제주 제주시,제주 제주시 조천읍 교래리,33.4276176,126.6665803
구두리오름,제주 서귀포시,제주특별자치도 서귀포시 남원읍 남조로,33.3190481,126.7087521
구시물,제주 제주시,제주특별자치도 서귀포시 남원읍 서의로,33.3002857,126.7126203
구엄어촌체험마을,제주 제주시,제주특별자치도 제주시 애월읍 애월해안로,33.4782235,126.3665625
군산오름,제주 서귀포시,제주특별자치도 서귀포시 안덕면 창천리 564 제주특별자치도,33.2551426,126.3683605
귤림서원,제주 제주시,제주특별자치도 제주시 이도1동,33.5084288,126.5255881
금능석물원,제주 제주시,제주특별자치도 제주시 한림읍 한림로 176,33.384592,126.2268717
금능으뜸원해변,제주 제주시,제주특별자치도 제주시 한림읍 금능길,33.3881374,126.2294884
금룡사(제주),제주 제주시,제주특별자치도 제주시 구좌읍 김녕로 148-11,33.5538398,126.7535715
금산공원(납읍난대림지대),제주 제주시,제주특별자치도 제주시 애월읍 납읍리,33.4323416,126.3380584
금오름,제주 제주시,제주특별자치도 제주시 한림읍 금악북로,33.3579292,126.3113252
금호리조트 제주아쿠아나,제주 서귀포시,제주특별자치도 서귀포시 남원읍 태위로 522-12,33.2729636,126.7014772
김녕미로공원,제주 제주시,제주특별자치도 제주시 구좌읍 만장굴길 122,33.5365289,126.7721332
김녕사굴 [유네스코 세계자연유산],제주 제주시,제주특별자치도 제주시 구좌읍 만장굴길 34,33.5440204,126.7746911
김녕성세기해변 (김녕해수욕장),제주 제주시,제주특별자치도 제주시 구좌읍 해맞이해안로,33.5291668,126.8538817
낙타트레킹,제주 서귀포시,제주특별자치도 서귀포시 표선면 번영로 2564-21,33.3726822,126.7971235
남원 큰엉해안,제주 서귀포시,제주특별자치도 서귀포시 남원읍 태위로 522-17,33.2733787,126.7037541
남제주 억새오름길,제주 서귀포시,제주특별자치도 서귀포시 성산읍 제성로,33.4535129,126.878831
넥슨컴퓨터박물관,제주 제주시,제주특별자치도 제주시 노형동,33.483098,126.4772312
높은오름,제주 제주시,제주특별자치도 제주시 구좌읍 중산간동로,33.4741742,126.7701439
다랑쉬오름(월랑봉),제주 제주시,제주특별자치도 제주시 구좌읍 세화리 산6,33.4895966,126.8316644
다려도,제주 제주시,제주특별자치도 제주시 조천읍 북촌리,33.5365952,126.696662
다이나믹 메이즈 (제주 성읍점),제주 서귀포시,제주특별자치도 서귀포시 표선면 번영로 2644,33.3992006,126.7852521
다희연,제주 제주시,제주특별자치도 제주시 조천읍 선교로 117,33.4727191,126.7061921
닭머르해안길,제주 제주시,제주특별자치도 제주시 조천읍 신촌북3길 62-1,33.5377861,126.6133195
대발이파크,제주 서귀포시,제주특별자치도 서귀포시 남원읍 태위로 536,33.2746312,126.7058491
대정향교,제주 서귀포시,제주특별자치도 서귀포시 안덕면 향교로 165-17,33.2393513,126.2883891
더마파크,제주 제주시,제주특별자치도 제주시 한림읍 월림7길 155,33.3555222,126.2420266
도너리오름,제주 서귀포시,제주특별자치도 서귀포시 안덕면 동광로,33.3089803,126.3402728
도리미오름,제주 제주시,제주특별자치도 제주시 구좌읍 중산간동로,33.4741742,126.7701439
도순다원,제주 서귀포시,제주특별자치도 서귀포시 중산간서로356번길 152-41,33.272975,126.4830571
돈내코(원앙폭포),제주 서귀포시,제주특별자치도 서귀포시 돈내코로 137,33.3005301,126.5817449
