No,name,region,address,경도,위도,상태
1,웅도,충남 서산시,충청남도 서산시 대산읍 웅도1길 92,126.383212298879,36.9194443851102,정좌표
3,서동공원과 궁남지,충남 부여군,충청남도 부여군 부여읍 궁남로 52,126.913971131068,36.2721078946482,인근좌표
4,선샤인랜드,충남 논산시,충청남도 논산시 연무읍 봉황로 102,127.106207607306,36.1026077094786,정좌표
5,신성리 갈대밭,충남 서천군,충청남도 서천군 한산면 신성리 125-1,126.860766995197,36.0683115744971,정좌표
6,세계꽃식물원,충남 아산시,충청남도 아산시 도고면 아산만로 37-37,126.860775249253,36.7503633092207,정좌표
7,관북리유적과 부소산성 [유네스코 세계유산],충남 부여군,충청남도 부여군 부여읍 부소로 15,126.913354671265,36.2854916307312,정좌표
8,외암민속마을,충남 아산시,충청남도 아산시 송악면 외암민속길9번길 13-2,127.014383189917,36.7310562599666,정좌표
9,서천 마량리 동백나무 숲,충남 서천군,충청남도 서천군 서면 서인로235번길 103,126.493548824086,36.1378873290812,정좌표
10,온양관광호텔 온천탕,충남 아산시,충청남도 아산시 온천대로 1459,126.99992340628,36.7835555121117,정좌표
11,대천해수욕장,충남 보령시,충청남도 보령시 머드로 123,126.510857737771,36.3155417760957,정좌표
12,알프스마을,충남 청양군,충청남도 청양군 정산면 천장호길 223-35,126.914230215843,36.4097185220425,정좌표
14,개화예술공원,충남 보령시,충청남도 보령시 성주면 성주산로 673-47,126.658086235365,36.3139344138358,정좌표
15,서산 해미읍성,충남 서산시,충청남도 서산시 해미면 남문2로 143,126.548651322208,36.7135364723816,정좌표
16,천장호 출렁다리,충남 청양군,충청남도 청양군 정산면 천장호길 24,126.921786308065,36.4145402467861,정좌표
17,공주 공산성 [유네스코 세계유산],충남 공주시,충청남도 공주시 웅진로 280,127.12351221198,36.4646034724378,정좌표
20,외연도,충남 보령시,충청남도 보령시 오천면 외연도1길 64,126.080382844548,36.2264671385042,정좌표
21,호도,충남 보령시,충청남도 보령시 오천면 호도길 22,126.264499276996,36.3017226375237,정좌표
22,부여 가림성,충남 부여군,충청남도 부여군 임천면 성흥로97번길 167,126.899578601835,36.1952824626709,정좌표
24,청산수목원,충남 태안군,충청남도 태안군 남면 연꽃길 70,126.296910570735,36.6866829461487,정좌표
25,간월암(서산),충남 서산시,충청남도 서산시 부석면 간월도1길 119-29,126.411022764905,36.6036704407014,정좌표
26,피나클랜드,충남 아산시,충청남도 아산시 영인면 월선길 20-42,126.926331499174,36.8724743084533,정좌표
28,아그로랜드 태신목장,충남 예산군,충청남도 예산군 고덕면 상몽2길 231,126.704016062761,36.8012705589155,정좌표
29,공주 송산리 고분군과 무령왕릉 [유네스코 세계유산],충남 공주시,충청남도 공주시 왕릉로 37-2,127.113363642625,36.461292926364,인근좌표
32,칠갑산도립공원,충남 청양군,충청남도 청양군 대치면 장곡길 241,126.859256893821,36.4173650392837,정좌표
33,천리포수목원,충남 태안군,충청남도 태안군 소원면 천리포1길 187,126.148782058648,36.7965848802967,정좌표
34,국립생태원(서천),충남 서천군,충청남도 서천군 마서면 금강로 1210,126.724487434346,36.0295434110573,정좌표
35,예산 황새공원,충남 예산군,충청남도 예산군 광시면 시목대리길 62-19,126.802242966396,36.5426270863682,정좌표
36,무창포해수욕장,충남 보령시,충청남도 보령시 웅천읍 열린바다1길 10,126.536542032073,36.2445770598401,정좌표
37,개심사(서산),충남 서산시,충청남도 서산시 운산면 개심사로 321-86,126.590385177258,36.7468569089387,정좌표
38,파라다이스 스파도고,충남 아산시,충청남도 아산시 도고면 도고온천로 176,126.887647622662,36.7661021396569,정좌표
39,홍원항,충남 서천군,충청남도 서천군 서면 홍원길 130-3,126.499279062784,36.1588733778139,정좌표
40,안면도자연휴양림,충남 태안군,충청남도 태안군 안면읍 안면대로 3195-6,126.35501761532,36.496560444514,정좌표
44,왜목마을,충남 당진시,충청남도 당진시 석문면 왜목길 26,126.52613016043,37.0444363386396,정좌표
47,삼길포항,충남 서산시,충청남도 서산시 대산읍 삼길포1로 1-15,126.451061645648,36.999067825226,정좌표
48,칠갑산천문대 스타파크,충남 청양군,충청남도 청양군 정산면 한티고개길 178-46,126.889860844773,36.4337390848526,정좌표
49,태안해안국립공원,충남 태안군,충청남도 태안군 태안읍 귀실길 9,126.292464109323,36.7463812733462,정좌표
50,안면암(태안),충남 태안군,충청남도 태안군 안면읍 여수해길 198-160,126.374826739686,36.5595471249135,정좌표
51,무량사(부여),충남 부여군,충청남도 부여군 외산면 무량로 203,126.692653382782,36.3166003092958,정좌표
54,장항 스카이워크 (기벌포 해전 전망대),충남 서천군,충청남도 서천군 장항읍 장항산단로34번길 74-45,126.665365577614,36.0223103001453,정좌표
55,아산 공세리성당,충남 아산시,충청남도 아산시 인주면 공세리성당길 10,126.919288069141,36.8812151782142,인근좌표
56,영목항,충남 태안군,충청남도 태안군 고남면 월고지길 55,126.42668506293,36.3996032687003,정좌표
57,안면도 미로공원,충남 태안군,충청남도 태안군 고남면 대야로 13-6,126.392073464515,36.4480831311897,정좌표
58,하늘물빛정원,충남 금산군,충청남도 금산군 추부면 검한1길 156,127.482952364274,36.2230282293936,정좌표
