name,region,address,lat,lon
(구)강경노동조합,충남 논산시,충청남도 논산시 강경읍 옥녀봉로27번길 30-5,36.160849,127.0146018
(구)한일은행 강경지점,충남 논산시,충청남도 논산시 강경읍 계백로167번길 50,36.1621297,127.0151537
(주) 외가집 농업회사법인,충남 부여군,충청남도 부여군 옥산면 안골로41번길 21-12,36.1861994,126.7323929
JFK 대천 워터파크,충남 보령시,충청남도 보령시 대해로 876,36.3070417,126.5183187
LG 태안 태양광 발전소,충남 태안군,충청남도 태안군 원북면 발전로 130,36.8841716,126.2141167
LG화학 대산공장,충남 서산시,충청남도 서산시 대산읍 독곶1로 54,37.0042603,126.37941
가야산(서산),충남 서산시,충청남도 서산시 해미면 산수리,36.707103,126.5870692
가의도,충남 태안군,충청남도 태안군 근흥면 가의도길,36.6748071,126.0694825
가파마을,충남 청양군,충청남도 청양군 대치면 가파로 506-6,36.4976225,126.8796372
각원사,충남 천안시,충청남도 천안시 동남구 각원사길 245,36.8342011,127.1968302
간곡서원,충남 부여군,충청남도 부여군 임천면 성흥로283번길 31-4,36.1824989,126.9084467
간월도 어리굴젓 기념탑,충남 서산시,충청남도 서산시 부석면 간월도리,36.6179258,126.4324388
간월도마을,충남 서산시,충청남도 서산시 부석면 간월도리,36.6179258,126.4324388
간월암(서산),충남 서산시,충청남도 서산시 부석면 간월도1길 119-29,36.6036534,126.411209
갈두천권역마을,충남 태안군,충청남도 태안군 원북면 대기길 12-20,36.7985788,126.2572211
갈음이해수욕장,충남 태안군,충청남도 태안군 근흥면 갈음이길 38-30,36.6935676,126.1639858
갑사,충남 공주시,충청남도 공주시 계룡면 갑사로 567-3,36.3656004,127.1875176
갑사계곡,충남 공주시,충청남도 공주시 계룡면 갑사로 225,36.3629905,127.1587394
강경 구 연수당 건재 약방,충남 논산시,충청남도 논산시 강경읍 옥녀봉로24번길 14,36.1620784,127.0184553
강경 옥녀봉,충남 논산시,충청남도 논산시 강경읍 북옥리,36.164973,127.0132315
강경 중앙초등학교 강당,충남 논산시,충청남도 논산시 강경읍 옥녀봉로 8,36.1603539,127.0195026
강경근대거리,충남 논산시,충청남도 논산시 강경읍 옥녀봉로 30-5,36.1618011,127.017943
강경미내다리,충남 논산시,충청남도 논산시 채운면 삼거리,36.1555648,127.0429312
강당골(양화담),충남 아산시,충청남도 아산시 송악면,36.7317626,127.0089277
강댕이 미륵불,충남 서산시,충청남도 서산시 운산면 마애삼존불길 18-1,36.7776835,126.6025291
개삼터·개삼각,충남 금산군,충청남도 금산군 남이면 개삼로 101,36.0748004,127.4788768
개심사(서산),충남 서산시,충청남도 서산시 운산면 개심사로 321-86,36.7467952,126.5904038
개태사(논산),충남 논산시,충청남도 논산시 연산면 계백로 2614-11,36.2407588,127.2294385
개화예술공원,충남 보령시,충청남도 보령시 성주면 성주산로 673-47,36.3142342,126.6582727
거북이마을,충남 홍성군,충청남도 홍성군 구항면 거북로 422-41,36.5724472,126.6121029
거전마을 [농촌체험],충남 부여군,충청남도 부여군 은산면 지천로525번길 7-14,36.3596767,126.8403765
검계서원,충남 천안시,충청남도 천안시 동남구 풍세면 금호1길 117-10,36.7479916,127.0901133
결성동헌,충남 홍성군,충청남도 홍성군 결성면 읍내리,36.5272688,126.5469884
결성향교,충남 홍성군,충청남도 홍성군 결성면 홍남서로707번길 21-8,36.5288542,126.5432091
계룡 사계고택,충남 계룡시,충청남도 계룡시 두마면 사계로 122-4,36.2656306,127.271735
계룡 입암저수지,충남 계룡시,충청남도 계룡시 두마면 입암길 218,36.243248,127.2554764
계룡산 국립공원,충남 공주시,충청남도 공주시 반포면 동학사1로 327-6,36.3566829,127.2325192
계룡산국립공원,충남 공주시,충남 공주시 반포면,36.3968922,127.2503067
계룡산도예촌,충남 공주시,충청남도 공주시 반포면 도예촌길 71-25,36.3899336,127.2152896
계룡산상신농촌체험휴양마을,충남 공주시,충청남도 공주시 반포면 상하신길 396,36.3845154,127.2202471
계룡산신도내주초석석재,충남 계룡시,충청남도 계룡시 두마면,36.2668651,127.272786
계백장군 유적지,충남 논산시,충청남도 논산시 부적면 신풍리,36.1829802,127.176227
고경명선생비,충남 금산군,충청남도 금산군 금성면 양전리,36.1191344,127.4842405
고대도,충남 보령시,충청남도 보령시 오천면 고대도1길 1,36.3878168,126.3668837
고란사(고란약수),충남 부여군,충청남도 부여군 부여읍 부소로 1-25,36.2925938,126.9132116
고란사유람선,충남 부여군,충청남도 부여군 부여읍 부소로,36.2857425,126.9179975
고령박씨종중재실,충남 천안시,충청남도 천안시 동남구 북면 박문수길 147,36.7785254,127.2723299
고로서원,충남 공주시,충청남도 공주시 사곡면 능계길 60-67,36.5111239,127.0225965
